"Step","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"135","-110.9390416734567","-110.9390416734567","-110.9390416734567"
"139","-107.12637630630556","-107.12637630630556","-107.12637630630556"
"143","-107.63718088309615","-107.63718088309615","-107.63718088309615"
"147","-106.68695251217692","-106.68695251217692","-106.68695251217692"
"151","-103.91513813669786","-103.91513813669786","-103.91513813669786"
"155","-105.96644039535258","-105.96644039535258","-105.96644039535258"
"159","-104.13472065784201","-104.13472065784201","-104.13472065784201"
"163","-102.38661716938678","-102.38661716938678","-102.38661716938678"
"167","-102.31478747768816","-102.31478747768816","-102.31478747768816"
"171","-100.85795571291501","-100.85795571291501","-100.85795571291501"
"175","-102.37561032180379","-102.37561032180379","-102.37561032180379"
"179","-100.79432197241069","-100.79432197241069","-100.79432197241069"
"183","-97.18842383032613","-97.18842383032613","-97.18842383032613"
"187","-96.78297043520793","-96.78297043520793","-96.78297043520793"
"191","-95.05054200831854","-95.05054200831854","-95.05054200831854"
"195","-92.9916577317048","-92.9916577317048","-92.9916577317048"
"199","-91.03178788469398","-91.03178788469398","-91.03178788469398"
"203","-88.6484969234886","-88.6484969234886","-88.6484969234886"
"207","-85.76214272145464","-85.76214272145464","-85.76214272145464"
"211","-84.48724051792603","-84.48724051792603","-84.48724051792603"
"215","-82.29757485740855","-82.29757485740855","-82.29757485740855"
"219","-79.85071000978729","-79.85071000978729","-79.85071000978729"
"223","-78.6621433147305","-78.6621433147305","-78.6621433147305"
"227","-77.52808117181512","-77.52808117181512","-77.52808117181512"
"231","-78.17620725470746","-78.17620725470746","-78.17620725470746"
"235","-77.32317202247225","-77.32317202247225","-77.32317202247225"
"239","-78.56270819404588","-78.56270819404588","-78.56270819404588"
"243","-76.08236182967461","-76.08236182967461","-76.08236182967461"
"247","-75.71995016907479","-75.71995016907479","-75.71995016907479"
"251","-75.33264794028868","-75.33264794028868","-75.33264794028868"
"255","-74.8394573169479","-74.8394573169479","-74.8394573169479"
"259","-73.20016611102514","-73.20016611102514","-73.20016611102514"
"263","-72.61196524682033","-72.61196524682033","-72.61196524682033"
"267","-70.4349002757944","-70.4349002757944","-70.4349002757944"
"271","-68.61035904319712","-68.61035904319712","-68.61035904319712"
"275","-66.90786627310544","-66.90786627310544","-66.90786627310544"
"279","-66.41799705785162","-66.41799705785162","-66.41799705785162"
"283","-65.63565334416865","-65.63565334416865","-65.63565334416865"
"287","-64.2547054649709","-64.2547054649709","-64.2547054649709"
"291","-63.619946404226816","-63.619946404226816","-63.619946404226816"
"295","-62.051614184629145","-62.051614184629145","-62.051614184629145"
"299","-61.05635006145761","-61.05635006145761","-61.05635006145761"
"303","-59.29725779541955","-59.29725779541955","-59.29725779541955"
"307","-58.75089904504424","-58.75089904504424","-58.75089904504424"
"311","-58.18401927032295","-58.18401927032295","-58.18401927032295"
"315","-57.76684794103934","-57.76684794103934","-57.76684794103934"
"319","-56.45534568921232","-56.45534568921232","-56.45534568921232"
"323","-55.914147058809185","-55.914147058809185","-55.914147058809185"
"327","-54.361882284927326","-54.361882284927326","-54.361882284927326"
"331","-53.911888999189614","-53.911888999189614","-53.911888999189614"
"335","-52.17488221751966","-52.17488221751966","-52.17488221751966"
"339","-52.057616869777924","-52.057616869777924","-52.057616869777924"
"343","-50.16519957343975","-50.16519957343975","-50.16519957343975"
"347","-48.5691412453542","-48.5691412453542","-48.5691412453542"
"351","-48.164741456357525","-48.164741456357525","-48.164741456357525"
"355","-48.27431655228431","-48.27431655228431","-48.27431655228431"
"359","-46.70571789322476","-46.70571789322476","-46.70571789322476"
"363","-45.752025194907","-45.752025194907","-45.752025194907"
"367","-45.43278759095347","-45.43278759095347","-45.43278759095347"
"371","-44.78980541118217","-44.78980541118217","-44.78980541118217"
"375","-43.335652457980295","-43.335652457980295","-43.335652457980295"
"379","-42.38743154825073","-42.38743154825073","-42.38743154825073"
"383","-41.81887422836607","-41.81887422836607","-41.81887422836607"
"387","-41.51711254449775","-41.51711254449775","-41.51711254449775"
"391","-41.32637092568446","-41.32637092568446","-41.32637092568446"
"395","-41.04928539088236","-41.04928539088236","-41.04928539088236"
"399","-40.8966310239652","-40.8966310239652","-40.8966310239652"
"403","-40.2031379857657","-40.2031379857657","-40.2031379857657"
"407","-41.27617959675105","-41.27617959675105","-41.27617959675105"
"411","-40.35110500970208","-40.35110500970208","-40.35110500970208"
"415","-40.14365636170692","-40.14365636170692","-40.14365636170692"
"419","-38.699314989689974","-38.699314989689974","-38.699314989689974"
"423","-38.72686479648812","-38.72686479648812","-38.72686479648812"
"427","-37.70394208381393","-37.70394208381393","-37.70394208381393"
"431","-37.088926912589606","-37.088926912589606","-37.088926912589606"
"435","-36.68697899495654","-36.68697899495654","-36.68697899495654"
"439","-36.47257535367806","-36.47257535367806","-36.47257535367806"
"443","-36.27735844683023","-36.27735844683023","-36.27735844683023"
"447","-35.68518292203036","-35.68518292203036","-35.68518292203036"
"451","-34.9342882787622","-34.9342882787622","-34.9342882787622"
"455","-34.88735875483963","-34.88735875483963","-34.88735875483963"
"459","-34.31689464126618","-34.31689464126618","-34.31689464126618"
"463","-34.35230794305367","-34.35230794305367","-34.35230794305367"
"467","-34.20038298677557","-34.20038298677557","-34.20038298677557"
"471","-34.058392613944434","-34.058392613944434","-34.058392613944434"
"475","-33.96160885262171","-33.96160885262171","-33.96160885262171"
"479","-33.99802538011346","-33.99802538011346","-33.99802538011346"
"483","-33.80951043662664","-33.80951043662664","-33.80951043662664"
"487","-33.64775692581281","-33.64775692581281","-33.64775692581281"
"491","-33.47118583075804","-33.47118583075804","-33.47118583075804"
"495","-33.12719434635824","-33.12719434635824","-33.12719434635824"
"499","-33.02544270121798","-33.02544270121798","-33.02544270121798"
"503","-33.03285208548875","-33.03285208548875","-33.03285208548875"
"507","-32.93219749358311","-32.93219749358311","-32.93219749358311"
"511","-32.87427574152989","-32.87427574152989","-32.87427574152989"
"515","-33.29154978069401","-33.29154978069401","-33.29154978069401"
"519","-33.26452952028815","-33.26452952028815","-33.26452952028815"
"523","-33.14322271070648","-33.14322271070648","-33.14322271070648"
"527","-33.10527933281844","-33.10527933281844","-33.10527933281844"
"531","-32.47587301951538","-32.47587301951538","-32.47587301951538"
"535","-32.411776559929045","-32.411776559929045","-32.411776559929045"
"539","-32.30615264606","-32.30615264606","-32.30615264606"
"543","-32.23816595315685","-32.23816595315685","-32.23816595315685"
"547","-32.33715159795245","-32.33715159795245","-32.33715159795245"
"551","-32.286637978708676","-32.286637978708676","-32.286637978708676"
"555","-32.14358247483875","-32.14358247483875","-32.14358247483875"
"559","-32.01422170214837","-32.01422170214837","-32.01422170214837"
"563","-31.843438839368496","-31.843438839368496","-31.843438839368496"
"567","-31.72219953343264","-31.72219953343264","-31.72219953343264"
"571","-31.29996251272632","-31.29996251272632","-31.29996251272632"
"575","-31.20415050505189","-31.20415050505189","-31.20415050505189"
"579","-31.168489227475934","-31.168489227475934","-31.168489227475934"
"583","-31.218562925378013","-31.218562925378013","-31.218562925378013"
"587","-29.970416350986618","-29.970416350986618","-29.970416350986618"
"591","-29.868766309935044","-29.868766309935044","-29.868766309935044"
"595","-29.763149967663715","-29.763149967663715","-29.763149967663715"
"599","-29.940803490573895","-29.940803490573895","-29.940803490573895"
"603","-29.930227877078764","-29.930227877078764","-29.930227877078764"
"607","-29.862889350828414","-29.862889350828414","-29.862889350828414"
"611","-29.21841046707328","-29.21841046707328","-29.21841046707328"
"615","-29.347683482699658","-29.347683482699658","-29.347683482699658"
"619","-29.189901861859443","-29.189901861859443","-29.189901861859443"
"623","-29.0481482545489","-29.0481482545489","-29.0481482545489"
"627","-28.40959446721731","-28.40959446721731","-28.40959446721731"
"631","-28.30860251811424","-28.30860251811424","-28.30860251811424"
"635","-28.28491531407516","-28.28491531407516","-28.28491531407516"
"639","-27.16329937636571","-27.16329937636571","-27.16329937636571"
"643","-27.08477140898664","-27.08477140898664","-27.08477140898664"
"647","-27.33326699425103","-27.33326699425103","-27.33326699425103"
"651","-27.253345657326502","-27.253345657326502","-27.253345657326502"
"655","-27.202342340414727","-27.202342340414727","-27.202342340414727"
"659","-26.793492610034853","-26.793492610034853","-26.793492610034853"
"663","-26.71557129852318","-26.71557129852318","-26.71557129852318"
"667","-26.75641914613346","-26.75641914613346","-26.75641914613346"
"671","-26.31274848424453","-26.31274848424453","-26.31274848424453"
"675","-26.120277175885306","-26.120277175885306","-26.120277175885306"
"679","-26.196010570566187","-26.196010570566187","-26.196010570566187"
"683","-26.16172414625481","-26.16172414625481","-26.16172414625481"
"687","-26.154050622396102","-26.154050622396102","-26.154050622396102"
"691","-26.091237235619428","-26.091237235619428","-26.091237235619428"
"695","-25.78367925109613","-25.78367925109613","-25.78367925109613"
"699","-25.48528203127723","-25.48528203127723","-25.48528203127723"
"703","-25.4045265736239","-25.4045265736239","-25.4045265736239"
"707","-25.320104523179662","-25.320104523179662","-25.320104523179662"
"711","-25.439731362532306","-25.439731362532306","-25.439731362532306"
"715","-25.538589083966826","-25.538589083966826","-25.538589083966826"
"719","-25.846536673665245","-25.846536673665245","-25.846536673665245"
"723","-25.772395948492655","-25.772395948492655","-25.772395948492655"
"727","-25.707508146483864","-25.707508146483864","-25.707508146483864"
"731","-25.655521781019996","-25.655521781019996","-25.655521781019996"
"735","-25.580527625644283","-25.580527625644283","-25.580527625644283"
"739","-25.543505738686047","-25.543505738686047","-25.543505738686047"
"743","-25.40410739733118","-25.40410739733118","-25.40410739733118"
"747","-24.988283210162546","-24.988283210162546","-24.988283210162546"
"751","-25.01587091537779","-25.01587091537779","-25.01587091537779"
"755","-24.965472211313156","-24.965472211313156","-24.965472211313156"
"759","-24.910821285586703","-24.910821285586703","-24.910821285586703"
"763","-24.87202785658858","-24.87202785658858","-24.87202785658858"
"767","-24.82764898527151","-24.82764898527151","-24.82764898527151"
"771","-24.557762554961823","-24.557762554961823","-24.557762554961823"
"775","-24.560373306815034","-24.560373306815034","-24.560373306815034"
"779","-23.749142442011912","-23.749142442011912","-23.749142442011912"
"783","-23.78121266009656","-23.78121266009656","-23.78121266009656"
"787","-23.819003346314254","-23.819003346314254","-23.819003346314254"
"791","-23.816294862378182","-23.816294862378182","-23.816294862378182"
"795","-23.751837225644444","-23.751837225644444","-23.751837225644444"
"799","-23.309326756365138","-23.309326756365138","-23.309326756365138"
"803","-22.40886270360419","-22.40886270360419","-22.40886270360419"
"807","-22.205292111678286","-22.205292111678286","-22.205292111678286"
"811","-21.799197077819294","-21.799197077819294","-21.799197077819294"
"815","-20.991067994872875","-20.991067994872875","-20.991067994872875"
"819","-20.004504430910494","-20.004504430910494","-20.004504430910494"
"823","-19.673826390067298","-19.673826390067298","-19.673826390067298"
"827","-19.01528531643626","-19.01528531643626","-19.01528531643626"
"831","-19.606868809876037","-19.606868809876037","-19.606868809876037"
"835","-19.137029487896985","-19.137029487896985","-19.137029487896985"
"839","-19.1856465287735","-19.1856465287735","-19.1856465287735"
"843","-18.879249181187728","-18.879249181187728","-18.879249181187728"
"847","-17.99913077848004","-17.99913077848004","-17.99913077848004"
"851","-18.164940589113257","-18.164940589113257","-18.164940589113257"
"855","-18.200414587570798","-18.200414587570798","-18.200414587570798"
"859","-17.343705936910812","-17.343705936910812","-17.343705936910812"
"863","-16.739136588899356","-16.739136588899356","-16.739136588899356"
"867","-16.35629798349791","-16.35629798349791","-16.35629798349791"
"871","-15.346803791411732","-15.346803791411732","-15.346803791411732"
"875","-15.212658076953451","-15.212658076953451","-15.212658076953451"
"879","-14.646232488685827","-14.646232488685827","-14.646232488685827"
"883","-13.93521799432992","-13.93521799432992","-13.93521799432992"
"887","-14.025122827456357","-14.025122827456357","-14.025122827456357"
"891","-13.21866184666173","-13.21866184666173","-13.21866184666173"
"895","-12.510422342117508","-12.510422342117508","-12.510422342117508"
"899","-11.784456760675143","-11.784456760675143","-11.784456760675143"
"903","-11.821535152462593","-11.821535152462593","-11.821535152462593"
"907","-11.840622023209345","-11.840622023209345","-11.840622023209345"
"911","-11.912296561727194","-11.912296561727194","-11.912296561727194"
"915","-11.80781245562482","-11.80781245562482","-11.80781245562482"
"919","-11.670399401478106","-11.670399401478106","-11.670399401478106"
"923","-11.51696582969734","-11.51696582969734","-11.51696582969734"
"927","-11.689290602419486","-11.689290602419486","-11.689290602419486"
"931","-10.94394823987853","-10.94394823987853","-10.94394823987853"
"935","-10.94693209301642","-10.94693209301642","-10.94693209301642"
"939","-10.971307381359829","-10.971307381359829","-10.971307381359829"
"943","-10.19882729876216","-10.19882729876216","-10.19882729876216"
"947","-9.920642439381522","-9.920642439381522","-9.920642439381522"
"951","-10.541430853948897","-10.541430853948897","-10.541430853948897"
"955","-10.169915978323724","-10.169915978323724","-10.169915978323724"
"959","-9.801324534715805","-9.801324534715805","-9.801324534715805"
"963","-9.81786670523812","-9.81786670523812","-9.81786670523812"
"967","-9.377865228673787","-9.377865228673787","-9.377865228673787"
"971","-9.258248085172363","-9.258248085172363","-9.258248085172363"
"975","-8.627534633564617","-8.627534633564617","-8.627534633564617"
"979","-8.817669687746433","-8.817669687746433","-8.817669687746433"
"983","-9.337554519644026","-9.337554519644026","-9.337554519644026"
"987","-9.392965440601182","-9.392965440601182","-9.392965440601182"
"991","-9.597061174647996","-9.597061174647996","-9.597061174647996"
"995","-9.822814719813598","-9.822814719813598","-9.822814719813598"
"999","-10.754473438728507","-10.754473438728507","-10.754473438728507"
"1003","-11.126956947769381","-11.126956947769381","-11.126956947769381"
"1007","-11.696176705885712","-11.696176705885712","-11.696176705885712"
"1011","-11.957554845664886","-11.957554845664886","-11.957554845664886"
"1015","-12.225021776604297","-12.225021776604297","-12.225021776604297"
"1019","-12.652387609195346","-12.652387609195346","-12.652387609195346"
"1023","-12.676173207148791","-12.676173207148791","-12.676173207148791"
"1027","-12.684816417173472","-12.684816417173472","-12.684816417173472"
"1031","-12.635334013719763","-12.635334013719763","-12.635334013719763"
"1035","-12.45633886876663","-12.45633886876663","-12.45633886876663"
"1039","-11.966812468918222","-11.966812468918222","-11.966812468918222"
"1043","-12.608891298251956","-12.608891298251956","-12.608891298251956"
"1047","-12.401191288837138","-12.401191288837138","-12.401191288837138"
"1051","-12.28455252376271","-12.28455252376271","-12.28455252376271"
"1055","-12.161386861190406","-12.161386861190406","-12.161386861190406"
"1059","-12.467392902208958","-12.467392902208958","-12.467392902208958"
"1063","-12.359685159308503","-12.359685159308503","-12.359685159308503"
"1067","-12.964623659714382","-12.964623659714382","-12.964623659714382"
"1071","-13.49336601073944","-13.49336601073944","-13.49336601073944"
"1075","-13.804124998679209","-13.804124998679209","-13.804124998679209"
"1079","-13.733465860573922","-13.733465860573922","-13.733465860573922"
"1083","-13.375900777417653","-13.375900777417653","-13.375900777417653"
"1087","-13.998806134282626","-13.998806134282626","-13.998806134282626"
"1091","-13.768557361026385","-13.768557361026385","-13.768557361026385"
"1095","-14.237865864760378","-14.237865864760378","-14.237865864760378"
"1099","-14.52288742822588","-14.52288742822588","-14.52288742822588"
"1103","-14.761911124474736","-14.761911124474736","-14.761911124474736"
"1107","-14.85793540077831","-14.85793540077831","-14.85793540077831"
"1111","-14.556136995388627","-14.556136995388627","-14.556136995388627"
"1115","-14.524756079560593","-14.524756079560593","-14.524756079560593"
"1119","-15.116223645944395","-15.116223645944395","-15.116223645944395"
"1123","-14.95320181640219","-14.95320181640219","-14.95320181640219"
"1127","-15.436894455676043","-15.436894455676043","-15.436894455676043"
"1131","-15.937428256440262","-15.937428256440262","-15.937428256440262"
"1135","-16.65578096607118","-16.65578096607118","-16.65578096607118"
"1139","-16.64385428030914","-16.64385428030914","-16.64385428030914"
"1143","-17.077037738472708","-17.077037738472708","-17.077037738472708"
"1147","-17.834859761373743","-17.834859761373743","-17.834859761373743"
"1151","-17.869122162859533","-17.869122162859533","-17.869122162859533"
"1155","-17.651124919907446","-17.651124919907446","-17.651124919907446"
"1159","-18.294933793959515","-18.294933793959515","-18.294933793959515"
"1163","-18.660243199757204","-18.660243199757204","-18.660243199757204"
"1167","-19.120760610356793","-19.120760610356793","-19.120760610356793"
"1171","-20.03203224977701","-20.03203224977701","-20.03203224977701"
"1175","-20.791009326586387","-20.791009326586387","-20.791009326586387"
"1179","-21.393640578844366","-21.393640578844366","-21.393640578844366"
"1183","-21.526720096340775","-21.526720096340775","-21.526720096340775"
"1187","-21.854143975137994","-21.854143975137994","-21.854143975137994"
"1191","-21.808980801899416","-21.808980801899416","-21.808980801899416"
"1195","-21.601112078251298","-21.601112078251298","-21.601112078251298"
"1199","-21.662597267744392","-21.662597267744392","-21.662597267744392"
"1203","-21.898398563121884","-21.898398563121884","-21.898398563121884"
"1207","-21.232145987306343","-21.232145987306343","-21.232145987306343"
"1211","-21.733895498125268","-21.733895498125268","-21.733895498125268"
"1215","-21.724310757651327","-21.724310757651327","-21.724310757651327"
"1219","-21.840082948362095","-21.840082948362095","-21.840082948362095"
"1223","-22.03939095589629","-22.03939095589629","-22.03939095589629"
"1227","-22.673677381972716","-22.673677381972716","-22.673677381972716"
"1231","-23.04405720564569","-23.04405720564569","-23.04405720564569"
"1235","-23.25837489967","-23.25837489967","-23.25837489967"
"1239","-23.58324191094648","-23.58324191094648","-23.58324191094648"
"1243","-23.827872050839364","-23.827872050839364","-23.827872050839364"
"1247","-24.817495897171053","-24.817495897171053","-24.817495897171053"
"1251","-25.25689106621261","-25.25689106621261","-25.25689106621261"
"1255","-24.963079054770297","-24.963079054770297","-24.963079054770297"
"1259","-25.018239057437313","-25.018239057437313","-25.018239057437313"
"1263","-24.6989831962244","-24.6989831962244","-24.6989831962244"
"1267","-24.70519799863434","-24.70519799863434","-24.70519799863434"
"1271","-24.7395345143495","-24.7395345143495","-24.7395345143495"
"1275","-24.692809152005598","-24.692809152005598","-24.692809152005598"
"1279","-24.629342166649522","-24.629342166649522","-24.629342166649522"
"1283","-24.718954687079982","-24.718954687079982","-24.718954687079982"
"1287","-24.719307958555838","-24.719307958555838","-24.719307958555838"
"1291","-24.913931017082245","-24.913931017082245","-24.913931017082245"
"1295","-25.061256168078472","-25.061256168078472","-25.061256168078472"
"1299","-25.185772041055092","-25.185772041055092","-25.185772041055092"
"1303","-25.09247723863461","-25.09247723863461","-25.09247723863461"
"1307","-24.756585759853607","-24.756585759853607","-24.756585759853607"
"1311","-25.103937144133347","-25.103937144133347","-25.103937144133347"
"1315","-25.00147962606531","-25.00147962606531","-25.00147962606531"
"1319","-25.093220833436884","-25.093220833436884","-25.093220833436884"
"1323","-25.170639409035413","-25.170639409035413","-25.170639409035413"
"1327","-24.816481051249394","-24.816481051249394","-24.816481051249394"
"1331","-25.13411084119754","-25.13411084119754","-25.13411084119754"
"1335","-25.256728627498592","-25.256728627498592","-25.256728627498592"
"1339","-25.26352611752256","-25.26352611752256","-25.26352611752256"
"1343","-25.52709000745909","-25.52709000745909","-25.52709000745909"
"1347","-25.38701471455606","-25.38701471455606","-25.38701471455606"
"1351","-25.407191841702613","-25.407191841702613","-25.407191841702613"
"1355","-25.454012105110145","-25.454012105110145","-25.454012105110145"
"1359","-25.591841495000992","-25.591841495000992","-25.591841495000992"
"1363","-25.641357070155145","-25.641357070155145","-25.641357070155145"
"1367","-25.65696485310876","-25.65696485310876","-25.65696485310876"
"1371","-25.877911231263553","-25.877911231263553","-25.877911231263553"
"1375","-25.934930529795597","-25.934930529795597","-25.934930529795597"
"1379","-25.972199384819252","-25.972199384819252","-25.972199384819252"
"1383","-26.108297298654705","-26.108297298654705","-26.108297298654705"
"1387","-26.920153365942568","-26.920153365942568","-26.920153365942568"
"1391","-26.895336425282434","-26.895336425282434","-26.895336425282434"
"1395","-26.889569007251175","-26.889569007251175","-26.889569007251175"
"1399","-26.777674409972224","-26.777674409972224","-26.777674409972224"
"1403","-26.49240531841989","-26.49240531841989","-26.49240531841989"
"1407","-26.026635059811714","-26.026635059811714","-26.026635059811714"
"1411","-26.73950240273323","-26.73950240273323","-26.73950240273323"
"1415","-26.524735813763485","-26.524735813763485","-26.524735813763485"
"1419","-26.266856523447746","-26.266856523447746","-26.266856523447746"
"1423","-26.306020841191945","-26.306020841191945","-26.306020841191945"
"1427","-26.897916481912453","-26.897916481912453","-26.897916481912453"
"1431","-26.921154903714097","-26.921154903714097","-26.921154903714097"
"1435","-27.39478482164916","-27.39478482164916","-27.39478482164916"
"1439","-28.259710931978372","-28.259710931978372","-28.259710931978372"
"1443","-28.37654958453753","-28.37654958453753","-28.37654958453753"
"1447","-28.08111668887104","-28.08111668887104","-28.08111668887104"
"1451","-28.16126673968703","-28.16126673968703","-28.16126673968703"
"1455","-28.662902447131316","-28.662902447131316","-28.662902447131316"
"1459","-29.123356710983366","-29.123356710983366","-29.123356710983366"
"1463","-29.562249529553597","-29.562249529553597","-29.562249529553597"
"1467","-29.37052757348782","-29.37052757348782","-29.37052757348782"
"1471","-30.096154128754996","-30.096154128754996","-30.096154128754996"
"1475","-30.303365202332962","-30.303365202332962","-30.303365202332962"
"1479","-30.1535472242176","-30.1535472242176","-30.1535472242176"
"1483","-30.19422826427707","-30.19422826427707","-30.19422826427707"
"1487","-30.128624863971194","-30.128624863971194","-30.128624863971194"
"1491","-30.169599861346942","-30.169599861346942","-30.169599861346942"
"1495","-30.525798988074158","-30.525798988074158","-30.525798988074158"
"1499","-30.81974414568741","-30.81974414568741","-30.81974414568741"
"1503","-30.86583882172426","-30.86583882172426","-30.86583882172426"
"1507","-30.95761866436969","-30.95761866436969","-30.95761866436969"
"1511","-30.78357567318627","-30.78357567318627","-30.78357567318627"
"1515","-30.890729948987133","-30.890729948987133","-30.890729948987133"
"1519","-30.61799004834264","-30.61799004834264","-30.61799004834264"
"1523","-30.695445469377983","-30.695445469377983","-30.695445469377983"
"1527","-30.64184260865155","-30.64184260865155","-30.64184260865155"
"1531","-30.90952617370949","-30.90952617370949","-30.90952617370949"
"1535","-31.06955415338881","-31.06955415338881","-31.06955415338881"
"1539","-31.048968406856947","-31.048968406856947","-31.048968406856947"
"1543","-31.196744802202655","-31.196744802202655","-31.196744802202655"
"1547","-32.042018914631925","-32.042018914631925","-32.042018914631925"
"1551","-32.09329988996632","-32.09329988996632","-32.09329988996632"
"1555","-32.09735019058844","-32.09735019058844","-32.09735019058844"
"1559","-32.09717883170613","-32.09717883170613","-32.09717883170613"
"1563","-32.370233259896324","-32.370233259896324","-32.370233259896324"
"1567","-32.36282031816483","-32.36282031816483","-32.36282031816483"
"1571","-32.70520095356322","-32.70520095356322","-32.70520095356322"
"1575","-32.885836424649966","-32.885836424649966","-32.885836424649966"
"1579","-33.634024295815934","-33.634024295815934","-33.634024295815934"
"1583","-33.56213307651206","-33.56213307651206","-33.56213307651206"
"1587","-33.7147112517381","-33.7147112517381","-33.7147112517381"
"1591","-33.47762540128371","-33.47762540128371","-33.47762540128371"
"1595","-33.48384948547072","-33.48384948547072","-33.48384948547072"
"1599","-34.09210761038533","-34.09210761038533","-34.09210761038533"
"1603","-34.287624102633124","-34.287624102633124","-34.287624102633124"
"1607","-34.45383466992514","-34.45383466992514","-34.45383466992514"
"1611","-34.56566167365238","-34.56566167365238","-34.56566167365238"
"1615","-34.53299662370951","-34.53299662370951","-34.53299662370951"
"1619","-34.12645128270535","-34.12645128270535","-34.12645128270535"
"1623","-34.10040031408745","-34.10040031408745","-34.10040031408745"
"1627","-34.06236726656244","-34.06236726656244","-34.06236726656244"
"1631","-33.394469513518494","-33.394469513518494","-33.394469513518494"
"1635","-33.09748346264385","-33.09748346264385","-33.09748346264385"
"1639","-33.12752999514504","-33.12752999514504","-33.12752999514504"
"1643","-33.14765801758192","-33.14765801758192","-33.14765801758192"
"1647","-32.70407954360945","-32.70407954360945","-32.70407954360945"
"1651","-32.41723287347003","-32.41723287347003","-32.41723287347003"
"1655","-32.50089196734557","-32.50089196734557","-32.50089196734557"
"1659","-32.530350848571125","-32.530350848571125","-32.530350848571125"
"1663","-32.604999467730856","-32.604999467730856","-32.604999467730856"
"1667","-32.60426637282923","-32.60426637282923","-32.60426637282923"
"1671","-32.812750596048225","-32.812750596048225","-32.812750596048225"
"1675","-32.55036482746892","-32.55036482746892","-32.55036482746892"
"1679","-32.63386320502417","-32.63386320502417","-32.63386320502417"
"1683","-32.416171808685526","-32.416171808685526","-32.416171808685526"
"1687","-32.07577033200536","-32.07577033200536","-32.07577033200536"
"1691","-32.25475045207964","-32.25475045207964","-32.25475045207964"
"1695","-32.42115225972611","-32.42115225972611","-32.42115225972611"
"1699","-32.5870282333001","-32.5870282333001","-32.5870282333001"
"1703","-32.40975279986922","-32.40975279986922","-32.40975279986922"
"1707","-32.515784736693234","-32.515784736693234","-32.515784736693234"
"1711","-32.6320207538715","-32.6320207538715","-32.6320207538715"
"1715","-33.106785815116844","-33.106785815116844","-33.106785815116844"
"1719","-33.22899057902308","-33.22899057902308","-33.22899057902308"
"1723","-33.194261291509626","-33.194261291509626","-33.194261291509626"
"1727","-33.10996368148216","-33.10996368148216","-33.10996368148216"
"1731","-33.195168171360194","-33.195168171360194","-33.195168171360194"
"1735","-32.83161825952887","-32.83161825952887","-32.83161825952887"
"1739","-32.928146421760154","-32.928146421760154","-32.928146421760154"
"1743","-33.30862115926169","-33.30862115926169","-33.30862115926169"
"1747","-33.52844299769414","-33.52844299769414","-33.52844299769414"
"1751","-33.07330416989707","-33.07330416989707","-33.07330416989707"
