Step,DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes),DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN,DDPG-MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX
155,-168.4044520091332,-168.4044520091332,-168.4044520091332
158,-166.831612521977,-166.831612521977,-166.831612521977
161,-168.14173463140764,-168.14173463140764,-168.14173463140764
164,-169.71931858486323,-169.71931858486323,-169.71931858486323
167,-169.23900659240303,-169.23900659240303,-169.23900659240303
170,-171.35219310167548,-171.35219310167548,-171.35219310167548
173,-170.02634542981613,-170.02634542981613,-170.02634542981613
176,-168.00669828569397,-168.00669828569397,-168.00669828569397
179,-166.32063106616016,-166.32063106616016,-166.32063106616016
182,-165.1162008602734,-165.1162008602734,-165.1162008602734
185,-162.85176551075645,-162.85176551075645,-162.85176551075645
188,-163.8707687103871,-163.8707687103871,-163.8707687103871
191,-162.28065158472944,-162.28065158472944,-162.28065158472944
194,-160.55270529225098,-160.55270529225098,-160.55270529225098
197,-160.3053574158993,-160.3053574158993,-160.3053574158993
200,-160.8992907911735,-160.8992907911735,-160.8992907911735
203,-164.9684242342002,-164.9684242342002,-164.9684242342002
206,-165.58398538261588,-165.58398538261588,-165.58398538261588
209,-164.42205379411286,-164.42205379411286,-164.42205379411286
212,-164.06927545611643,-164.06927545611643,-164.06927545611643
215,-163.96172147946422,-163.96172147946422,-163.96172147946422
218,-162.94817122511125,-162.94817122511125,-162.94817122511125
221,-161.10071361487735,-161.10071361487735,-161.10071361487735
224,-159.16828029198328,-159.16828029198328,-159.16828029198328
227,-156.93552674767847,-156.93552674767847,-156.93552674767847
230,-157.1419097181738,-157.1419097181738,-157.1419097181738
233,-157.98635220873163,-157.98635220873163,-157.98635220873163
236,-160.13161466376002,-160.13161466376002,-160.13161466376002
239,-158.47940993656906,-158.47940993656906,-158.47940993656906
242,-158.40424172876158,-158.40424172876158,-158.40424172876158
245,-156.11972801111426,-156.11972801111426,-156.11972801111426
248,-156.41124994620338,-156.41124994620338,-156.41124994620338
251,-152.535567919747,-152.535567919747,-152.535567919747
254,-149.7471443455748,-149.7471443455748,-149.7471443455748
257,-149.22413221263528,-149.22413221263528,-149.22413221263528
260,-147.11554957223362,-147.11554957223362,-147.11554957223362
263,-148.7541174716901,-148.7541174716901,-148.7541174716901
266,-146.2288107828434,-146.2288107828434,-146.2288107828434
269,-146.3937298595948,-146.3937298595948,-146.3937298595948
272,-147.22944920367354,-147.22944920367354,-147.22944920367354
275,-146.24705254679168,-146.24705254679168,-146.24705254679168
278,-146.13336934152636,-146.13336934152636,-146.13336934152636
281,-145.33224223772817,-145.33224223772817,-145.33224223772817
284,-143.3051649855848,-143.3051649855848,-143.3051649855848
287,-141.88581050460314,-141.88581050460314,-141.88581050460314
290,-141.40915035744604,-141.40915035744604,-141.40915035744604
293,-140.01768838780964,-140.01768838780964,-140.01768838780964
296,-139.93606451985298,-139.93606451985298,-139.93606451985298
299,-140.06527395379533,-140.06527395379533,-140.06527395379533
302,-139.7267508173388,-139.7267508173388,-139.7267508173388
305,-139.53498715495138,-139.53498715495138,-139.53498715495138
308,-137.90445072785425,-137.90445072785425,-137.90445072785425
311,-138.8872461630181,-138.8872461630181,-138.8872461630181
314,-137.86401835657338,-137.86401835657338,-137.86401835657338
317,-134.30104613260082,-134.30104613260082,-134.30104613260082
320,-134.74667175135448,-134.74667175135448,-134.74667175135448
323,-132.08201816861245,-132.08201816861245,-132.08201816861245
326,-131.6044815232806,-131.6044815232806,-131.6044815232806
329,-130.88392137518784,-130.88392137518784,-130.88392137518784
332,-130.17439996326888,-130.17439996326888,-130.17439996326888
335,-130.64528167569975,-130.64528167569975,-130.64528167569975
338,-129.8930623701803,-129.8930623701803,-129.8930623701803
341,-130.1118637311126,-130.1118637311126,-130.1118637311126
344,-129.5665161163735,-129.5665161163735,-129.5665161163735
347,-129.14284969450296,-129.14284969450296,-129.14284969450296
350,-127.07906535362588,-127.07906535362588,-127.07906535362588
353,-126.32221718995856,-126.32221718995856,-126.32221718995856
356,-126.87162682912192,-126.87162682912192,-126.87162682912192
359,-126.22366476763548,-126.22366476763548,-126.22366476763548
362,-126.76391091622202,-126.76391091622202,-126.76391091622202
365,-122.9285360243564,-122.9285360243564,-122.9285360243564
368,-122.41309881269548,-122.41309881269548,-122.41309881269548
371,-121.06011086216354,-121.06011086216354,-121.06011086216354
374,-121.5693519656102,-121.5693519656102,-121.5693519656102
377,-121.31554770953436,-121.31554770953436,-121.31554770953436
380,-119.9929063286912,-119.9929063286912,-119.9929063286912
383,-119.05583293771522,-119.05583293771522,-119.05583293771522
386,-119.66281925646092,-119.66281925646092,-119.66281925646092
389,-118.86319413273682,-118.86319413273682,-118.86319413273682
392,-118.04985310182164,-118.04985310182164,-118.04985310182164
395,-119.29789135062424,-119.29789135062424,-119.29789135062424
398,-119.7589632272494,-119.7589632272494,-119.7589632272494
401,-119.25495592941084,-119.25495592941084,-119.25495592941084
404,-118.69977856470229,-118.69977856470229,-118.69977856470229
407,-117.8243763326858,-117.8243763326858,-117.8243763326858
410,-117.47436824269752,-117.47436824269752,-117.47436824269752
413,-118.02802802913214,-118.02802802913214,-118.02802802913214
416,-116.95559600073526,-116.95559600073526,-116.95559600073526
419,-117.67264353804414,-117.67264353804414,-117.67264353804414
422,-117.31003321026893,-117.31003321026893,-117.31003321026893
425,-117.00501023018982,-117.00501023018982,-117.00501023018982
428,-115.90319361429846,-115.90319361429846,-115.90319361429846
431,-115.9714010116245,-115.9714010116245,-115.9714010116245
434,-114.7960262152998,-114.7960262152998,-114.7960262152998
437,-115.41728584233968,-115.41728584233968,-115.41728584233968
440,-112.17002730208944,-112.17002730208944,-112.17002730208944
443,-111.76270901979947,-111.76270901979947,-111.76270901979947
446,-110.08172701283564,-110.08172701283564,-110.08172701283564
449,-108.863445941984,-108.863445941984,-108.863445941984
452,-107.42108608397868,-107.42108608397868,-107.42108608397868
455,-106.86648205675756,-106.86648205675756,-106.86648205675756
458,-106.99582783960086,-106.99582783960086,-106.99582783960086
461,-107.8011266137019,-107.8011266137019,-107.8011266137019
464,-107.65258808871044,-107.65258808871044,-107.65258808871044
467,-107.53759401184448,-107.53759401184448,-107.53759401184448
470,-107.5162666938462,-107.5162666938462,-107.5162666938462
473,-107.58563286726162,-107.58563286726162,-107.58563286726162
476,-107.528610788133,-107.528610788133,-107.528610788133
479,-107.38907606590058,-107.38907606590058,-107.38907606590058
482,-107.25777344952004,-107.25777344952004,-107.25777344952004
485,-106.88546915774096,-106.88546915774096,-106.88546915774096
488,-106.01826897168448,-106.01826897168448,-106.01826897168448
491,-105.88903141292032,-105.88903141292032,-105.88903141292032
494,-106.4852643012138,-106.4852643012138,-106.4852643012138
497,-106.26700891562744,-106.26700891562744,-106.26700891562744
500,-107.08625993177522,-107.08625993177522,-107.08625993177522
503,-107.3526868086249,-107.3526868086249,-107.3526868086249
506,-107.15861627756075,-107.15861627756075,-107.15861627756075
509,-107.1088035662103,-107.1088035662103,-107.1088035662103
512,-106.50229290156544,-106.50229290156544,-106.50229290156544
515,-106.51064241462838,-106.51064241462838,-106.51064241462838
518,-107.14038999358178,-107.14038999358178,-107.14038999358178
521,-105.93303144107364,-105.93303144107364,-105.93303144107364
524,-105.3273380983555,-105.3273380983555,-105.3273380983555
527,-105.325566771346,-105.325566771346,-105.325566771346
530,-105.85015814492118,-105.85015814492118,-105.85015814492118
533,-103.7338945370014,-103.7338945370014,-103.7338945370014
536,-104.30703365161554,-104.30703365161554,-104.30703365161554
539,-104.8196023333154,-104.8196023333154,-104.8196023333154
542,-104.89782520861466,-104.89782520861466,-104.89782520861466
545,-105.23857671265776,-105.23857671265776,-105.23857671265776
548,-104.09116193219664,-104.09116193219664,-104.09116193219664
551,-103.92711246934196,-103.92711246934196,-103.92711246934196
554,-103.82824770949632,-103.82824770949632,-103.82824770949632
557,-104.05866440411788,-104.05866440411788,-104.05866440411788
560,-103.9733035831988,-103.9733035831988,-103.9733035831988
563,-103.318273395929,-103.318273395929,-103.318273395929
566,-103.66535308514432,-103.66535308514432,-103.66535308514432
569,-103.83010179367896,-103.83010179367896,-103.83010179367896
572,-103.60645994237552,-103.60645994237552,-103.60645994237552
575,-103.3563517243237,-103.3563517243237,-103.3563517243237
578,-103.65852139331244,-103.65852139331244,-103.65852139331244
581,-103.9005992926038,-103.9005992926038,-103.9005992926038
584,-104.32831134648843,-104.32831134648843,-104.32831134648843
587,-104.39253693351476,-104.39253693351476,-104.39253693351476
590,-104.62072294127026,-104.62072294127026,-104.62072294127026
593,-102.59707444030748,-102.59707444030748,-102.59707444030748
596,-101.62626269835198,-101.62626269835198,-101.62626269835198
599,-102.15141819581297,-102.15141819581297,-102.15141819581297
602,-101.32550496468096,-101.32550496468096,-101.32550496468096
605,-100.7424975633573,-100.7424975633573,-100.7424975633573
608,-99.61087124199088,-99.61087124199088,-99.61087124199088
611,-97.5178258723434,-97.5178258723434,-97.5178258723434
614,-96.84830083256954,-96.84830083256954,-96.84830083256954
617,-96.61885526236574,-96.61885526236574,-96.61885526236574
620,-94.14359826482392,-94.14359826482392,-94.14359826482392
623,-93.653402123787,-93.653402123787,-93.653402123787
626,-92.83999991938909,-92.83999991938909,-92.83999991938909
629,-92.3468096908534,-92.3468096908534,-92.3468096908534
632,-90.23595233903951,-90.23595233903951,-90.23595233903951
635,-89.43914567244603,-89.43914567244603,-89.43914567244603
638,-87.73335834374802,-87.73335834374802,-87.73335834374802
641,-85.36988916004537,-85.36988916004537,-85.36988916004537
644,-84.09552475670672,-84.09552475670672,-84.09552475670672
647,-82.90077733043216,-82.90077733043216,-82.90077733043216
650,-81.28769881183533,-81.28769881183533,-81.28769881183533
653,-80.06433427335283,-80.06433427335283,-80.06433427335283
656,-79.4204846634197,-79.4204846634197,-79.4204846634197
659,-78.03181218223021,-78.03181218223021,-78.03181218223021
662,-76.70710527394507,-76.70710527394507,-76.70710527394507
665,-76.46485785061758,-76.46485785061758,-76.46485785061758
668,-76.01293511828048,-76.01293511828048,-76.01293511828048
671,-75.19377848500655,-75.19377848500655,-75.19377848500655
674,-74.01596147988192,-74.01596147988192,-74.01596147988192
677,-73.06659305421772,-73.06659305421772,-73.06659305421772
680,-72.76661659130814,-72.76661659130814,-72.76661659130814
683,-71.62446828202975,-71.62446828202975,-71.62446828202975
686,-71.4320316238207,-71.4320316238207,-71.4320316238207
689,-71.36455700286501,-71.36455700286501,-71.36455700286501
692,-73.09325732150033,-73.09325732150033,-73.09325732150033
695,-72.6482450506054,-72.6482450506054,-72.6482450506054
698,-70.74089253309877,-70.74089253309877,-70.74089253309877
701,-70.26571991024325,-70.26571991024325,-70.26571991024325
704,-69.48300028354961,-69.48300028354961,-69.48300028354961
707,-66.79901271618344,-66.79901271618344,-66.79901271618344
710,-66.736351099213,-66.736351099213,-66.736351099213
713,-65.9535434825344,-65.9535434825344,-65.9535434825344
716,-65.14997104069542,-65.14997104069542,-65.14997104069542
719,-65.92960466200282,-65.92960466200282,-65.92960466200282
722,-66.3713675646014,-66.3713675646014,-66.3713675646014
725,-65.66194270702037,-65.66194270702037,-65.66194270702037
728,-65.10553781158114,-65.10553781158114,-65.10553781158114
731,-65.52878104919803,-65.52878104919803,-65.52878104919803
734,-64.41347596007984,-64.41347596007984,-64.41347596007984
737,-63.97616573959323,-63.97616573959323,-63.97616573959323
740,-62.52719660217255,-62.52719660217255,-62.52719660217255
743,-61.96180962684674,-61.96180962684674,-61.96180962684674
746,-62.050650883222175,-62.050650883222175,-62.050650883222175
749,-60.533965790781146,-60.533965790781146,-60.533965790781146
752,-60.721175571363375,-60.721175571363375,-60.721175571363375
755,-60.3558403477241,-60.3558403477241,-60.3558403477241
758,-60.42376800190729,-60.42376800190729,-60.42376800190729
761,-59.60387419874891,-59.60387419874891,-59.60387419874891
764,-58.18455599290993,-58.18455599290993,-58.18455599290993
767,-57.99436125622216,-57.99436125622216,-57.99436125622216
770,-56.88417482976768,-56.88417482976768,-56.88417482976768
773,-56.63897978229947,-56.63897978229947,-56.63897978229947
776,-55.92057411637364,-55.92057411637364,-55.92057411637364
779,-55.94094180218015,-55.94094180218015,-55.94094180218015
782,-55.7874897173067,-55.7874897173067,-55.7874897173067
785,-55.09380775215988,-55.09380775215988,-55.09380775215988
788,-54.144518927182936,-54.144518927182936,-54.144518927182936
791,-53.40628744559993,-53.40628744559993,-53.40628744559993
794,-54.02634595194715,-54.02634595194715,-54.02634595194715
797,-53.19005672278693,-53.19005672278693,-53.19005672278693
800,-52.55525093218928,-52.55525093218928,-52.55525093218928
803,-50.15350217435651,-50.15350217435651,-50.15350217435651
806,-49.19945726627233,-49.19945726627233,-49.19945726627233
809,-49.26118310224042,-49.26118310224042,-49.26118310224042
812,-48.36655416206378,-48.36655416206378,-48.36655416206378
815,-48.60023271098806,-48.60023271098806,-48.60023271098806
818,-48.504151197529566,-48.504151197529566,-48.504151197529566
821,-49.24154458778708,-49.24154458778708,-49.24154458778708
824,-50.087146462107,-50.087146462107,-50.087146462107
827,-51.24993775821562,-51.24993775821562,-51.24993775821562
830,-50.58791155516597,-50.58791155516597,-50.58791155516597
833,-48.308455636895005,-48.308455636895005,-48.308455636895005
836,-47.43857747384986,-47.43857747384986,-47.43857747384986
839,-47.5809514688701,-47.5809514688701,-47.5809514688701
842,-46.49927519423476,-46.49927519423476,-46.49927519423476
845,-47.45920879275685,-47.45920879275685,-47.45920879275685
848,-47.47785087844055,-47.47785087844055,-47.47785087844055
851,-48.01504150343919,-48.01504150343919,-48.01504150343919
854,-48.74384447227243,-48.74384447227243,-48.74384447227243
857,-49.473058079184405,-49.473058079184405,-49.473058079184405
860,-49.7116341612068,-49.7116341612068,-49.7116341612068
863,-49.43713633994559,-49.43713633994559,-49.43713633994559
866,-50.12482290747578,-50.12482290747578,-50.12482290747578
869,-50.16966201969467,-50.16966201969467,-50.16966201969467
872,-49.36440126555096,-49.36440126555096,-49.36440126555096
875,-50.07189940331017,-50.07189940331017,-50.07189940331017
878,-48.80196084271455,-48.80196084271455,-48.80196084271455
881,-47.85774705477647,-47.85774705477647,-47.85774705477647
884,-48.76559585647514,-48.76559585647514,-48.76559585647514
887,-48.460982324763535,-48.460982324763535,-48.460982324763535
890,-46.82536117209968,-46.82536117209968,-46.82536117209968
893,-46.79891262303392,-46.79891262303392,-46.79891262303392
896,-46.687803961860055,-46.687803961860055,-46.687803961860055
899,-46.26574520925732,-46.26574520925732,-46.26574520925732
902,-46.20869988767592,-46.20869988767592,-46.20869988767592
905,-45.90668001385912,-45.90668001385912,-45.90668001385912
908,-45.3625213269781,-45.3625213269781,-45.3625213269781
911,-44.04299026151424,-44.04299026151424,-44.04299026151424
914,-43.04851478979654,-43.04851478979654,-43.04851478979654
917,-44.730632362377385,-44.730632362377385,-44.730632362377385
920,-44.14438344945707,-44.14438344945707,-44.14438344945707
923,-44.81921913696975,-44.81921913696975,-44.81921913696975
926,-44.08213829786903,-44.08213829786903,-44.08213829786903
929,-43.58611501809297,-43.58611501809297,-43.58611501809297
932,-44.19051439359756,-44.19051439359756,-44.19051439359756
935,-42.97542086553709,-42.97542086553709,-42.97542086553709
938,-42.5063414212651,-42.5063414212651,-42.5063414212651
941,-42.55786367427959,-42.55786367427959,-42.55786367427959
944,-42.20958008887758,-42.20958008887758,-42.20958008887758
947,-41.24542357971141,-41.24542357971141,-41.24542357971141
950,-40.965307856438805,-40.965307856438805,-40.965307856438805
953,-41.3414896418882,-41.3414896418882,-41.3414896418882
956,-41.252079504114135,-41.252079504114135,-41.252079504114135
959,-41.3100496455179,-41.3100496455179,-41.3100496455179
962,-40.78561698061692,-40.78561698061692,-40.78561698061692
965,-43.01321047292458,-43.01321047292458,-43.01321047292458
968,-42.72748061458864,-42.72748061458864,-42.72748061458864
971,-42.321686607796266,-42.321686607796266,-42.321686607796266
974,-42.27859842696411,-42.27859842696411,-42.27859842696411
977,-41.88858636171761,-41.88858636171761,-41.88858636171761
980,-40.31300358349273,-40.31300358349273,-40.31300358349273
983,-41.13795233518765,-41.13795233518765,-41.13795233518765
986,-39.62662509733534,-39.62662509733534,-39.62662509733534
989,-40.38635835690011,-40.38635835690011,-40.38635835690011
992,-40.34927345866353,-40.34927345866353,-40.34927345866353
995,-38.5204339038306,-38.5204339038306,-38.5204339038306
998,-37.32324971252047,-37.32324971252047,-37.32324971252047
1001,-37.49759182534584,-37.49759182534584,-37.49759182534584
1004,-37.9195403062723,-37.9195403062723,-37.9195403062723
1007,-38.401067105938445,-38.401067105938445,-38.401067105938445
1010,-38.95162548217458,-38.95162548217458,-38.95162548217458
1013,-37.83791258087891,-37.83791258087891,-37.83791258087891
1016,-38.76816661965804,-38.76816661965804,-38.76816661965804
1019,-37.49470138259575,-37.49470138259575,-37.49470138259575
1022,-38.37989461937383,-38.37989461937383,-38.37989461937383
1025,-37.73958647469917,-37.73958647469917,-37.73958647469917
1028,-39.09910353144181,-39.09910353144181,-39.09910353144181
1031,-38.25227213601572,-38.25227213601572,-38.25227213601572
1034,-39.45488539893682,-39.45488539893682,-39.45488539893682
1037,-38.82734874191046,-38.82734874191046,-38.82734874191046
1040,-41.53596761821043,-41.53596761821043,-41.53596761821043
1043,-41.10196233266841,-41.10196233266841,-41.10196233266841
1046,-42.94519871110802,-42.94519871110802,-42.94519871110802
1049,-43.50203949343133,-43.50203949343133,-43.50203949343133
1052,-44.62936376171923,-44.62936376171923,-44.62936376171923
1055,-45.490193430943926,-45.490193430943926,-45.490193430943926
1058,-45.598055256892046,-45.598055256892046,-45.598055256892046
1061,-44.354597081062096,-44.354597081062096,-44.354597081062096
1064,-43.90079816215536,-43.90079816215536,-43.90079816215536
1067,-43.957086144528006,-43.957086144528006,-43.957086144528006
1070,-43.77797758337936,-43.77797758337936,-43.77797758337936
1073,-42.582755301431646,-42.582755301431646,-42.582755301431646
1076,-42.50030823429567,-42.50030823429567,-42.50030823429567
1079,-43.05690254370698,-43.05690254370698,-43.05690254370698
1082,-43.02491279525511,-43.02491279525511,-43.02491279525511
1085,-43.46673857613274,-43.46673857613274,-43.46673857613274
1088,-42.79044761189049,-42.79044761189049,-42.79044761189049
1091,-42.841794326325214,-42.841794326325214,-42.841794326325214
1094,-41.45105066257453,-41.45105066257453,-41.45105066257453
1097,-41.10005669241137,-41.10005669241137,-41.10005669241137
1100,-38.66285242330451,-38.66285242330451,-38.66285242330451
1103,-38.43702880696485,-38.43702880696485,-38.43702880696485
1106,-38.95170208864073,-38.95170208864073,-38.95170208864073
1109,-38.46070587200715,-38.46070587200715,-38.46070587200715
1112,-38.81672983357922,-38.81672983357922,-38.81672983357922
1115,-38.65130275745817,-38.65130275745817,-38.65130275745817
1118,-38.37478325883163,-38.37478325883163,-38.37478325883163
1121,-37.60744131562058,-37.60744131562058,-37.60744131562058
1124,-38.417729285028265,-38.417729285028265,-38.417729285028265
1127,-37.729693133268455,-37.729693133268455,-37.729693133268455
1130,-36.997194404610624,-36.997194404610624,-36.997194404610624
1133,-38.49196582966537,-38.49196582966537,-38.49196582966537
1136,-37.55220599366642,-37.55220599366642,-37.55220599366642
1139,-37.2248646270006,-37.2248646270006,-37.2248646270006
1142,-37.04601982598402,-37.04601982598402,-37.04601982598402
1145,-36.39137112969521,-36.39137112969521,-36.39137112969521
1148,-38.18774201270149,-38.18774201270149,-38.18774201270149
1151,-38.34586610524748,-38.34586610524748,-38.34586610524748
1154,-36.48504053381101,-36.48504053381101,-36.48504053381101
1157,-36.356960998998325,-36.356960998998325,-36.356960998998325
1160,-35.582989203626404,-35.582989203626404,-35.582989203626404
1163,-36.31940524841157,-36.31940524841157,-36.31940524841157
1166,-35.427963313794976,-35.427963313794976,-35.427963313794976
1169,-35.51452117045938,-35.51452117045938,-35.51452117045938
1172,-34.67107696439406,-34.67107696439406,-34.67107696439406
1175,-35.49515579807123,-35.49515579807123,-35.49515579807123
1178,-34.76359580558926,-34.76359580558926,-34.76359580558926
1181,-35.18314756646788,-35.18314756646788,-35.18314756646788
1184,-34.474540860098024,-34.474540860098024,-34.474540860098024
1187,-34.943728963809164,-34.943728963809164,-34.943728963809164
1190,-35.13950994492046,-35.13950994492046,-35.13950994492046
1193,-37.14393876791047,-37.14393876791047,-37.14393876791047
1196,-38.08605097084494,-38.08605097084494,-38.08605097084494
1199,-37.79710887296251,-37.79710887296251,-37.79710887296251
1202,-37.92327388948693,-37.92327388948693,-37.92327388948693
1205,-38.17408774139841,-38.17408774139841,-38.17408774139841
1208,-39.06816114376964,-39.06816114376964,-39.06816114376964
1211,-41.447228022493945,-41.447228022493945,-41.447228022493945
1214,-41.72452025682261,-41.72452025682261,-41.72452025682261
1217,-41.44675286165781,-41.44675286165781,-41.44675286165781
1220,-43.4529138919839,-43.4529138919839,-43.4529138919839
1223,-43.27390148038853,-43.27390148038853,-43.27390148038853
1226,-43.775883123991,-43.775883123991,-43.775883123991
1229,-43.80120457468668,-43.80120457468668,-43.80120457468668
1232,-43.63025524748267,-43.63025524748267,-43.63025524748267
1235,-42.61475673584134,-42.61475673584134,-42.61475673584134
1238,-42.06688832338176,-42.06688832338176,-42.06688832338176
1241,-43.00667255196829,-43.00667255196829,-43.00667255196829
1244,-43.15812480703519,-43.15812480703519,-43.15812480703519
1247,-44.2418246142244,-44.2418246142244,-44.2418246142244
1250,-44.55915214858876,-44.55915214858876,-44.55915214858876
1253,-45.13366046948326,-45.13366046948326,-45.13366046948326
1256,-45.38538713154743,-45.38538713154743,-45.38538713154743
1259,-46.264329246080486,-46.264329246080486,-46.264329246080486
1262,-46.39143293931044,-46.39143293931044,-46.39143293931044
1265,-45.20206727004622,-45.20206727004622,-45.20206727004622
1268,-45.0712348306799,-45.0712348306799,-45.0712348306799
1271,-45.10010759789717,-45.10010759789717,-45.10010759789717
1274,-45.37923694353532,-45.37923694353532,-45.37923694353532
1277,-44.67905464704642,-44.67905464704642,-44.67905464704642
1280,-43.39745325381335,-43.39745325381335,-43.39745325381335
1283,-43.48443417704526,-43.48443417704526,-43.48443417704526
1286,-43.16907807050056,-43.16907807050056,-43.16907807050056
1289,-44.41568279804693,-44.41568279804693,-44.41568279804693
1292,-43.877960482125424,-43.877960482125424,-43.877960482125424
1295,-42.774617740775895,-42.774617740775895,-42.774617740775895
1298,-43.14397972838881,-43.14397972838881,-43.14397972838881
1301,-43.20143556826902,-43.20143556826902,-43.20143556826902
1304,-43.49671332969508,-43.49671332969508,-43.49671332969508
1307,-44.19371956488781,-44.19371956488781,-44.19371956488781
1310,-43.19422668883469,-43.19422668883469,-43.19422668883469
1313,-41.37558846707709,-41.37558846707709,-41.37558846707709
1316,-40.92093753019476,-40.92093753019476,-40.92093753019476
1319,-41.2396446542493,-41.2396446542493,-41.2396446542493
1322,-40.80844956856626,-40.80844956856626,-40.80844956856626
1325,-39.98634325169364,-39.98634325169364,-39.98634325169364
1328,-41.58665893247338,-41.58665893247338,-41.58665893247338
1331,-41.779877843945584,-41.779877843945584,-41.779877843945584
1334,-43.03317315423731,-43.03317315423731,-43.03317315423731
1337,-43.72671259683616,-43.72671259683616,-43.72671259683616
1340,-44.03459416541868,-44.03459416541868,-44.03459416541868
1343,-44.9022738415169,-44.9022738415169,-44.9022738415169
1346,-44.60646752444987,-44.60646752444987,-44.60646752444987
1349,-45.82603080514575,-45.82603080514575,-45.82603080514575
1352,-45.92924403149856,-45.92924403149856,-45.92924403149856
1355,-47.149327327434975,-47.149327327434975,-47.149327327434975
1358,-46.49929307916588,-46.49929307916588,-46.49929307916588
1361,-45.48511292801612,-45.48511292801612,-45.48511292801612
1364,-45.401906724782656,-45.401906724782656,-45.401906724782656
1367,-45.15437300515554,-45.15437300515554,-45.15437300515554
1370,-45.7966772724624,-45.7966772724624,-45.7966772724624
1373,-45.26831270234749,-45.26831270234749,-45.26831270234749
1376,-45.60962352039697,-45.60962352039697,-45.60962352039697
1379,-47.2431489354846,-47.2431489354846,-47.2431489354846
1382,-45.835866005798245,-45.835866005798245,-45.835866005798245
1385,-47.06849887664879,-47.06849887664879,-47.06849887664879
1388,-46.48099403126461,-46.48099403126461,-46.48099403126461
1391,-47.74896709584197,-47.74896709584197,-47.74896709584197
1394,-47.65495735968488,-47.65495735968488,-47.65495735968488
1397,-48.20257376634478,-48.20257376634478,-48.20257376634478
1400,-48.56524573697553,-48.56524573697553,-48.56524573697553
1403,-49.370367435982,-49.370367435982,-49.370367435982
1406,-49.778233451704246,-49.778233451704246,-49.778233451704246
1409,-48.91204918759669,-48.91204918759669,-48.91204918759669
1412,-49.00572809713611,-49.00572809713611,-49.00572809713611
