"Step","DQN_DQN_3_1 - Mean Episode Reward (Last 1000 episodes)","DQN_DQN_3_1 - Mean Episode Reward (Last 1000 episodes)__MIN","DQN_DQN_3_1 - Mean Episode Reward (Last 1000 episodes)__MAX"
"0","-31.55853077141897","-31.55853077141897","-31.55853077141897"
"1","-40.01892604033412","-40.01892604033412","-40.01892604033412"
"2","-4.302491136440396","-4.302491136440396","-4.302491136440396"
"3","-38.3286655144738","-38.3286655144738","-38.3286655144738"
"4","-33.7312621997077","-33.7312621997077","-33.7312621997077"
"5","-43.287069940922265","-43.287069940922265","-43.287069940922265"
"6","-39.69453843348349","-39.69453843348349","-39.69453843348349"
"7","-44.320435389338414","-44.320435389338414","-44.320435389338414"
"8","-41.40944346565564","-41.40944346565564","-41.40944346565564"
"9","-45.46552862609842","-45.46552862609842","-45.46552862609842"
"10","-46.932873224669585","-46.932873224669585","-46.932873224669585"
"11","-53.10275958772798","-53.10275958772798","-53.10275958772798"
"12","-46.34035417636446","-46.34035417636446","-46.34035417636446"
"13","-50.639431478047634","-50.639431478047634","-50.639431478047634"
"14","-53.473886448692426","-53.473886448692426","-53.473886448692426"
"15","-53.07506077688137","-53.07506077688137","-53.07506077688137"
"16","-49.425983628102394","-49.425983628102394","-49.425983628102394"
"17","-52.93269771326046","-52.93269771326046","-52.93269771326046"
"18","-51.01412911706542","-51.01412911706542","-51.01412911706542"
"19","-47.00902338582957","-47.00902338582957","-47.00902338582957"
"20","-48.16378733244806","-48.16378733244806","-48.16378733244806"
"21","-46.87297828398875","-46.87297828398875","-46.87297828398875"
"22","-43.318320877007174","-43.318320877007174","-43.318320877007174"
"23","-48.34529245829585","-48.34529245829585","-48.34529245829585"
"24","-47.664905056366344","-47.664905056366344","-47.664905056366344"
"25","-50.24860028060339","-50.24860028060339","-50.24860028060339"
"26","-51.415270254971375","-51.415270254971375","-51.415270254971375"
"27","-50.64234906214499","-50.64234906214499","-50.64234906214499"
"28","-52.70144484816902","-52.70144484816902","-52.70144484816902"
"29","-54.471853276229545","-54.471853276229545","-54.471853276229545"
"30","-52.563663174160006","-52.563663174160006","-52.563663174160006"
"31","-51.9850552707692","-51.9850552707692","-51.9850552707692"
"32","-53.89052948364809","-53.89052948364809","-53.89052948364809"
"33","-52.9340793873789","-52.9340793873789","-52.9340793873789"
"34","-49.421380735594745","-49.421380735594745","-49.421380735594745"
"35","-49.0463164019815","-49.0463164019815","-49.0463164019815"
"36","-53.033867891935344","-53.033867891935344","-53.033867891935344"
"37","-53.4108211486768","-53.4108211486768","-53.4108211486768"
"38","-55.555986880350574","-55.555986880350574","-55.555986880350574"
"39","-54.67901997461089","-54.67901997461089","-54.67901997461089"
"40","-56.16775675890402","-56.16775675890402","-56.16775675890402"
"41","-59.30923466247633","-59.30923466247633","-59.30923466247633"
"42","-60.18673591905454","-60.18673591905454","-60.18673591905454"
"43","-61.06536349131304","-61.06536349131304","-61.06536349131304"
"44","-62.57393062883585","-62.57393062883585","-62.57393062883585"
"45","-61.377978395237236","-61.377978395237236","-61.377978395237236"
"46","-59.30302940487424","-59.30302940487424","-59.30302940487424"
"47","-61.57191523664261","-61.57191523664261","-61.57191523664261"
"48","-61.38374806975545","-61.38374806975545","-61.38374806975545"
"49","-61.1665288407916","-61.1665288407916","-61.1665288407916"
"50","-61.454451882852354","-61.454451882852354","-61.454451882852354"
"51","-62.50774260344234","-62.50774260344234","-62.50774260344234"
"52","-61.96441779751191","-61.96441779751191","-61.96441779751191"
"53","-61.70453557464443","-61.70453557464443","-61.70453557464443"
"54","-61.64681406741656","-61.64681406741656","-61.64681406741656"
"55","-63.388471249856785","-63.388471249856785","-63.388471249856785"
"56","-62.733344517450774","-62.733344517450774","-62.733344517450774"
"57","-61.87729968146119","-61.87729968146119","-61.87729968146119"
"58","-60.38040800148663","-60.38040800148663","-60.38040800148663"
"59","-61.180098381256556","-61.180098381256556","-61.180098381256556"
"60","-63.36040593463954","-63.36040593463954","-63.36040593463954"
"61","-65.06160250458905","-65.06160250458905","-65.06160250458905"
"62","-64.42469512311101","-64.42469512311101","-64.42469512311101"
"63","-65.15125517798441","-65.15125517798441","-65.15125517798441"
"64","-65.22220797931814","-65.22220797931814","-65.22220797931814"
"65","-65.48336907337242","-65.48336907337242","-65.48336907337242"
"66","-66.94123910732404","-66.94123910732404","-66.94123910732404"
"67","-67.32755490757192","-67.32755490757192","-67.32755490757192"
"68","-66.91495520592963","-66.91495520592963","-66.91495520592963"
"69","-67.50485462668992","-67.50485462668992","-67.50485462668992"
"70","-67.48482387071353","-67.48482387071353","-67.48482387071353"
"71","-67.82924294930778","-67.82924294930778","-67.82924294930778"
"72","-67.39307495130394","-67.39307495130394","-67.39307495130394"
"73","-67.89313756408613","-67.89313756408613","-67.89313756408613"
"74","-68.87789614654169","-68.87789614654169","-68.87789614654169"
"75","-68.5200233146068","-68.5200233146068","-68.5200233146068"
"76","-68.38050249528715","-68.38050249528715","-68.38050249528715"
"77","-68.18397557610331","-68.18397557610331","-68.18397557610331"
"78","-70.06439836511869","-70.06439836511869","-70.06439836511869"
"79","-69.3594018756598","-69.3594018756598","-69.3594018756598"
"80","-70.18857750477413","-70.18857750477413","-70.18857750477413"
"81","-70.28651213736602","-70.28651213736602","-70.28651213736602"
"82","-71.02845938804109","-71.02845938804109","-71.02845938804109"
"83","-72.80831563835912","-72.80831563835912","-72.80831563835912"
"84","-73.29753360338398","-73.29753360338398","-73.29753360338398"
"85","-73.64575289143731","-73.64575289143731","-73.64575289143731"
"86","-73.3246666816354","-73.3246666816354","-73.3246666816354"
"87","-74.11492123632082","-74.11492123632082","-74.11492123632082"
"88","-75.01315392397404","-75.01315392397404","-75.01315392397404"
"89","-75.66900154748625","-75.66900154748625","-75.66900154748625"
"90","-76.90507454050037","-76.90507454050037","-76.90507454050037"
"91","-77.51019325338703","-77.51019325338703","-77.51019325338703"
"92","-76.97696156732128","-76.97696156732128","-76.97696156732128"
"93","-76.96109223210614","-76.96109223210614","-76.96109223210614"
"94","-76.88652429247924","-76.88652429247924","-76.88652429247924"
"95","-76.86104864760016","-76.86104864760016","-76.86104864760016"
"96","-77.64397500492011","-77.64397500492011","-77.64397500492011"
"97","-78.67882481634723","-78.67882481634723","-78.67882481634723"
"98","-78.29809761906472","-78.29809761906472","-78.29809761906472"
"99","-78.5001667121859","-78.5001667121859","-78.5001667121859"
"100","-77.44368999975849","-77.44368999975849","-77.44368999975849"
"101","-77.67753860520028","-77.67753860520028","-77.67753860520028"
"102","-77.51159175905235","-77.51159175905235","-77.51159175905235"
"103","-77.28274107815663","-77.28274107815663","-77.28274107815663"
"104","-77.79023937929516","-77.79023937929516","-77.79023937929516"
"105","-78.46053650579309","-78.46053650579309","-78.46053650579309"
"106","-78.91684707156293","-78.91684707156293","-78.91684707156293"
"107","-79.39568959859338","-79.39568959859338","-79.39568959859338"
"108","-79.56852252565861","-79.56852252565861","-79.56852252565861"
"109","-79.4276111454325","-79.4276111454325","-79.4276111454325"
"110","-79.6326138470852","-79.6326138470852","-79.6326138470852"
"111","-80.09327629667938","-80.09327629667938","-80.09327629667938"
"112","-80.71364923883222","-80.71364923883222","-80.71364923883222"
"113","-81.41047927740318","-81.41047927740318","-81.41047927740318"
"114","-81.54583410062222","-81.54583410062222","-81.54583410062222"
"115","-82.4228255672516","-82.4228255672516","-82.4228255672516"
"116","-82.92339090628224","-82.92339090628224","-82.92339090628224"
"117","-82.51808885183894","-82.51808885183894","-82.51808885183894"
"118","-82.58349876354707","-82.58349876354707","-82.58349876354707"
"119","-83.20390085597593","-83.20390085597593","-83.20390085597593"
"120","-83.06022121202562","-83.06022121202562","-83.06022121202562"
"121","-82.58906446681783","-82.58906446681783","-82.58906446681783"
"122","-83.63496677284792","-83.63496677284792","-83.63496677284792"
"123","-84.82620124526962","-84.82620124526962","-84.82620124526962"
"124","-86.36963297249346","-86.36963297249346","-86.36963297249346"
"125","-85.96437560948881","-85.96437560948881","-85.96437560948881"
"126","-86.77995140972685","-86.77995140972685","-86.77995140972685"
"127","-87.86035854374738","-87.86035854374738","-87.86035854374738"
"128","-88.65189217916613","-88.65189217916613","-88.65189217916613"
"129","-89.71333700243648","-89.71333700243648","-89.71333700243648"
"130","-89.29342243568873","-89.29342243568873","-89.29342243568873"
"131","-89.14659938803149","-89.14659938803149","-89.14659938803149"
"132","-90.0386129855945","-90.0386129855945","-90.0386129855945"
"133","-89.96069383482258","-89.96069383482258","-89.96069383482258"
"134","-89.643063210817","-89.643063210817","-89.643063210817"
"135","-90.13048767133964","-90.13048767133964","-90.13048767133964"
"136","-90.78177590983516","-90.78177590983516","-90.78177590983516"
"137","-90.694939392955","-90.694939392955","-90.694939392955"
"138","-90.46070381890743","-90.46070381890743","-90.46070381890743"
"139","-91.06269761433316","-91.06269761433316","-91.06269761433316"
"140","-90.8434010485821","-90.8434010485821","-90.8434010485821"
"141","-90.926677803821","-90.926677803821","-90.926677803821"
"142","-90.78147177210029","-90.78147177210029","-90.78147177210029"
"143","-90.47367374101971","-90.47367374101971","-90.47367374101971"
"144","-90.53491819218817","-90.53491819218817","-90.53491819218817"
"145","-91.54765897929555","-91.54765897929555","-91.54765897929555"
"146","-91.70427774817881","-91.70427774817881","-91.70427774817881"
"147","-90.96160093621148","-90.96160093621148","-90.96160093621148"
"148","-91.9145400973006","-91.9145400973006","-91.9145400973006"
"149","-92.12069672519516","-92.12069672519516","-92.12069672519516"
"150","-92.73111515780919","-92.73111515780919","-92.73111515780919"
"151","-92.64339354399932","-92.64339354399932","-92.64339354399932"
"152","-93.7240913685891","-93.7240913685891","-93.7240913685891"
"153","-93.62462589576202","-93.62462589576202","-93.62462589576202"
"154","-92.88408081252989","-92.88408081252989","-92.88408081252989"
"155","-93.01762061452507","-93.01762061452507","-93.01762061452507"
"156","-93.0894356169683","-93.0894356169683","-93.0894356169683"
"157","-93.84129998273592","-93.84129998273592","-93.84129998273592"
"158","-93.81412067428083","-93.81412067428083","-93.81412067428083"
"159","-94.50899680479645","-94.50899680479645","-94.50899680479645"
"160","-94.13184855863543","-94.13184855863543","-94.13184855863543"
"161","-94.54312539299139","-94.54312539299139","-94.54312539299139"
"162","-94.12566098965787","-94.12566098965787","-94.12566098965787"
"163","-94.68028536119348","-94.68028536119348","-94.68028536119348"
"164","-94.78109659159269","-94.78109659159269","-94.78109659159269"
"165","-96.07131862858832","-96.07131862858832","-96.07131862858832"
"166","-96.10073430357798","-96.10073430357798","-96.10073430357798"
"167","-95.9399770636856","-95.9399770636856","-95.9399770636856"
"168","-96.61928842434749","-96.61928842434749","-96.61928842434749"
"169","-96.26038304148072","-96.26038304148072","-96.26038304148072"
"170","-96.91219090585936","-96.91219090585936","-96.91219090585936"
"171","-96.72908088731721","-96.72908088731721","-96.72908088731721"
"172","-96.82575541158137","-96.82575541158137","-96.82575541158137"
"173","-97.116736661332","-97.116736661332","-97.116736661332"
"174","-96.81827093186081","-96.81827093186081","-96.81827093186081"
"175","-96.67477658973986","-96.67477658973986","-96.67477658973986"
"176","-97.15828853088381","-97.15828853088381","-97.15828853088381"
"177","-96.41802266864312","-96.41802266864312","-96.41802266864312"
"178","-96.51159300564555","-96.51159300564555","-96.51159300564555"
"179","-96.91647842541141","-96.91647842541141","-96.91647842541141"
"180","-97.14163556017787","-97.14163556017787","-97.14163556017787"
"181","-97.40315284550472","-97.40315284550472","-97.40315284550472"
"182","-97.79035150250806","-97.79035150250806","-97.79035150250806"
"183","-98.24702748527993","-98.24702748527993","-98.24702748527993"
"184","-98.2873657362487","-98.2873657362487","-98.2873657362487"
"185","-98.22776477491446","-98.22776477491446","-98.22776477491446"
"186","-98.36270608551837","-98.36270608551837","-98.36270608551837"
"187","-98.1430344893375","-98.1430344893375","-98.1430344893375"
"188","-98.52015327367667","-98.52015327367667","-98.52015327367667"
"189","-99.13766260362524","-99.13766260362524","-99.13766260362524"
"190","-99.11913742683336","-99.11913742683336","-99.11913742683336"
"191","-98.97747263007841","-98.97747263007841","-98.97747263007841"
"192","-98.76488147245496","-98.76488147245496","-98.76488147245496"
"193","-98.32255386833182","-98.32255386833182","-98.32255386833182"
"194","-97.991416719316","-97.991416719316","-97.991416719316"
"195","-97.82983243533526","-97.82983243533526","-97.82983243533526"
"196","-97.80785395474881","-97.80785395474881","-97.80785395474881"
"197","-97.77209529299567","-97.77209529299567","-97.77209529299567"
"198","-97.82848069875757","-97.82848069875757","-97.82848069875757"
"199","-98.07909108654337","-98.07909108654337","-98.07909108654337"
"200","-98.25413491928386","-98.25413491928386","-98.25413491928386"
"201","-98.10968857229314","-98.10968857229314","-98.10968857229314"
"202","-98.63608300355742","-98.63608300355742","-98.63608300355742"
"203","-98.44044584981923","-98.44044584981923","-98.44044584981923"
"204","-99.11488781023805","-99.11488781023805","-99.11488781023805"
"205","-99.57849433381648","-99.57849433381648","-99.57849433381648"
"206","-99.09217226042212","-99.09217226042212","-99.09217226042212"
"207","-99.56223513234342","-99.56223513234342","-99.56223513234342"
"208","-99.44770044912188","-99.44770044912188","-99.44770044912188"
"209","-99.98535723685912","-99.98535723685912","-99.98535723685912"
"210","-99.95730451488892","-99.95730451488892","-99.95730451488892"
"211","-99.79927076968659","-99.79927076968659","-99.79927076968659"
"212","-99.8385103665589","-99.8385103665589","-99.8385103665589"
"213","-99.97017808086986","-99.97017808086986","-99.97017808086986"
"214","-100.30107181665528","-100.30107181665528","-100.30107181665528"
"215","-100.88137061933392","-100.88137061933392","-100.88137061933392"
"216","-101.4691800931793","-101.4691800931793","-101.4691800931793"
"217","-102.52802250991427","-102.52802250991427","-102.52802250991427"
"218","-101.78530561805415","-101.78530561805415","-101.78530561805415"
"219","-101.48842952437657","-101.48842952437657","-101.48842952437657"
"220","-102.195539620433","-102.195539620433","-102.195539620433"
"221","-101.66939784328322","-101.66939784328322","-101.66939784328322"
"222","-101.45369978938415","-101.45369978938415","-101.45369978938415"
"223","-101.27863708375928","-101.27863708375928","-101.27863708375928"
"224","-101.14770858472288","-101.14770858472288","-101.14770858472288"
"225","-101.39209625125378","-101.39209625125378","-101.39209625125378"
"226","-101.23441144903533","-101.23441144903533","-101.23441144903533"
"227","-100.93250536335944","-100.93250536335944","-100.93250536335944"
"228","-101.06269027266517","-101.06269027266517","-101.06269027266517"
"229","-101.28471787108104","-101.28471787108104","-101.28471787108104"
