"Step","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"119","-49.50701803976374","-49.50701803976374","-49.50701803976374"
"120","-49.03032907431995","-49.03032907431995","-49.03032907431995"
"121","-48.22388975725808","-48.22388975725808","-48.22388975725808"
"122","-47.54952433653039","-47.54952433653039","-47.54952433653039"
"123","-47.33587408286391","-47.33587408286391","-47.33587408286391"
"124","-47.10347470051312","-47.10347470051312","-47.10347470051312"
"125","-46.39818191320485","-46.39818191320485","-46.39818191320485"
"126","-46.51550516924216","-46.51550516924216","-46.51550516924216"
"127","-46.06038780924955","-46.06038780924955","-46.06038780924955"
"128","-45.799321320070774","-45.799321320070774","-45.799321320070774"
"129","-45.64724577970121","-45.64724577970121","-45.64724577970121"
"130","-45.42900475447503","-45.42900475447503","-45.42900475447503"
"131","-45.169478633317524","-45.169478633317524","-45.169478633317524"
"132","-44.933767583969725","-44.933767583969725","-44.933767583969725"
"133","-44.669252513038685","-44.669252513038685","-44.669252513038685"
"134","-43.22680006660714","-43.22680006660714","-43.22680006660714"
"135","-42.53226329897458","-42.53226329897458","-42.53226329897458"
"136","-42.28614028595675","-42.28614028595675","-42.28614028595675"
"137","-42.06490215466232","-42.06490215466232","-42.06490215466232"
"138","-42.04959696434657","-42.04959696434657","-42.04959696434657"
"139","-41.47835692370794","-41.47835692370794","-41.47835692370794"
"140","-40.98093454252367","-40.98093454252367","-40.98093454252367"
"141","-40.757550061423686","-40.757550061423686","-40.757550061423686"
"142","-40.59923334531415","-40.59923334531415","-40.59923334531415"
"143","-40.57727378890264","-40.57727378890264","-40.57727378890264"
"144","-40.37705808228164","-40.37705808228164","-40.37705808228164"
"145","-40.19678047960572","-40.19678047960572","-40.19678047960572"
"146","-39.22003598609822","-39.22003598609822","-39.22003598609822"
"147","-39.114357409811625","-39.114357409811625","-39.114357409811625"
"148","-38.980352842272154","-38.980352842272154","-38.980352842272154"
"149","-38.734985775729776","-38.734985775729776","-38.734985775729776"
"150","-38.54707173588476","-38.54707173588476","-38.54707173588476"
"151","-38.381464303906675","-38.381464303906675","-38.381464303906675"
"152","-38.423751818357395","-38.423751818357395","-38.423751818357395"
"153","-38.29014156047135","-38.29014156047135","-38.29014156047135"
"154","-38.12580633479052","-38.12580633479052","-38.12580633479052"
"155","-38.01700075215502","-38.01700075215502","-38.01700075215502"
"156","-37.83819641613403","-37.83819641613403","-37.83819641613403"
"157","-37.096713955921395","-37.096713955921395","-37.096713955921395"
"158","-37.226855691756086","-37.226855691756086","-37.226855691756086"
"159","-37.086086355223564","-37.086086355223564","-37.086086355223564"
"160","-36.95114199939085","-36.95114199939085","-36.95114199939085"
"161","-36.85249616419568","-36.85249616419568","-36.85249616419568"
"162","-36.324528181622576","-36.324528181622576","-36.324528181622576"
"163","-35.92004718991367","-35.92004718991367","-35.92004718991367"
"164","-35.630347939780854","-35.630347939780854","-35.630347939780854"
"165","-35.12831983404058","-35.12831983404058","-35.12831983404058"
"166","-35.18024568543565","-35.18024568543565","-35.18024568543565"
"167","-34.802534484215926","-34.802534484215926","-34.802534484215926"
"168","-35.67629437470682","-35.67629437470682","-35.67629437470682"
"169","-35.53274889762412","-35.53274889762412","-35.53274889762412"
"170","-35.51592526691014","-35.51592526691014","-35.51592526691014"
"171","-35.39951397033694","-35.39951397033694","-35.39951397033694"
"172","-35.35914412686156","-35.35914412686156","-35.35914412686156"
"173","-34.99646494460911","-34.99646494460911","-34.99646494460911"
"174","-34.88578219509392","-34.88578219509392","-34.88578219509392"
"175","-35.05969472670471","-35.05969472670471","-35.05969472670471"
"176","-35.24965259172554","-35.24965259172554","-35.24965259172554"
"177","-35.11735711742124","-35.11735711742124","-35.11735711742124"
"178","-34.75722621426407","-34.75722621426407","-34.75722621426407"
"179","-34.68719632093397","-34.68719632093397","-34.68719632093397"
"180","-34.541558807866075","-34.541558807866075","-34.541558807866075"
"181","-34.54012568568951","-34.54012568568951","-34.54012568568951"
"182","-34.31444671781247","-34.31444671781247","-34.31444671781247"
"183","-33.97893372177746","-33.97893372177746","-33.97893372177746"
"184","-33.87358001357831","-33.87358001357831","-33.87358001357831"
"185","-33.848951270577956","-33.848951270577956","-33.848951270577956"
"186","-33.80026526203849","-33.80026526203849","-33.80026526203849"
"187","-33.75480867754802","-33.75480867754802","-33.75480867754802"
"188","-33.235250429609984","-33.235250429609984","-33.235250429609984"
"189","-33.52240994675526","-33.52240994675526","-33.52240994675526"
"190","-33.277375230313325","-33.277375230313325","-33.277375230313325"
"191","-33.19617647639121","-33.19617647639121","-33.19617647639121"
"192","-32.86149766632619","-32.86149766632619","-32.86149766632619"
"193","-32.8163426258204","-32.8163426258204","-32.8163426258204"
"194","-32.94273078023351","-32.94273078023351","-32.94273078023351"
"195","-32.74929612892532","-32.74929612892532","-32.74929612892532"
"196","-32.77146383466854","-32.77146383466854","-32.77146383466854"
"197","-33.17120011991736","-33.17120011991736","-33.17120011991736"
"198","-33.13987970936095","-33.13987970936095","-33.13987970936095"
"199","-33.03015044571831","-33.03015044571831","-33.03015044571831"
"200","-32.73363821584325","-32.73363821584325","-32.73363821584325"
"201","-33.13182416965479","-33.13182416965479","-33.13182416965479"
"202","-32.97631973468539","-32.97631973468539","-32.97631973468539"
"203","-31.90785411814942","-31.90785411814942","-31.90785411814942"
"204","-31.491822257452796","-31.491822257452796","-31.491822257452796"
"205","-31.605793876754255","-31.605793876754255","-31.605793876754255"
"206","-31.054615837667153","-31.054615837667153","-31.054615837667153"
"207","-30.144675915426475","-30.144675915426475","-30.144675915426475"
"208","-29.58074649635329","-29.58074649635329","-29.58074649635329"
"209","-29.371008419715057","-29.371008419715057","-29.371008419715057"
"210","-28.46546523200339","-28.46546523200339","-28.46546523200339"
"211","-27.92841687431309","-27.92841687431309","-27.92841687431309"
"212","-26.93943634829739","-26.93943634829739","-26.93943634829739"
"213","-26.461026317344643","-26.461026317344643","-26.461026317344643"
"214","-25.266111606636237","-25.266111606636237","-25.266111606636237"
"215","-25.06032493197598","-25.06032493197598","-25.06032493197598"
"216","-24.428360520319313","-24.428360520319313","-24.428360520319313"
"217","-24.5570691068075","-24.5570691068075","-24.5570691068075"
"218","-23.500116720988995","-23.500116720988995","-23.500116720988995"
"219","-22.389492684728012","-22.389492684728012","-22.389492684728012"
"220","-21.44332181521983","-21.44332181521983","-21.44332181521983"
"221","-20.851486738154804","-20.851486738154804","-20.851486738154804"
"222","-20.543180566283837","-20.543180566283837","-20.543180566283837"
"223","-20.41244494960001","-20.41244494960001","-20.41244494960001"
"224","-20.901226712995573","-20.901226712995573","-20.901226712995573"
"225","-20.41102840390819","-20.41102840390819","-20.41102840390819"
"226","-19.23104765299247","-19.23104765299247","-19.23104765299247"
"227","-18.885882159117692","-18.885882159117692","-18.885882159117692"
"228","-18.18429859669172","-18.18429859669172","-18.18429859669172"
"229","-17.68859727561872","-17.68859727561872","-17.68859727561872"
"230","-16.99533943147096","-16.99533943147096","-16.99533943147096"
"231","-17.603448498057038","-17.603448498057038","-17.603448498057038"
"232","-17.312753020337098","-17.312753020337098","-17.312753020337098"
"233","-17.137466518446423","-17.137466518446423","-17.137466518446423"
"234","-17.156739038636076","-17.156739038636076","-17.156739038636076"
"235","-15.808684220054396","-15.808684220054396","-15.808684220054396"
"236","-14.790261410332535","-14.790261410332535","-14.790261410332535"
"237","-14.414118395295258","-14.414118395295258","-14.414118395295258"
"238","-13.896896278783078","-13.896896278783078","-13.896896278783078"
"239","-13.593681465499392","-13.593681465499392","-13.593681465499392"
"240","-13.061860822948784","-13.061860822948784","-13.061860822948784"
"241","-13.286113658013164","-13.286113658013164","-13.286113658013164"
"242","-12.085798037551603","-12.085798037551603","-12.085798037551603"
"243","-12.405056446246826","-12.405056446246826","-12.405056446246826"
"244","-12.282030326733443","-12.282030326733443","-12.282030326733443"
"245","-12.159337071784819","-12.159337071784819","-12.159337071784819"
"246","-12.185836758886156","-12.185836758886156","-12.185836758886156"
"247","-11.63458089308047","-11.63458089308047","-11.63458089308047"
"248","-10.911472569356516","-10.911472569356516","-10.911472569356516"
"249","-9.90856374851025","-9.90856374851025","-9.90856374851025"
"250","-9.725521742584952","-9.725521742584952","-9.725521742584952"
"251","-9.25784571548567","-9.25784571548567","-9.25784571548567"
"252","-8.897272486954591","-8.897272486954591","-8.897272486954591"
"253","-8.870302076396419","-8.870302076396419","-8.870302076396419"
"254","-8.78895319566804","-8.78895319566804","-8.78895319566804"
"255","-8.538492214902478","-8.538492214902478","-8.538492214902478"
"256","-8.028382290353093","-8.028382290353093","-8.028382290353093"
"257","-7.978387184031592","-7.978387184031592","-7.978387184031592"
"258","-7.875850672127102","-7.875850672127102","-7.875850672127102"
"259","-8.06505621067535","-8.06505621067535","-8.06505621067535"
"260","-8.136250154096022","-8.136250154096022","-8.136250154096022"
"261","-7.978169043197844","-7.978169043197844","-7.978169043197844"
"262","-7.803735904574537","-7.803735904574537","-7.803735904574537"
"263","-7.614916872835576","-7.614916872835576","-7.614916872835576"
"264","-7.553888928425858","-7.553888928425858","-7.553888928425858"
"265","-7.538833066870113","-7.538833066870113","-7.538833066870113"
"266","-7.518932200099068","-7.518932200099068","-7.518932200099068"
"267","-7.307058358021435","-7.307058358021435","-7.307058358021435"
"268","-7.1423251694761","-7.1423251694761","-7.1423251694761"
"269","-6.7542085603267745","-6.7542085603267745","-6.7542085603267745"
"270","-6.750738662829383","-6.750738662829383","-6.750738662829383"
"271","-6.13984642375513","-6.13984642375513","-6.13984642375513"
"272","-5.917294159780949","-5.917294159780949","-5.917294159780949"
"273","-5.772340174052665","-5.772340174052665","-5.772340174052665"
"274","-5.416122996296416","-5.416122996296416","-5.416122996296416"
"275","-6.337323166153909","-6.337323166153909","-6.337323166153909"
"276","-5.895255808161568","-5.895255808161568","-5.895255808161568"
"277","-5.6750626150695895","-5.6750626150695895","-5.6750626150695895"
"278","-5.783168960434482","-5.783168960434482","-5.783168960434482"
"279","-5.93007967190158","-5.93007967190158","-5.93007967190158"
"280","-5.86215096049207","-5.86215096049207","-5.86215096049207"
"281","-5.9406788159754065","-5.9406788159754065","-5.9406788159754065"
"282","-5.688235496710705","-5.688235496710705","-5.688235496710705"
"283","-5.711186612212183","-5.711186612212183","-5.711186612212183"
"284","-5.757874044192938","-5.757874044192938","-5.757874044192938"
"285","-5.762068906126974","-5.762068906126974","-5.762068906126974"
"286","-6.053492346512653","-6.053492346512653","-6.053492346512653"
"287","-6.101284187580043","-6.101284187580043","-6.101284187580043"
"288","-5.983046725923483","-5.983046725923483","-5.983046725923483"
"289","-5.719266495703599","-5.719266495703599","-5.719266495703599"
"290","-5.532628953001595","-5.532628953001595","-5.532628953001595"
"291","-5.6423011209629355","-5.6423011209629355","-5.6423011209629355"
"292","-6.261793750631947","-6.261793750631947","-6.261793750631947"
"293","-6.821994205460178","-6.821994205460178","-6.821994205460178"
"294","-7.356114230497257","-7.356114230497257","-7.356114230497257"
"295","-7.78069647925226","-7.78069647925226","-7.78069647925226"
"296","-7.501237811930921","-7.501237811930921","-7.501237811930921"
"297","-7.58827698752303","-7.58827698752303","-7.58827698752303"
"298","-7.62776401773986","-7.62776401773986","-7.62776401773986"
"299","-7.869662960626723","-7.869662960626723","-7.869662960626723"
"300","-7.715862319955944","-7.715862319955944","-7.715862319955944"
"301","-7.579110226688715","-7.579110226688715","-7.579110226688715"
"302","-7.503300742984532","-7.503300742984532","-7.503300742984532"
"303","-7.578873315328507","-7.578873315328507","-7.578873315328507"
"304","-7.906476515105801","-7.906476515105801","-7.906476515105801"
"305","-7.772251687306135","-7.772251687306135","-7.772251687306135"
"306","-7.766421604817307","-7.766421604817307","-7.766421604817307"
"307","-7.345621882503632","-7.345621882503632","-7.345621882503632"
"308","-6.532029204492096","-6.532029204492096","-6.532029204492096"
"309","-6.600744393356169","-6.600744393356169","-6.600744393356169"
"310","-6.741724909992934","-6.741724909992934","-6.741724909992934"
"311","-6.66002235456131","-6.66002235456131","-6.66002235456131"
"312","-6.997741269635762","-6.997741269635762","-6.997741269635762"
"313","-7.529833549233107","-7.529833549233107","-7.529833549233107"
"314","-7.5786537210354075","-7.5786537210354075","-7.5786537210354075"
"315","-7.842667589220814","-7.842667589220814","-7.842667589220814"
"316","-7.566662591527967","-7.566662591527967","-7.566662591527967"
"317","-7.8266190413163095","-7.8266190413163095","-7.8266190413163095"
"318","-7.7161521841452565","-7.7161521841452565","-7.7161521841452565"
"319","-7.8252304287765195","-7.8252304287765195","-7.8252304287765195"
"320","-7.918770843447842","-7.918770843447842","-7.918770843447842"
"321","-7.709958838259143","-7.709958838259143","-7.709958838259143"
"322","-7.936109105194897","-7.936109105194897","-7.936109105194897"
"323","-7.9374267862329635","-7.9374267862329635","-7.9374267862329635"
"324","-7.898725633312778","-7.898725633312778","-7.898725633312778"
"325","-7.992245270433905","-7.992245270433905","-7.992245270433905"
"326","-7.69042431538913","-7.69042431538913","-7.69042431538913"
"327","-7.8307029853606","-7.8307029853606","-7.8307029853606"
"328","-7.824104992834055","-7.824104992834055","-7.824104992834055"
"329","-7.880298354237209","-7.880298354237209","-7.880298354237209"
"330","-7.5945268916515385","-7.5945268916515385","-7.5945268916515385"
"331","-7.7216679722361246","-7.7216679722361246","-7.7216679722361246"
"332","-7.400677000593703","-7.400677000593703","-7.400677000593703"
"333","-7.438621083021596","-7.438621083021596","-7.438621083021596"
"334","-8.447380824425647","-8.447380824425647","-8.447380824425647"
"335","-8.768814497938811","-8.768814497938811","-8.768814497938811"
"336","-8.837977994639976","-8.837977994639976","-8.837977994639976"
"337","-8.844149666174454","-8.844149666174454","-8.844149666174454"
"338","-8.799014715783136","-8.799014715783136","-8.799014715783136"
"339","-9.180090260659437","-9.180090260659437","-9.180090260659437"
"340","-9.175597749199774","-9.175597749199774","-9.175597749199774"
"341","-8.886270068075673","-8.886270068075673","-8.886270068075673"
"342","-8.937974994878774","-8.937974994878774","-8.937974994878774"
"343","-8.866328369539298","-8.866328369539298","-8.866328369539298"
"344","-8.767160447388592","-8.767160447388592","-8.767160447388592"
"345","-8.801548434237416","-8.801548434237416","-8.801548434237416"
"346","-9.486206733003847","-9.486206733003847","-9.486206733003847"
"347","-9.438804437357355","-9.438804437357355","-9.438804437357355"
"348","-9.583992738677031","-9.583992738677031","-9.583992738677031"
"349","-9.638108362866081","-9.638108362866081","-9.638108362866081"
"350","-9.639088624891698","-9.639088624891698","-9.639088624891698"
"351","-9.638435580174718","-9.638435580174718","-9.638435580174718"
"352","-9.456923560556993","-9.456923560556993","-9.456923560556993"
"353","-9.425638750160632","-9.425638750160632","-9.425638750160632"
"354","-9.702505602917208","-9.702505602917208","-9.702505602917208"
"355","-9.341584058389756","-9.341584058389756","-9.341584058389756"
"356","-9.14996290135141","-9.14996290135141","-9.14996290135141"
"357","-9.538269665383181","-9.538269665383181","-9.538269665383181"
"358","-9.320293094839645","-9.320293094839645","-9.320293094839645"
"359","-8.916373331513514","-8.916373331513514","-8.916373331513514"
"360","-8.268988092151632","-8.268988092151632","-8.268988092151632"
"361","-8.248266874940814","-8.248266874940814","-8.248266874940814"
"362","-8.444423036418918","-8.444423036418918","-8.444423036418918"
"363","-8.663245827670005","-8.663245827670005","-8.663245827670005"
"364","-8.91622706445592","-8.91622706445592","-8.91622706445592"
"365","-9.266074499199528","-9.266074499199528","-9.266074499199528"
"366","-9.109349701621767","-9.109349701621767","-9.109349701621767"
"367","-9.223347607070599","-9.223347607070599","-9.223347607070599"
"368","-8.37635447381342","-8.37635447381342","-8.37635447381342"
"369","-8.293881437776397","-8.293881437776397","-8.293881437776397"
"370","-8.00351623765127","-8.00351623765127","-8.00351623765127"
"371","-8.008075707782425","-8.008075707782425","-8.008075707782425"
"372","-7.81897344169867","-7.81897344169867","-7.81897344169867"
"373","-8.01440257270017","-8.01440257270017","-8.01440257270017"
"374","-8.003505352423462","-8.003505352423462","-8.003505352423462"
"375","-7.427277341013147","-7.427277341013147","-7.427277341013147"
"376","-7.168942084564017","-7.168942084564017","-7.168942084564017"
"377","-7.207372626491579","-7.207372626491579","-7.207372626491579"
"378","-7.481899660852878","-7.481899660852878","-7.481899660852878"
"379","-6.823393810762073","-6.823393810762073","-6.823393810762073"
"380","-6.888590780443128","-6.888590780443128","-6.888590780443128"
"381","-6.795915837469907","-6.795915837469907","-6.795915837469907"
"382","-6.684924786974835","-6.684924786974835","-6.684924786974835"
"383","-6.87777265852268","-6.87777265852268","-6.87777265852268"
"384","-6.636932368270454","-6.636932368270454","-6.636932368270454"
"385","-6.596327499629877","-6.596327499629877","-6.596327499629877"
"386","-6.443124995872205","-6.443124995872205","-6.443124995872205"
"387","-6.441497007790035","-6.441497007790035","-6.441497007790035"
"388","-6.834529589813261","-6.834529589813261","-6.834529589813261"
"389","-6.444655944909458","-6.444655944909458","-6.444655944909458"
"390","-6.60408425322268","-6.60408425322268","-6.60408425322268"
"391","-6.646046241250063","-6.646046241250063","-6.646046241250063"
"392","-6.873653577131254","-6.873653577131254","-6.873653577131254"
"393","-6.843860464815306","-6.843860464815306","-6.843860464815306"
"394","-6.625505459626729","-6.625505459626729","-6.625505459626729"
"395","-6.483162204167146","-6.483162204167146","-6.483162204167146"
"396","-6.483535075207495","-6.483535075207495","-6.483535075207495"
"397","-5.989817204055832","-5.989817204055832","-5.989817204055832"
"398","-5.908886436467363","-5.908886436467363","-5.908886436467363"
"399","-5.627704798934498","-5.627704798934498","-5.627704798934498"
"400","-5.3678589687510705","-5.3678589687510705","-5.3678589687510705"
"401","-4.711534625573717","-4.711534625573717","-4.711534625573717"
"402","-5.1142489241322515","-5.1142489241322515","-5.1142489241322515"
"403","-5.174189417192523","-5.174189417192523","-5.174189417192523"
"404","-5.09052495336085","-5.09052495336085","-5.09052495336085"
"405","-4.356817085937487","-4.356817085937487","-4.356817085937487"
"406","-4.0250569252674975","-4.0250569252674975","-4.0250569252674975"
"407","-3.9292611771503196","-3.9292611771503196","-3.9292611771503196"
"408","-3.944216672459687","-3.944216672459687","-3.944216672459687"
"409","-3.7866416119724238","-3.7866416119724238","-3.7866416119724238"
"410","-3.902829310814529","-3.902829310814529","-3.902829310814529"
"411","-4.138228840477732","-4.138228840477732","-4.138228840477732"
"412","-4.204115086160811","-4.204115086160811","-4.204115086160811"
"413","-4.079157319274242","-4.079157319274242","-4.079157319274242"
"414","-4.2889242218780455","-4.2889242218780455","-4.2889242218780455"
"415","-4.078827485721586","-4.078827485721586","-4.078827485721586"
"416","-4.245902096234895","-4.245902096234895","-4.245902096234895"
"417","-3.9743202305221015","-3.9743202305221015","-3.9743202305221015"
"418","-4.2675672715302655","-4.2675672715302655","-4.2675672715302655"
"419","-4.384432954856785","-4.384432954856785","-4.384432954856785"
"420","-4.333747778069817","-4.333747778069817","-4.333747778069817"
"421","-4.334352841799627","-4.334352841799627","-4.334352841799627"
"422","-4.326695988442933","-4.326695988442933","-4.326695988442933"
"423","-4.305778627297164","-4.305778627297164","-4.305778627297164"
"424","-4.006821219351096","-4.006821219351096","-4.006821219351096"
"425","-3.9570592137025518","-3.9570592137025518","-3.9570592137025518"
"426","-4.025652281980581","-4.025652281980581","-4.025652281980581"
"427","-4.134382260696455","-4.134382260696455","-4.134382260696455"
"428","-4.126979846093076","-4.126979846093076","-4.126979846093076"
"429","-3.9712952402977986","-3.9712952402977986","-3.9712952402977986"
"430","-3.9616432318639916","-3.9616432318639916","-3.9616432318639916"
"431","-3.2233629800785786","-3.2233629800785786","-3.2233629800785786"
"432","-3.0975049367462737","-3.0975049367462737","-3.0975049367462737"
"433","-2.438568157354162","-2.438568157354162","-2.438568157354162"
"434","-2.3676986303392304","-2.3676986303392304","-2.3676986303392304"
"435","-2.2218777024472125","-2.2218777024472125","-2.2218777024472125"
"436","-2.450353076434797","-2.450353076434797","-2.450353076434797"
"437","-2.494325316515392","-2.494325316515392","-2.494325316515392"
"438","-2.458793645948253","-2.458793645948253","-2.458793645948253"
"439","-2.3462453297143013","-2.3462453297143013","-2.3462453297143013"
"440","-2.143190599419299","-2.143190599419299","-2.143190599419299"
