"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"254","-82.18343000300209","-82.18343000300209","-82.18343000300209"
"257","-79.78535619441863","-79.78535619441863","-79.78535619441863"
"260","-79.4586772373199","-79.4586772373199","-79.4586772373199"
"263","-74.35635761036794","-74.35635761036794","-74.35635761036794"
"266","-72.59699710959256","-72.59699710959256","-72.59699710959256"
"269","-68.66904911842566","-68.66904911842566","-68.66904911842566"
"272","-66.98724494556251","-66.98724494556251","-66.98724494556251"
"275","-67.02828628372403","-67.02828628372403","-67.02828628372403"
"278","-64.98996346716471","-64.98996346716471","-64.98996346716471"
"281","-63.1199011398638","-63.1199011398638","-63.1199011398638"
"284","-59.171241997201975","-59.171241997201975","-59.171241997201975"
"287","-56.65376320852547","-56.65376320852547","-56.65376320852547"
"290","-54.14326984059326","-54.14326984059326","-54.14326984059326"
"293","-53.66792890245706","-53.66792890245706","-53.66792890245706"
"296","-47.58222799785043","-47.58222799785043","-47.58222799785043"
"299","-44.78052564308097","-44.78052564308097","-44.78052564308097"
"302","-41.660180355912665","-41.660180355912665","-41.660180355912665"
"305","-39.71624965586729","-39.71624965586729","-39.71624965586729"
"308","-37.52446736705529","-37.52446736705529","-37.52446736705529"
"311","-35.307175907280886","-35.307175907280886","-35.307175907280886"
"314","-34.126472838595234","-34.126472838595234","-34.126472838595234"
"317","-31.8338137682189","-31.8338137682189","-31.8338137682189"
"320","-27.70866769840242","-27.70866769840242","-27.70866769840242"
"323","-26.247127081273625","-26.247127081273625","-26.247127081273625"
"326","-25.14066637100582","-25.14066637100582","-25.14066637100582"
"329","-23.796161878869675","-23.796161878869675","-23.796161878869675"
"332","-20.22192065449697","-20.22192065449697","-20.22192065449697"
"335","-18.359791464722996","-18.359791464722996","-18.359791464722996"
"338","-16.751973292526444","-16.751973292526444","-16.751973292526444"
"341","-16.530195853634165","-16.530195853634165","-16.530195853634165"
"344","-15.078286124252289","-15.078286124252289","-15.078286124252289"
"347","-13.513122431940253","-13.513122431940253","-13.513122431940253"
"350","-11.982708885831293","-11.982708885831293","-11.982708885831293"
"353","-11.24918152777666","-11.24918152777666","-11.24918152777666"
"356","-8.839618013690052","-8.839618013690052","-8.839618013690052"
