"Step","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MAX"
"99","-54.26903726090337","-54.26903726090337","-54.26903726090337"
"100","-54.87233851133826","-54.87233851133826","-54.87233851133826"
"101","-54.87604941691178","-54.87604941691178","-54.87604941691178"
"102","-55.3143465841853","-55.3143465841853","-55.3143465841853"
"103","-55.40915372754652","-55.40915372754652","-55.40915372754652"
"104","-54.75250585470361","-54.75250585470361","-54.75250585470361"
"105","-54.978917102835396","-54.978917102835396","-54.978917102835396"
"106","-55.870543026053646","-55.870543026053646","-55.870543026053646"
"107","-55.706786227612184","-55.706786227612184","-55.706786227612184"
"108","-54.87872285742793","-54.87872285742793","-54.87872285742793"
"109","-55.33939454622973","-55.33939454622973","-55.33939454622973"
"110","-55.408490622228804","-55.408490622228804","-55.408490622228804"
"111","-55.44560708016712","-55.44560708016712","-55.44560708016712"
"112","-56.11165430208106","-56.11165430208106","-56.11165430208106"
"113","-55.404446195544864","-55.404446195544864","-55.404446195544864"
"114","-55.76403834146216","-55.76403834146216","-55.76403834146216"
"115","-55.815023011494574","-55.815023011494574","-55.815023011494574"
"116","-55.51104659657609","-55.51104659657609","-55.51104659657609"
"117","-55.5185347306534","-55.5185347306534","-55.5185347306534"
"118","-56.113041266750734","-56.113041266750734","-56.113041266750734"
"119","-55.982084847254406","-55.982084847254406","-55.982084847254406"
"120","-56.55341983528697","-56.55341983528697","-56.55341983528697"
"121","-56.39712739116065","-56.39712739116065","-56.39712739116065"
"122","-57.084884890518985","-57.084884890518985","-57.084884890518985"
"123","-57.31782996691188","-57.31782996691188","-57.31782996691188"
"124","-56.87591619445739","-56.87591619445739","-56.87591619445739"
"125","-57.21167975695103","-57.21167975695103","-57.21167975695103"
"126","-57.10748189795577","-57.10748189795577","-57.10748189795577"
"127","-56.95285965683874","-56.95285965683874","-56.95285965683874"
"128","-57.48760653768447","-57.48760653768447","-57.48760653768447"
"129","-57.5972294531208","-57.5972294531208","-57.5972294531208"
"130","-57.54515965279833","-57.54515965279833","-57.54515965279833"
"131","-57.71300370282466","-57.71300370282466","-57.71300370282466"
"132","-57.993425048556","-57.993425048556","-57.993425048556"
"133","-58.000398174731785","-58.000398174731785","-58.000398174731785"
"134","-57.99197815814001","-57.99197815814001","-57.99197815814001"
"135","-57.51261657495824","-57.51261657495824","-57.51261657495824"
"136","-57.80647550866957","-57.80647550866957","-57.80647550866957"
"137","-57.79336013148109","-57.79336013148109","-57.79336013148109"
"138","-57.727076786296436","-57.727076786296436","-57.727076786296436"
"139","-57.843340373462304","-57.843340373462304","-57.843340373462304"
"140","-57.49226773612534","-57.49226773612534","-57.49226773612534"
"141","-57.73818558961885","-57.73818558961885","-57.73818558961885"
"142","-57.689272863107064","-57.689272863107064","-57.689272863107064"
"143","-58.78230185726474","-58.78230185726474","-58.78230185726474"
"144","-59.62177675125697","-59.62177675125697","-59.62177675125697"
"145","-59.375793910405136","-59.375793910405136","-59.375793910405136"
"146","-59.240879480647486","-59.240879480647486","-59.240879480647486"
"147","-59.30493861758116","-59.30493861758116","-59.30493861758116"
"148","-59.18939685536581","-59.18939685536581","-59.18939685536581"
"149","-58.68918391248378","-58.68918391248378","-58.68918391248378"
"150","-58.58663530951628","-58.58663530951628","-58.58663530951628"
"151","-58.0441245936399","-58.0441245936399","-58.0441245936399"
"152","-58.118594768089444","-58.118594768089444","-58.118594768089444"
"153","-58.2770891237535","-58.2770891237535","-58.2770891237535"
"154","-58.34877411165782","-58.34877411165782","-58.34877411165782"
"155","-58.157841478210464","-58.157841478210464","-58.157841478210464"
"156","-57.9526491914019","-57.9526491914019","-57.9526491914019"
"157","-57.95458399186486","-57.95458399186486","-57.95458399186486"
"158","-57.997591940069896","-57.997591940069896","-57.997591940069896"
"159","-58.37092284649331","-58.37092284649331","-58.37092284649331"
"160","-58.17888036846035","-58.17888036846035","-58.17888036846035"
"161","-57.80785341451152","-57.80785341451152","-57.80785341451152"
"162","-57.803166771452126","-57.803166771452126","-57.803166771452126"
"163","-58.00152137164658","-58.00152137164658","-58.00152137164658"
"164","-58.34224656662949","-58.34224656662949","-58.34224656662949"
"165","-58.156591701114046","-58.156591701114046","-58.156591701114046"
"166","-58.29968392302293","-58.29968392302293","-58.29968392302293"
"167","-58.220164523755955","-58.220164523755955","-58.220164523755955"
"168","-57.62699895102334","-57.62699895102334","-57.62699895102334"
"169","-57.39488948554696","-57.39488948554696","-57.39488948554696"
"170","-57.45027054011193","-57.45027054011193","-57.45027054011193"
"171","-57.44628152320777","-57.44628152320777","-57.44628152320777"
"172","-57.4189215637924","-57.4189215637924","-57.4189215637924"
"173","-57.25217272957625","-57.25217272957625","-57.25217272957625"
"174","-57.12747308233257","-57.12747308233257","-57.12747308233257"
"175","-57.23571560501342","-57.23571560501342","-57.23571560501342"
"176","-57.38134919332953","-57.38134919332953","-57.38134919332953"
"177","-57.19835154486203","-57.19835154486203","-57.19835154486203"
"178","-57.00675773162374","-57.00675773162374","-57.00675773162374"
"179","-56.93579748509907","-56.93579748509907","-56.93579748509907"
"180","-56.86588087819519","-56.86588087819519","-56.86588087819519"
"181","-56.637745852955746","-56.637745852955746","-56.637745852955746"
"182","-56.61197808813155","-56.61197808813155","-56.61197808813155"
"183","-56.69957515200697","-56.69957515200697","-56.69957515200697"
"184","-56.81503656233059","-56.81503656233059","-56.81503656233059"
"185","-57.16707807766114","-57.16707807766114","-57.16707807766114"
"186","-57.259371481517626","-57.259371481517626","-57.259371481517626"
"187","-57.272982156693274","-57.272982156693274","-57.272982156693274"
"188","-57.07288582021056","-57.07288582021056","-57.07288582021056"
"189","-56.969121164387666","-56.969121164387666","-56.969121164387666"
"190","-57.34255563686814","-57.34255563686814","-57.34255563686814"
"191","-57.34935895185624","-57.34935895185624","-57.34935895185624"
"192","-57.28323124985264","-57.28323124985264","-57.28323124985264"
"193","-57.280211640287355","-57.280211640287355","-57.280211640287355"
"194","-57.569382310163135","-57.569382310163135","-57.569382310163135"
"195","-57.816389702592","-57.816389702592","-57.816389702592"
"196","-57.677205266241174","-57.677205266241174","-57.677205266241174"
"197","-57.68671154569401","-57.68671154569401","-57.68671154569401"
"198","-57.49760070501604","-57.49760070501604","-57.49760070501604"
"199","-57.49327083043967","-57.49327083043967","-57.49327083043967"
"200","-56.83445502218627","-56.83445502218627","-56.83445502218627"
"201","-56.622480604927766","-56.622480604927766","-56.622480604927766"
"202","-56.60588576694133","-56.60588576694133","-56.60588576694133"
"203","-56.74597643659412","-56.74597643659412","-56.74597643659412"
"204","-56.70125693091963","-56.70125693091963","-56.70125693091963"
"205","-56.937996971586635","-56.937996971586635","-56.937996971586635"
"206","-57.51363835985825","-57.51363835985825","-57.51363835985825"
"207","-57.67634727916112","-57.67634727916112","-57.67634727916112"
"208","-58.37220790268481","-58.37220790268481","-58.37220790268481"
"209","-57.54438087526782","-57.54438087526782","-57.54438087526782"
"210","-58.140171835638164","-58.140171835638164","-58.140171835638164"
"211","-58.288460890356866","-58.288460890356866","-58.288460890356866"
"212","-58.5000770053111","-58.5000770053111","-58.5000770053111"
"213","-58.67431743076688","-58.67431743076688","-58.67431743076688"
"214","-58.82426135787396","-58.82426135787396","-58.82426135787396"
"215","-58.84765512036393","-58.84765512036393","-58.84765512036393"
"216","-58.99519405992422","-58.99519405992422","-58.99519405992422"
"217","-59.036897232945705","-59.036897232945705","-59.036897232945705"
"218","-59.24404165759657","-59.24404165759657","-59.24404165759657"
"219","-59.41157854493949","-59.41157854493949","-59.41157854493949"
"220","-59.663359243386594","-59.663359243386594","-59.663359243386594"
"221","-59.77419954613464","-59.77419954613464","-59.77419954613464"
"222","-59.87582694450762","-59.87582694450762","-59.87582694450762"
"223","-60.022607724568715","-60.022607724568715","-60.022607724568715"
"224","-60.07982058238386","-60.07982058238386","-60.07982058238386"
"225","-59.480532719146105","-59.480532719146105","-59.480532719146105"
"226","-59.275078846995626","-59.275078846995626","-59.275078846995626"
"227","-59.46663381035615","-59.46663381035615","-59.46663381035615"
"228","-59.95967119684964","-59.95967119684964","-59.95967119684964"
"229","-59.796459774009975","-59.796459774009975","-59.796459774009975"
"230","-59.652640433660096","-59.652640433660096","-59.652640433660096"
"231","-60.30298954830639","-60.30298954830639","-60.30298954830639"
"232","-60.43388389640584","-60.43388389640584","-60.43388389640584"
"233","-60.65911443117267","-60.65911443117267","-60.65911443117267"
"234","-60.24502495385322","-60.24502495385322","-60.24502495385322"
"235","-60.0596905945224","-60.0596905945224","-60.0596905945224"
"236","-60.322992658355076","-60.322992658355076","-60.322992658355076"
"237","-60.353170534994575","-60.353170534994575","-60.353170534994575"
"238","-60.23028025053781","-60.23028025053781","-60.23028025053781"
"239","-60.42644408881243","-60.42644408881243","-60.42644408881243"
"240","-61.00257359223444","-61.00257359223444","-61.00257359223444"
"241","-61.33551495437362","-61.33551495437362","-61.33551495437362"
"242","-61.49155497908086","-61.49155497908086","-61.49155497908086"
"243","-61.802826846943205","-61.802826846943205","-61.802826846943205"
"244","-61.66435518017316","-61.66435518017316","-61.66435518017316"
"245","-62.092643513420086","-62.092643513420086","-62.092643513420086"
"246","-62.25097873890324","-62.25097873890324","-62.25097873890324"
"247","-62.13695562727285","-62.13695562727285","-62.13695562727285"
"248","-62.3775544186795","-62.3775544186795","-62.3775544186795"
"249","-62.25445551482072","-62.25445551482072","-62.25445551482072"
"250","-61.633373356761915","-61.633373356761915","-61.633373356761915"
"251","-61.50624477638982","-61.50624477638982","-61.50624477638982"
"252","-61.71058586772735","-61.71058586772735","-61.71058586772735"
"253","-61.79182676614675","-61.79182676614675","-61.79182676614675"
"254","-61.54224814009798","-61.54224814009798","-61.54224814009798"
"255","-60.80836826131375","-60.80836826131375","-60.80836826131375"
"256","-60.73748597545823","-60.73748597545823","-60.73748597545823"
"257","-60.063703024506964","-60.063703024506964","-60.063703024506964"
"258","-60.24773030089649","-60.24773030089649","-60.24773030089649"
"259","-60.682880920424175","-60.682880920424175","-60.682880920424175"
"260","-61.31072936947147","-61.31072936947147","-61.31072936947147"
"261","-60.980134143150075","-60.980134143150075","-60.980134143150075"
"262","-61.336553602982434","-61.336553602982434","-61.336553602982434"
"263","-61.681282050931344","-61.681282050931344","-61.681282050931344"
"264","-61.469639251998785","-61.469639251998785","-61.469639251998785"
"265","-61.9324149253223","-61.9324149253223","-61.9324149253223"
"266","-61.81478605921803","-61.81478605921803","-61.81478605921803"
"267","-61.55260275404793","-61.55260275404793","-61.55260275404793"
"268","-61.22686281484254","-61.22686281484254","-61.22686281484254"
"269","-60.958719013464275","-60.958719013464275","-60.958719013464275"
"270","-60.755504669869886","-60.755504669869886","-60.755504669869886"
"271","-61.429482185441884","-61.429482185441884","-61.429482185441884"
"272","-61.62097089520102","-61.62097089520102","-61.62097089520102"
"273","-60.648678875243355","-60.648678875243355","-60.648678875243355"
"274","-61.16806481491255","-61.16806481491255","-61.16806481491255"
"275","-61.568660971577756","-61.568660971577756","-61.568660971577756"
"276","-62.440514753609506","-62.440514753609506","-62.440514753609506"
"277","-62.16709241430212","-62.16709241430212","-62.16709241430212"
"278","-62.268194363545014","-62.268194363545014","-62.268194363545014"
"279","-62.383947495734944","-62.383947495734944","-62.383947495734944"
"280","-62.27014960069377","-62.27014960069377","-62.27014960069377"
"281","-61.988518224098016","-61.988518224098016","-61.988518224098016"
"282","-61.80570226427542","-61.80570226427542","-61.80570226427542"
"283","-61.97299917521089","-61.97299917521089","-61.97299917521089"
"284","-62.325358409812914","-62.325358409812914","-62.325358409812914"
"285","-62.30139745060257","-62.30139745060257","-62.30139745060257"
"286","-62.64716782492854","-62.64716782492854","-62.64716782492854"
"287","-62.34246410848127","-62.34246410848127","-62.34246410848127"
"288","-62.35549560773952","-62.35549560773952","-62.35549560773952"
"289","-62.41879434301213","-62.41879434301213","-62.41879434301213"
"290","-62.460007733424774","-62.460007733424774","-62.460007733424774"
"291","-63.17008788771403","-63.17008788771403","-63.17008788771403"
"292","-63.72376909009273","-63.72376909009273","-63.72376909009273"
"293","-63.27717619741532","-63.27717619741532","-63.27717619741532"
"294","-63.54220318808173","-63.54220318808173","-63.54220318808173"
"295","-63.366838935902734","-63.366838935902734","-63.366838935902734"
"296","-63.44528183152879","-63.44528183152879","-63.44528183152879"
"297","-63.717670746161076","-63.717670746161076","-63.717670746161076"
"298","-64.00120281318134","-64.00120281318134","-64.00120281318134"
"299","-63.49732948488808","-63.49732948488808","-63.49732948488808"
"300","-63.20953466815914","-63.20953466815914","-63.20953466815914"
"301","-62.80997560093894","-62.80997560093894","-62.80997560093894"
"302","-62.59172352875226","-62.59172352875226","-62.59172352875226"
"303","-62.73750102498207","-62.73750102498207","-62.73750102498207"
"304","-63.26480173672434","-63.26480173672434","-63.26480173672434"
"305","-63.37992786893","-63.37992786893","-63.37992786893"
"306","-63.04022613871826","-63.04022613871826","-63.04022613871826"
"307","-63.089685211543426","-63.089685211543426","-63.089685211543426"
"308","-63.84734587428995","-63.84734587428995","-63.84734587428995"
"309","-63.602164086973154","-63.602164086973154","-63.602164086973154"
"310","-63.52225313147694","-63.52225313147694","-63.52225313147694"
"311","-63.50202341810688","-63.50202341810688","-63.50202341810688"
"312","-62.95590725513593","-62.95590725513593","-62.95590725513593"
"313","-63.51440818892673","-63.51440818892673","-63.51440818892673"
"314","-63.465659917928804","-63.465659917928804","-63.465659917928804"
"315","-63.53345930581907","-63.53345930581907","-63.53345930581907"
"316","-63.47177866984699","-63.47177866984699","-63.47177866984699"
"317","-63.828641734309706","-63.828641734309706","-63.828641734309706"
"318","-63.4354393112029","-63.4354393112029","-63.4354393112029"
"319","-63.877064082015984","-63.877064082015984","-63.877064082015984"
"320","-63.58950974642747","-63.58950974642747","-63.58950974642747"
"321","-63.75518230563518","-63.75518230563518","-63.75518230563518"
"322","-63.212368990770756","-63.212368990770756","-63.212368990770756"
"323","-62.97487314041547","-62.97487314041547","-62.97487314041547"
"324","-63.50099805621876","-63.50099805621876","-63.50099805621876"
"325","-63.381712052188284","-63.381712052188284","-63.381712052188284"
"326","-63.35026355250202","-63.35026355250202","-63.35026355250202"
"327","-63.883068870233956","-63.883068870233956","-63.883068870233956"
"328","-63.36353046351857","-63.36353046351857","-63.36353046351857"
"329","-62.91451136531471","-62.91451136531471","-62.91451136531471"
"330","-62.739575096803556","-62.739575096803556","-62.739575096803556"
"331","-62.90734547143975","-62.90734547143975","-62.90734547143975"
"332","-62.83974138235263","-62.83974138235263","-62.83974138235263"
"333","-62.590026625208495","-62.590026625208495","-62.590026625208495"
"334","-62.37897624599689","-62.37897624599689","-62.37897624599689"
"335","-62.842297669621885","-62.842297669621885","-62.842297669621885"
"336","-62.52515317567693","-62.52515317567693","-62.52515317567693"
"337","-62.56740091669847","-62.56740091669847","-62.56740091669847"
"338","-62.63445054992528","-62.63445054992528","-62.63445054992528"
"339","-62.70039812578747","-62.70039812578747","-62.70039812578747"
"340","-62.992093358507425","-62.992093358507425","-62.992093358507425"
"341","-63.11033991133186","-63.11033991133186","-63.11033991133186"
"342","-62.901571963881715","-62.901571963881715","-62.901571963881715"
"343","-62.18865788391032","-62.18865788391032","-62.18865788391032"
"344","-61.61382321879338","-61.61382321879338","-61.61382321879338"
"345","-62.065565940277686","-62.065565940277686","-62.065565940277686"
"346","-62.02374966570921","-62.02374966570921","-62.02374966570921"
"347","-61.898735087966436","-61.898735087966436","-61.898735087966436"
"348","-62.266564794540656","-62.266564794540656","-62.266564794540656"
"349","-62.580603056874196","-62.580603056874196","-62.580603056874196"
"350","-62.921435899229564","-62.921435899229564","-62.921435899229564"
"351","-63.44210428862364","-63.44210428862364","-63.44210428862364"
"352","-62.788141741980425","-62.788141741980425","-62.788141741980425"
"353","-62.5800454693473","-62.5800454693473","-62.5800454693473"
"354","-62.850081014810364","-62.850081014810364","-62.850081014810364"
"355","-63.040083170471895","-63.040083170471895","-63.040083170471895"
"356","-63.11987382478731","-63.11987382478731","-63.11987382478731"
"357","-63.107522730849126","-63.107522730849126","-63.107522730849126"
"358","-63.095499730964185","-63.095499730964185","-63.095499730964185"
"359","-62.56753706875217","-62.56753706875217","-62.56753706875217"
"360","-62.69826027675787","-62.69826027675787","-62.69826027675787"
"361","-63.275621177401","-63.275621177401","-63.275621177401"
"362","-63.05334062351183","-63.05334062351183","-63.05334062351183"
"363","-62.79984441354669","-62.79984441354669","-62.79984441354669"
"364","-62.454116546447715","-62.454116546447715","-62.454116546447715"
"365","-62.767902566352504","-62.767902566352504","-62.767902566352504"
"366","-62.57566566199823","-62.57566566199823","-62.57566566199823"
"367","-62.61177810783034","-62.61177810783034","-62.61177810783034"
"368","-63.1580633584632","-63.1580633584632","-63.1580633584632"
"369","-63.14729184180426","-63.14729184180426","-63.14729184180426"
"370","-63.191891942843895","-63.191891942843895","-63.191891942843895"
"371","-63.197060596579504","-63.197060596579504","-63.197060596579504"
"372","-63.534989978316055","-63.534989978316055","-63.534989978316055"
"373","-63.870569779994455","-63.870569779994455","-63.870569779994455"
"374","-64.25879780799352","-64.25879780799352","-64.25879780799352"
"375","-64.07884606113598","-64.07884606113598","-64.07884606113598"
"376","-64.26146982190645","-64.26146982190645","-64.26146982190645"
"377","-64.55424648287413","-64.55424648287413","-64.55424648287413"
"378","-64.50865891709373","-64.50865891709373","-64.50865891709373"
"379","-64.24921663848826","-64.24921663848826","-64.24921663848826"
"380","-63.43110919329748","-63.43110919329748","-63.43110919329748"
"381","-63.7873638365407","-63.7873638365407","-63.7873638365407"
"382","-63.84436690481101","-63.84436690481101","-63.84436690481101"
"383","-63.386388363680574","-63.386388363680574","-63.386388363680574"
"384","-63.19995108505109","-63.19995108505109","-63.19995108505109"
"385","-63.1407213246968","-63.1407213246968","-63.1407213246968"
"386","-62.89503231107216","-62.89503231107216","-62.89503231107216"
"387","-62.53705650439132","-62.53705650439132","-62.53705650439132"
"388","-63.22593925125928","-63.22593925125928","-63.22593925125928"
"389","-63.2952437188118","-63.2952437188118","-63.2952437188118"
"390","-63.05101016806754","-63.05101016806754","-63.05101016806754"
"391","-63.20476778180027","-63.20476778180027","-63.20476778180027"
"392","-63.307449927924445","-63.307449927924445","-63.307449927924445"
"393","-63.14058049827912","-63.14058049827912","-63.14058049827912"
"394","-63.08868375858854","-63.08868375858854","-63.08868375858854"
"395","-62.813310880928384","-62.813310880928384","-62.813310880928384"
"396","-62.993667805303524","-62.993667805303524","-62.993667805303524"
"397","-62.53585320314252","-62.53585320314252","-62.53585320314252"
"398","-62.59943052946294","-62.59943052946294","-62.59943052946294"
"399","-62.50931072562642","-62.50931072562642","-62.50931072562642"
"400","-62.69686967446896","-62.69686967446896","-62.69686967446896"
"401","-62.63494756540401","-62.63494756540401","-62.63494756540401"
"402","-63.14496346410731","-63.14496346410731","-63.14496346410731"
"403","-63.17937711364711","-63.17937711364711","-63.17937711364711"
"404","-63.17460801041171","-63.17460801041171","-63.17460801041171"
"405","-63.03324842966365","-63.03324842966365","-63.03324842966365"
"406","-62.92481933500134","-62.92481933500134","-62.92481933500134"
"407","-62.62784681457204","-62.62784681457204","-62.62784681457204"
"408","-62.153404361371805","-62.153404361371805","-62.153404361371805"
"409","-62.212379910167755","-62.212379910167755","-62.212379910167755"
"410","-62.25963269426622","-62.25963269426622","-62.25963269426622"
"411","-62.258474635680834","-62.258474635680834","-62.258474635680834"
"412","-61.97134828737945","-61.97134828737945","-61.97134828737945"
"413","-61.5217591611524","-61.5217591611524","-61.5217591611524"
"414","-61.35161356713673","-61.35161356713673","-61.35161356713673"
"415","-61.42681336354419","-61.42681336354419","-61.42681336354419"
"416","-61.81686964783723","-61.81686964783723","-61.81686964783723"
"417","-61.442703935535036","-61.442703935535036","-61.442703935535036"
"418","-61.43613633964296","-61.43613633964296","-61.43613633964296"
"419","-61.35173615886859","-61.35173615886859","-61.35173615886859"
"420","-61.09223042553202","-61.09223042553202","-61.09223042553202"
"421","-60.949609366501384","-60.949609366501384","-60.949609366501384"
"422","-61.301756532921274","-61.301756532921274","-61.301756532921274"
"423","-60.956673097565975","-60.956673097565975","-60.956673097565975"
"424","-60.69521069239458","-60.69521069239458","-60.69521069239458"
"425","-61.316106471954114","-61.316106471954114","-61.316106471954114"
"426","-61.19294203677049","-61.19294203677049","-61.19294203677049"
"427","-61.09722660994492","-61.09722660994492","-61.09722660994492"
"428","-61.37988990668457","-61.37988990668457","-61.37988990668457"
"429","-61.54878849010433","-61.54878849010433","-61.54878849010433"
"430","-61.220796360493225","-61.220796360493225","-61.220796360493225"
"431","-60.83212898205274","-60.83212898205274","-60.83212898205274"
"432","-61.42146607445359","-61.42146607445359","-61.42146607445359"
"433","-61.47625109100068","-61.47625109100068","-61.47625109100068"
"434","-61.7144866697532","-61.7144866697532","-61.7144866697532"
"435","-61.64472532382021","-61.64472532382021","-61.64472532382021"
"436","-61.073071359763446","-61.073071359763446","-61.073071359763446"
"437","-61.23883832355314","-61.23883832355314","-61.23883832355314"
"438","-61.132268169021614","-61.132268169021614","-61.132268169021614"
"439","-61.20503983064955","-61.20503983064955","-61.20503983064955"
