"Step","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MAX","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MAX"
"31","-85.64402383112194","-85.64402383112194","-85.64402383112194","-126.13364751413718","-126.13364751413718","-126.13364751413718"
"32","-85.94710225373115","-85.94710225373115","-85.94710225373115","-128.9283592030718","-128.9283592030718","-128.9283592030718"
"33","-87.45319319094439","-87.45319319094439","-87.45319319094439","-129.14868054896988","-129.14868054896988","-129.14868054896988"
"34","-86.68250547411981","-86.68250547411981","-86.68250547411981","-129.83888721487816","-129.83888721487816","-129.83888721487816"
"35","-83.65749892110814","-83.65749892110814","-83.65749892110814","-127.48353092999933","-127.48353092999933","-127.48353092999933"
"36","-80.68805514242014","-80.68805514242014","-80.68805514242014","-127.16496006652577","-127.16496006652577","-127.16496006652577"
"37","-78.94203709653557","-78.94203709653557","-78.94203709653557","-125.51513824144314","-125.51513824144314","-125.51513824144314"
"38","-76.45132680156925","-76.45132680156925","-76.45132680156925","-121.62458088867177","-121.62458088867177","-121.62458088867177"
"39","-76.05868293047655","-76.05868293047655","-76.05868293047655","-119.67498911710672","-119.67498911710672","-119.67498911710672"
"40","-71.58322467668296","-71.58322467668296","-71.58322467668296","-117.9595109827253","-117.9595109827253","-117.9595109827253"
"41","-70.32174155390601","-70.32174155390601","-70.32174155390601","-115.59890745717082","-115.59890745717082","-115.59890745717082"
"42","-68.83295500421394","-68.83295500421394","-68.83295500421394","-113.66290510874451","-113.66290510874451","-113.66290510874451"
"43","-67.88444611364302","-67.88444611364302","-67.88444611364302","-113.47264006288233","-113.47264006288233","-113.47264006288233"
"44","-65.43430869267391","-65.43430869267391","-65.43430869267391","-113.33175958268603","-113.33175958268603","-113.33175958268603"
"45","-65.22883958333041","-65.22883958333041","-65.22883958333041","-113.34954918781274","-113.34954918781274","-113.34954918781274"
"46","-65.54553955661272","-65.54553955661272","-65.54553955661272","-111.59799180890042","-111.59799180890042","-111.59799180890042"
"47","-66.32054966533886","-66.32054966533886","-66.32054966533886","-111.92223352982639","-111.92223352982639","-111.92223352982639"
"48","-64.45016333201094","-64.45016333201094","-64.45016333201094","-113.20284450743965","-113.20284450743965","-113.20284450743965"
"49","-62.72579399179956","-62.72579399179956","-62.72579399179956","-110.88571702660471","-110.88571702660471","-110.88571702660471"
"50","-63.5807427666112","-63.5807427666112","-63.5807427666112","-112.16736461413153","-112.16736461413153","-112.16736461413153"
"51","-61.60132162633803","-61.60132162633803","-61.60132162633803","-111.56860372286904","-111.56860372286904","-111.56860372286904"
"52","-60.32844888634386","-60.32844888634386","-60.32844888634386","-111.45933437397143","-111.45933437397143","-111.45933437397143"
"53","-58.83492049025376","-58.83492049025376","-58.83492049025376","-111.66039683823844","-111.66039683823844","-111.66039683823844"
"54","-57.796242602210725","-57.796242602210725","-57.796242602210725","-110.45835116001135","-110.45835116001135","-110.45835116001135"
"55","-56.349500930288094","-56.349500930288094","-56.349500930288094","-109.70588435539837","-109.70588435539837","-109.70588435539837"
"56","-53.825770814546715","-53.825770814546715","-53.825770814546715","-109.93552366189003","-109.93552366189003","-109.93552366189003"
"57","-52.25585553976399","-52.25585553976399","-52.25585553976399","-108.40741646064843","-108.40741646064843","-108.40741646064843"
"58","-50.00412687277423","-50.00412687277423","-50.00412687277423","-109.25746589038174","-109.25746589038174","-109.25746589038174"
"59","-48.88403806035479","-48.88403806035479","-48.88403806035479","-107.97359086587262","-107.97359086587262","-107.97359086587262"
"60","-47.21261913177098","-47.21261913177098","-47.21261913177098","-107.21911627351203","-107.21911627351203","-107.21911627351203"
"61","-45.4422855149145","-45.4422855149145","-45.4422855149145","-106.55418286377987","-106.55418286377987","-106.55418286377987"
"62","-43.705365997653736","-43.705365997653736","-43.705365997653736","-105.46986109926506","-105.46986109926506","-105.46986109926506"
"63","-43.069237149514095","-43.069237149514095","-43.069237149514095","-104.07116544365732","-104.07116544365732","-104.07116544365732"
"64","-42.06991211838552","-42.06991211838552","-42.06991211838552","-103.12179261278618","-103.12179261278618","-103.12179261278618"
"65","-40.15458491638346","-40.15458491638346","-40.15458491638346","-102.48162214968195","-102.48162214968195","-102.48162214968195"
"66","-38.96007328342671","-38.96007328342671","-38.96007328342671","-101.57365940260773","-101.57365940260773","-101.57365940260773"
"67","-37.19763868101515","-37.19763868101515","-37.19763868101515","-100.69164033909783","-100.69164033909783","-100.69164033909783"
"68","-36.35722435990431","-36.35722435990431","-36.35722435990431","-99.49679352952897","-99.49679352952897","-99.49679352952897"
"69","-35.40022898375382","-35.40022898375382","-35.40022898375382","-98.47958589900435","-98.47958589900435","-98.47958589900435"
"70","-34.54761207207078","-34.54761207207078","-34.54761207207078","-97.49180084640726","-97.49180084640726","-97.49180084640726"
"71","-35.96425636193814","-35.96425636193814","-35.96425636193814","-94.67739222648822","-94.67739222648822","-94.67739222648822"
"72","-33.22278244360507","-33.22278244360507","-33.22278244360507","-93.61270747507179","-93.61270747507179","-93.61270747507179"
"73","-32.529898782772285","-32.529898782772285","-32.529898782772285","-91.85769982833473","-91.85769982833473","-91.85769982833473"
"74","-31.005728264738384","-31.005728264738384","-31.005728264738384","-91.10689547932836","-91.10689547932836","-91.10689547932836"
"75","-31.58877251252364","-31.58877251252364","-31.58877251252364","-90.12575171580716","-90.12575171580716","-90.12575171580716"
"76","-30.641116114391558","-30.641116114391558","-30.641116114391558","-88.37130800705518","-88.37130800705518","-88.37130800705518"
"77","-30.38839175611504","-30.38839175611504","-30.38839175611504","-87.94231608764662","-87.94231608764662","-87.94231608764662"
"78","-30.151116376454958","-30.151116376454958","-30.151116376454958","-86.9509080953081","-86.9509080953081","-86.9509080953081"
"79","-29.15154605213519","-29.15154605213519","-29.15154605213519","-85.83521102636387","-85.83521102636387","-85.83521102636387"
"80","-28.0293699251321","-28.0293699251321","-28.0293699251321","-85.08513911887029","-85.08513911887029","-85.08513911887029"
"81","-27.522336378134668","-27.522336378134668","-27.522336378134668","-83.94679150062954","-83.94679150062954","-83.94679150062954"
"82","-28.17829071428057","-28.17829071428057","-28.17829071428057","-82.91287888774923","-82.91287888774923","-82.91287888774923"
