"Step","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"120","-24.00645450236868","-24.00645450236868","-24.00645450236868"
"121","-22.438615957558664","-22.438615957558664","-22.438615957558664"
"122","-20.110400293632583","-20.110400293632583","-20.110400293632583"
"123","-19.5489935484081","-19.5489935484081","-19.5489935484081"
"124","-19.18679867830672","-19.18679867830672","-19.18679867830672"
"125","-18.423392015368655","-18.423392015368655","-18.423392015368655"
"126","-16.77787284534856","-16.77787284534856","-16.77787284534856"
"127","-16.55714958007348","-16.55714958007348","-16.55714958007348"
"128","-14.859300430565376","-14.859300430565376","-14.859300430565376"
"129","-13.216514375213194","-13.216514375213194","-13.216514375213194"
"130","-11.575919597236991","-11.575919597236991","-11.575919597236991"
"131","-11.176428919227044","-11.176428919227044","-11.176428919227044"
"132","-9.56334911856671","-9.56334911856671","-9.56334911856671"
"133","-9.4547098193179","-9.4547098193179","-9.4547098193179"
"134","-7.877043756284613","-7.877043756284613","-7.877043756284613"
"135","-5.702653115788292","-5.702653115788292","-5.702653115788292"
"136","-3.767652331202285","-3.767652331202285","-3.767652331202285"
"137","-1.401621998558303","-1.401621998558303","-1.401621998558303"
"138","0.9367223284635585","0.9367223284635585","0.9367223284635585"
"139","1.5375073553362042","1.5375073553362042","1.5375073553362042"
"140","2.1128762619989545","2.1128762619989545","2.1128762619989545"
"141","1.9425417394000115","1.9425417394000115","1.9425417394000115"
"142","1.7171111558011072","1.7171111558011072","1.7171111558011072"
"143","1.6521278591365025","1.6521278591365025","1.6521278591365025"
"144","1.5311804941600504","1.5311804941600504","1.5311804941600504"
"145","2.0689643850798602","2.0689643850798602","2.0689643850798602"
"146","2.4212821823384845","2.4212821823384845","2.4212821823384845"
"147","2.523636847371852","2.523636847371852","2.523636847371852"
"148","2.015695312989944","2.015695312989944","2.015695312989944"
"149","1.7581394447117915","1.7581394447117915","1.7581394447117915"
"150","1.527548451247698","1.527548451247698","1.527548451247698"
"151","1.8043387575552376","1.8043387575552376","1.8043387575552376"
"152","2.900297800879475","2.900297800879475","2.900297800879475"
"153","3.108754196869774","3.108754196869774","3.108754196869774"
"154","4.39748988788909","4.39748988788909","4.39748988788909"
"155","5.906501591455751","5.906501591455751","5.906501591455751"
"156","5.772693298651867","5.772693298651867","5.772693298651867"
"157","5.655486032688772","5.655486032688772","5.655486032688772"
"158","5.832264340017349","5.832264340017349","5.832264340017349"
"159","6.118794976151204","6.118794976151204","6.118794976151204"
"160","5.829850664242709","5.829850664242709","5.829850664242709"
"161","5.681899563704886","5.681899563704886","5.681899563704886"
"162","6.105579145454809","6.105579145454809","6.105579145454809"
"163","6.922053637920368","6.922053637920368","6.922053637920368"
"164","7.759420524171227","7.759420524171227","7.759420524171227"
"165","7.882685097609371","7.882685097609371","7.882685097609371"
"166","6.978062130092733","6.978062130092733","6.978062130092733"
"167","7.0829391409306215","7.0829391409306215","7.0829391409306215"
"168","7.012147188004529","7.012147188004529","7.012147188004529"
"169","6.800030057183871","6.800030057183871","6.800030057183871"
"170","6.538324860980602","6.538324860980602","6.538324860980602"
"171","6.439994928494363","6.439994928494363","6.439994928494363"
"172","6.081397392948617","6.081397392948617","6.081397392948617"
"173","6.876284799591502","6.876284799591502","6.876284799591502"
"174","7.118589729886537","7.118589729886537","7.118589729886537"
"175","6.584205974340054","6.584205974340054","6.584205974340054"
"176","5.993973604295002","5.993973604295002","5.993973604295002"
"177","6.393722815880611","6.393722815880611","6.393722815880611"
"178","6.959664054314493","6.959664054314493","6.959664054314493"
"179","8.037136442057774","8.037136442057774","8.037136442057774"
"180","7.215809676662244","7.215809676662244","7.215809676662244"
"181","9.292193388466973","9.292193388466973","9.292193388466973"
"182","10.519369088464412","10.519369088464412","10.519369088464412"
"183","10.957098956297884","10.957098956297884","10.957098956297884"
"184","11.225947489257234","11.225947489257234","11.225947489257234"
"185","10.825073936049375","10.825073936049375","10.825073936049375"
"186","10.204952807764862","10.204952807764862","10.204952807764862"
"187","10.538076521215858","10.538076521215858","10.538076521215858"
"188","10.515538629093534","10.515538629093534","10.515538629093534"
"189","10.164167080232186","10.164167080232186","10.164167080232186"
"190","10.496387660050026","10.496387660050026","10.496387660050026"
"191","12.271019766395284","12.271019766395284","12.271019766395284"
"192","12.597857334685767","12.597857334685767","12.597857334685767"
"193","13.11869035640775","13.11869035640775","13.11869035640775"
"194","13.001775572039211","13.001775572039211","13.001775572039211"
"195","11.978895671218584","11.978895671218584","11.978895671218584"
"196","11.860116403726296","11.860116403726296","11.860116403726296"
"197","11.978584061740712","11.978584061740712","11.978584061740712"
"198","12.467436159275623","12.467436159275623","12.467436159275623"
"199","13.03323693429","13.03323693429","13.03323693429"
"200","13.868050934741667","13.868050934741667","13.868050934741667"
"201","15.628212311224948","15.628212311224948","15.628212311224948"
"202","15.963765575666354","15.963765575666354","15.963765575666354"
"203","16.967776211936407","16.967776211936407","16.967776211936407"
"204","17.776763614163432","17.776763614163432","17.776763614163432"
"205","17.562925606198455","17.562925606198455","17.562925606198455"
"206","17.99675031673805","17.99675031673805","17.99675031673805"
"207","19.54542187371844","19.54542187371844","19.54542187371844"
"208","20.66875237854789","20.66875237854789","20.66875237854789"
"209","21.61310136393649","21.61310136393649","21.61310136393649"
"210","23.1003199802289","23.1003199802289","23.1003199802289"
"211","22.52306015599631","22.52306015599631","22.52306015599631"
"212","24.324843454731237","24.324843454731237","24.324843454731237"
"213","25.389773340770667","25.389773340770667","25.389773340770667"
"214","26.17855753632088","26.17855753632088","26.17855753632088"
"215","26.32285811703538","26.32285811703538","26.32285811703538"
"216","28.283685648141013","28.283685648141013","28.283685648141013"
"217","28.515427751380606","28.515427751380606","28.515427751380606"
"218","29.015763134128306","29.015763134128306","29.015763134128306"
"219","28.997383797448187","28.997383797448187","28.997383797448187"
"220","29.237284308011002","29.237284308011002","29.237284308011002"
"221","29.335269434855274","29.335269434855274","29.335269434855274"
"222","29.957030426626865","29.957030426626865","29.957030426626865"
"223","30.940273400229476","30.940273400229476","30.940273400229476"
"224","32.45080566275995","32.45080566275995","32.45080566275995"
"225","34.20115861531584","34.20115861531584","34.20115861531584"
"226","34.58782548074751","34.58782548074751","34.58782548074751"
"227","35.38173172592128","35.38173172592128","35.38173172592128"
"228","36.56377570059435","36.56377570059435","36.56377570059435"
"229","36.09040393490717","36.09040393490717","36.09040393490717"
"230","35.72904417864483","35.72904417864483","35.72904417864483"
"231","36.72665140562689","36.72665140562689","36.72665140562689"
"232","36.9233617854055","36.9233617854055","36.9233617854055"
"233","37.30777294854806","37.30777294854806","37.30777294854806"
"234","38.384936073077625","38.384936073077625","38.384936073077625"
"235","38.80389436617125","38.80389436617125","38.80389436617125"
"236","39.5596089951677","39.5596089951677","39.5596089951677"
"237","40.808012543800984","40.808012543800984","40.808012543800984"
"238","41.01011808332791","41.01011808332791","41.01011808332791"
"239","43.772865455423556","43.772865455423556","43.772865455423556"
"240","45.39471627568357","45.39471627568357","45.39471627568357"
"241","46.90705441268241","46.90705441268241","46.90705441268241"
"242","49.95298457557469","49.95298457557469","49.95298457557469"
"243","51.618853685312494","51.618853685312494","51.618853685312494"
"244","53.009073629090764","53.009073629090764","53.009073629090764"
"245","54.5596147447899","54.5596147447899","54.5596147447899"
"246","55.15284851249037","55.15284851249037","55.15284851249037"
"247","55.809082754350584","55.809082754350584","55.809082754350584"
"248","55.9714819995173","55.9714819995173","55.9714819995173"
"249","56.87282551091529","56.87282551091529","56.87282551091529"
"250","58.34759017522534","58.34759017522534","58.34759017522534"
"251","60.83266065574473","60.83266065574473","60.83266065574473"
"252","61.348998162753084","61.348998162753084","61.348998162753084"
"253","61.535817124066696","61.535817124066696","61.535817124066696"
"254","61.71329675224544","61.71329675224544","61.71329675224544"
"255","62.39162315145798","62.39162315145798","62.39162315145798"
"256","62.66665799738232","62.66665799738232","62.66665799738232"
"257","61.872567780265165","61.872567780265165","61.872567780265165"
"258","62.437113156338484","62.437113156338484","62.437113156338484"
"259","63.46889327991066","63.46889327991066","63.46889327991066"
"260","62.30242911643693","62.30242911643693","62.30242911643693"
"261","62.650053092913296","62.650053092913296","62.650053092913296"
"262","63.6559689732771","63.6559689732771","63.6559689732771"
"263","64.32403171577897","64.32403171577897","64.32403171577897"
"264","64.1858708887633","64.1858708887633","64.1858708887633"
"265","64.68045363420565","64.68045363420565","64.68045363420565"
"266","65.46690908453715","65.46690908453715","65.46690908453715"
"267","66.28176625406408","66.28176625406408","66.28176625406408"
"268","67.25545716272386","67.25545716272386","67.25545716272386"
"269","68.43014045162923","68.43014045162923","68.43014045162923"
"270","67.74699453702914","67.74699453702914","67.74699453702914"
"271","68.11127766362303","68.11127766362303","68.11127766362303"
"272","67.09478787475712","67.09478787475712","67.09478787475712"
"273","66.58093033524818","66.58093033524818","66.58093033524818"
"274","66.64765875162927","66.64765875162927","66.64765875162927"
"275","66.14918509136042","66.14918509136042","66.14918509136042"
"276","65.5067321006045","65.5067321006045","65.5067321006045"
"277","65.93521899044971","65.93521899044971","65.93521899044971"
"278","65.83170166928143","65.83170166928143","65.83170166928143"
"279","66.00001605631806","66.00001605631806","66.00001605631806"
"280","64.42702206588646","64.42702206588646","64.42702206588646"
"281","64.08945030458561","64.08945030458561","64.08945030458561"
"282","63.79878940272294","63.79878940272294","63.79878940272294"
"283","64.02724031054252","64.02724031054252","64.02724031054252"
"284","63.84499187797516","63.84499187797516","63.84499187797516"
"285","63.55221040085551","63.55221040085551","63.55221040085551"
"286","63.71905155070266","63.71905155070266","63.71905155070266"
"287","62.1306248016397","62.1306248016397","62.1306248016397"
"288","62.37241999269657","62.37241999269657","62.37241999269657"
"289","61.9032251941646","61.9032251941646","61.9032251941646"
"290","61.88279645126749","61.88279645126749","61.88279645126749"
"291","61.86580501533679","61.86580501533679","61.86580501533679"
"292","61.83697023320851","61.83697023320851","61.83697023320851"
"293","61.2891779976641","61.2891779976641","61.2891779976641"
"294","60.95194926776637","60.95194926776637","60.95194926776637"
"295","60.33257613080549","60.33257613080549","60.33257613080549"
"296","59.15292289921309","59.15292289921309","59.15292289921309"
"297","58.37485171733666","58.37485171733666","58.37485171733666"
"298","58.188369151346095","58.188369151346095","58.188369151346095"
"299","58.175133442576154","58.175133442576154","58.175133442576154"
"300","57.51175814528469","57.51175814528469","57.51175814528469"
"301","56.86853094703908","56.86853094703908","56.86853094703908"
"302","56.639647562397364","56.639647562397364","56.639647562397364"
"303","56.53805527974278","56.53805527974278","56.53805527974278"
"304","55.42268258188334","55.42268258188334","55.42268258188334"
"305","55.47215284915478","55.47215284915478","55.47215284915478"
"306","54.8972989028967","54.8972989028967","54.8972989028967"
"307","54.61568704277326","54.61568704277326","54.61568704277326"
"308","54.16338406744344","54.16338406744344","54.16338406744344"
"309","54.50466495474565","54.50466495474565","54.50466495474565"
"310","53.633370376185674","53.633370376185674","53.633370376185674"
"311","52.546710359127445","52.546710359127445","52.546710359127445"
"312","52.53755894109216","52.53755894109216","52.53755894109216"
"313","52.755227751230976","52.755227751230976","52.755227751230976"
"314","53.28090494060932","53.28090494060932","53.28090494060932"
"315","54.300387235233366","54.300387235233366","54.300387235233366"
"316","54.23976863790524","54.23976863790524","54.23976863790524"
"317","53.41111889402462","53.41111889402462","53.41111889402462"
"318","52.48720547345956","52.48720547345956","52.48720547345956"
"319","51.824421226223606","51.824421226223606","51.824421226223606"
"320","50.74585794597202","50.74585794597202","50.74585794597202"
"321","49.86139445832679","49.86139445832679","49.86139445832679"
"322","49.511001063725125","49.511001063725125","49.511001063725125"
"323","49.32279553649824","49.32279553649824","49.32279553649824"
"324","50.017339231254276","50.017339231254276","50.017339231254276"
"325","49.88162083478434","49.88162083478434","49.88162083478434"
"326","49.02585618043112","49.02585618043112","49.02585618043112"
"327","49.138640222073626","49.138640222073626","49.138640222073626"
"328","48.99683878087623","48.99683878087623","48.99683878087623"
"329","48.503040326044996","48.503040326044996","48.503040326044996"
"330","47.32691616273153","47.32691616273153","47.32691616273153"
"331","46.975388894453616","46.975388894453616","46.975388894453616"
"332","46.52197716135879","46.52197716135879","46.52197716135879"
"333","46.67284424428435","46.67284424428435","46.67284424428435"
"334","45.879513751681415","45.879513751681415","45.879513751681415"
"335","44.68482595150834","44.68482595150834","44.68482595150834"
"336","43.584653172367425","43.584653172367425","43.584653172367425"
"337","41.939998636014586","41.939998636014586","41.939998636014586"
"338","40.61472209164172","40.61472209164172","40.61472209164172"
"339","41.61940803588604","41.61940803588604","41.61940803588604"
"340","41.06443013595652","41.06443013595652","41.06443013595652"
"341","41.12396626997149","41.12396626997149","41.12396626997149"
"342","41.841359388761866","41.841359388761866","41.841359388761866"
"343","41.899947748236144","41.899947748236144","41.899947748236144"
"344","41.92388595396616","41.92388595396616","41.92388595396616"
"345","41.770142924374134","41.770142924374134","41.770142924374134"
"346","41.43058307108952","41.43058307108952","41.43058307108952"
"347","41.897994269542004","41.897994269542004","41.897994269542004"
"348","42.88978002817228","42.88978002817228","42.88978002817228"
"349","42.88857994178486","42.88857994178486","42.88857994178486"
"350","42.95611251151166","42.95611251151166","42.95611251151166"
"351","42.97594037607142","42.97594037607142","42.97594037607142"
"352","42.081726648551275","42.081726648551275","42.081726648551275"
"353","42.183131145308636","42.183131145308636","42.183131145308636"
"354","41.24006046697198","41.24006046697198","41.24006046697198"
"355","39.945870524223686","39.945870524223686","39.945870524223686"
"356","40.04441747852629","40.04441747852629","40.04441747852629"
"357","40.174993043805316","40.174993043805316","40.174993043805316"
"358","39.90878647260249","39.90878647260249","39.90878647260249"
"359","39.43895790623456","39.43895790623456","39.43895790623456"
"360","39.81710983484473","39.81710983484473","39.81710983484473"
"361","39.77739028332713","39.77739028332713","39.77739028332713"
"362","39.46816967184377","39.46816967184377","39.46816967184377"
"363","38.95863590202116","38.95863590202116","38.95863590202116"
"364","38.785179787579786","38.785179787579786","38.785179787579786"
"365","38.978069855079674","38.978069855079674","38.978069855079674"
"366","39.47851095177947","39.47851095177947","39.47851095177947"
"367","39.28114665792416","39.28114665792416","39.28114665792416"
"368","39.53503572050793","39.53503572050793","39.53503572050793"
"369","39.54781537182893","39.54781537182893","39.54781537182893"
"370","39.65370544798167","39.65370544798167","39.65370544798167"
"371","39.63150988763689","39.63150988763689","39.63150988763689"
"372","40.13167847957796","40.13167847957796","40.13167847957796"
"373","39.839377643490906","39.839377643490906","39.839377643490906"
"374","40.440974523726524","40.440974523726524","40.440974523726524"
"375","40.76138279906428","40.76138279906428","40.76138279906428"
"376","41.157577284786264","41.157577284786264","41.157577284786264"
"377","40.69665426527167","40.69665426527167","40.69665426527167"
"378","40.30168013458119","40.30168013458119","40.30168013458119"
"379","39.551239489265825","39.551239489265825","39.551239489265825"
"380","40.543120671673236","40.543120671673236","40.543120671673236"
"381","39.25121713105128","39.25121713105128","39.25121713105128"
"382","38.304131657671185","38.304131657671185","38.304131657671185"
"383","37.678088644012306","37.678088644012306","37.678088644012306"
"384","37.55961129974947","37.55961129974947","37.55961129974947"
"385","37.80104923058811","37.80104923058811","37.80104923058811"
"386","38.14268884901275","38.14268884901275","38.14268884901275"
"387","38.30630212872616","38.30630212872616","38.30630212872616"
"388","39.091134652480434","39.091134652480434","39.091134652480434"
"389","39.48940539396914","39.48940539396914","39.48940539396914"
"390","38.9765007673897","38.9765007673897","38.9765007673897"
"391","36.71438402293333","36.71438402293333","36.71438402293333"
"392","35.953918985203174","35.953918985203174","35.953918985203174"
"393","35.820378042769526","35.820378042769526","35.820378042769526"
"394","35.61327944742049","35.61327944742049","35.61327944742049"
"395","36.42712797906074","36.42712797906074","36.42712797906074"
"396","36.84214009037911","36.84214009037911","36.84214009037911"
"397","36.630171330984325","36.630171330984325","36.630171330984325"
"398","35.94116974823991","35.94116974823991","35.94116974823991"
"399","35.17749480488571","35.17749480488571","35.17749480488571"
"400","35.33343679590344","35.33343679590344","35.33343679590344"
"401","34.700520409605474","34.700520409605474","34.700520409605474"
"402","34.53539215890213","34.53539215890213","34.53539215890213"
"403","35.461169255078346","35.461169255078346","35.461169255078346"
"404","35.80698720445855","35.80698720445855","35.80698720445855"
"405","36.39148163519527","36.39148163519527","36.39148163519527"
"406","36.08093125195872","36.08093125195872","36.08093125195872"
"407","35.74350592093405","35.74350592093405","35.74350592093405"
"408","36.284530666684915","36.284530666684915","36.284530666684915"
"409","36.97809043372204","36.97809043372204","36.97809043372204"
"410","37.09092127605108","37.09092127605108","37.09092127605108"
"411","37.73823709447666","37.73823709447666","37.73823709447666"
"412","37.30262007017639","37.30262007017639","37.30262007017639"
"413","37.18053273425988","37.18053273425988","37.18053273425988"
"414","37.799719512395185","37.799719512395185","37.799719512395185"
"415","38.01115184072768","38.01115184072768","38.01115184072768"
"416","37.31416772020807","37.31416772020807","37.31416772020807"
"417","37.589459325860076","37.589459325860076","37.589459325860076"
"418","38.066295619726056","38.066295619726056","38.066295619726056"
"419","37.67329544723063","37.67329544723063","37.67329544723063"
"420","38.02766805102251","38.02766805102251","38.02766805102251"
"421","37.62791302472569","37.62791302472569","37.62791302472569"
"422","37.55492658645102","37.55492658645102","37.55492658645102"
"423","37.382378486010225","37.382378486010225","37.382378486010225"
"424","36.94404838117236","36.94404838117236","36.94404838117236"
"425","36.610478320048195","36.610478320048195","36.610478320048195"
"426","36.25363445536527","36.25363445536527","36.25363445536527"
"427","36.03404998865133","36.03404998865133","36.03404998865133"
"428","36.412238696846906","36.412238696846906","36.412238696846906"
"429","37.11542888162495","37.11542888162495","37.11542888162495"
"430","37.63014560761828","37.63014560761828","37.63014560761828"
"431","38.18553542711408","38.18553542711408","38.18553542711408"
"432","37.78223817972722","37.78223817972722","37.78223817972722"
"433","37.641430633444294","37.641430633444294","37.641430633444294"
"434","37.379470513139694","37.379470513139694","37.379470513139694"
"435","37.50554447919613","37.50554447919613","37.50554447919613"
"436","38.35686835418105","38.35686835418105","38.35686835418105"
"437","38.6516508009025","38.6516508009025","38.6516508009025"
"438","38.84400331863954","38.84400331863954","38.84400331863954"
"439","37.49906354483486","37.49906354483486","37.49906354483486"
"440","37.22084269994406","37.22084269994406","37.22084269994406"
"441","37.16788861857639","37.16788861857639","37.16788861857639"
"442","36.38247016141063","36.38247016141063","36.38247016141063"
"443","36.38174765718577","36.38174765718577","36.38174765718577"
"444","35.06098738192793","35.06098738192793","35.06098738192793"
"445","35.38702527677223","35.38702527677223","35.38702527677223"
"446","35.81173363949674","35.81173363949674","35.81173363949674"
"447","35.974456418731336","35.974456418731336","35.974456418731336"
"448","36.781511275195484","36.781511275195484","36.781511275195484"
"449","36.40978424160964","36.40978424160964","36.40978424160964"
"450","35.760225779124774","35.760225779124774","35.760225779124774"
"451","34.706082262564806","34.706082262564806","34.706082262564806"
"452","34.45678366950255","34.45678366950255","34.45678366950255"
"453","34.37466231472487","34.37466231472487","34.37466231472487"
"454","34.54544356681496","34.54544356681496","34.54544356681496"
"455","34.875418716347184","34.875418716347184","34.875418716347184"
"456","34.3486074891443","34.3486074891443","34.3486074891443"
"457","34.38983452040731","34.38983452040731","34.38983452040731"
"458","35.123526940449466","35.123526940449466","35.123526940449466"
"459","34.222223602110596","34.222223602110596","34.222223602110596"
"460","34.51150111310863","34.51150111310863","34.51150111310863"
"461","34.830859973682884","34.830859973682884","34.830859973682884"
"462","33.89101050194484","33.89101050194484","33.89101050194484"
"463","33.66775695932251","33.66775695932251","33.66775695932251"
"464","33.599460308640445","33.599460308640445","33.599460308640445"
"465","33.72682468989648","33.72682468989648","33.72682468989648"
"466","33.459395329897724","33.459395329897724","33.459395329897724"
"467","31.825002362939866","31.825002362939866","31.825002362939866"
"468","31.229793053932337","31.229793053932337","31.229793053932337"
"469","30.222070674567934","30.222070674567934","30.222070674567934"
"470","30.125102223632002","30.125102223632002","30.125102223632002"
"471","29.81641103599984","29.81641103599984","29.81641103599984"
"472","29.976468603928048","29.976468603928048","29.976468603928048"
"473","30.379492486382848","30.379492486382848","30.379492486382848"
"474","30.27195612150714","30.27195612150714","30.27195612150714"
