"Step","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"118","-61.22220574452301","-61.22220574452301","-61.22220574452301"
"119","-61.277329182024644","-61.277329182024644","-61.277329182024644"
"120","-61.46647324751677","-61.46647324751677","-61.46647324751677"
"121","-61.4296893098032","-61.4296893098032","-61.4296893098032"
"122","-62.1538122947464","-62.1538122947464","-62.1538122947464"
"123","-62.48878810888629","-62.48878810888629","-62.48878810888629"
"124","-63.37406768453327","-63.37406768453327","-63.37406768453327"
"125","-63.753664160295386","-63.753664160295386","-63.753664160295386"
"126","-63.485325112990225","-63.485325112990225","-63.485325112990225"
"127","-63.70547021013494","-63.70547021013494","-63.70547021013494"
"128","-64.3506373337","-64.3506373337","-64.3506373337"
"129","-63.31259897710892","-63.31259897710892","-63.31259897710892"
"130","-63.62283144009147","-63.62283144009147","-63.62283144009147"
"131","-63.564394794125","-63.564394794125","-63.564394794125"
"132","-64.13893670811603","-64.13893670811603","-64.13893670811603"
"133","-64.51718016218442","-64.51718016218442","-64.51718016218442"
"134","-63.72979726407785","-63.72979726407785","-63.72979726407785"
"135","-63.010007159244225","-63.010007159244225","-63.010007159244225"
"136","-62.89360077342568","-62.89360077342568","-62.89360077342568"
"137","-63.34226291335393","-63.34226291335393","-63.34226291335393"
"138","-64.64318363993686","-64.64318363993686","-64.64318363993686"
"139","-65.22420518717193","-65.22420518717193","-65.22420518717193"
"140","-65.04990781446276","-65.04990781446276","-65.04990781446276"
"141","-64.50149188771817","-64.50149188771817","-64.50149188771817"
"142","-65.00875931084111","-65.00875931084111","-65.00875931084111"
"143","-64.75748066360005","-64.75748066360005","-64.75748066360005"
"144","-64.66345176901883","-64.66345176901883","-64.66345176901883"
"145","-65.15359822400248","-65.15359822400248","-65.15359822400248"
"146","-65.11979704427536","-65.11979704427536","-65.11979704427536"
"147","-65.4424676706634","-65.4424676706634","-65.4424676706634"
"148","-65.28488936470171","-65.28488936470171","-65.28488936470171"
"149","-65.3967574062382","-65.3967574062382","-65.3967574062382"
"150","-65.40776883640615","-65.40776883640615","-65.40776883640615"
"151","-65.75517628207017","-65.75517628207017","-65.75517628207017"
"152","-66.28976358512469","-66.28976358512469","-66.28976358512469"
"153","-66.34743407172604","-66.34743407172604","-66.34743407172604"
"154","-66.37657568355188","-66.37657568355188","-66.37657568355188"
"155","-66.22334588707041","-66.22334588707041","-66.22334588707041"
"156","-66.38079962980625","-66.38079962980625","-66.38079962980625"
"157","-66.05818648601425","-66.05818648601425","-66.05818648601425"
"158","-66.25765974383746","-66.25765974383746","-66.25765974383746"
"159","-65.8203917028413","-65.8203917028413","-65.8203917028413"
"160","-65.53840606668713","-65.53840606668713","-65.53840606668713"
"161","-65.15247649344721","-65.15247649344721","-65.15247649344721"
"162","-65.45028816194903","-65.45028816194903","-65.45028816194903"
"163","-65.95643226892814","-65.95643226892814","-65.95643226892814"
"164","-66.85366046798374","-66.85366046798374","-66.85366046798374"
"165","-65.39751587286764","-65.39751587286764","-65.39751587286764"
"166","-65.02469683407097","-65.02469683407097","-65.02469683407097"
"167","-65.87165269612329","-65.87165269612329","-65.87165269612329"
"168","-65.65511457019174","-65.65511457019174","-65.65511457019174"
"169","-65.76350719830673","-65.76350719830673","-65.76350719830673"
"170","-65.98070130983791","-65.98070130983791","-65.98070130983791"
"171","-65.79790890001027","-65.79790890001027","-65.79790890001027"
"172","-66.24403347411388","-66.24403347411388","-66.24403347411388"
"173","-66.14491813481494","-66.14491813481494","-66.14491813481494"
"174","-66.31523001599902","-66.31523001599902","-66.31523001599902"
"175","-65.52149252577058","-65.52149252577058","-65.52149252577058"
"176","-65.74208127667902","-65.74208127667902","-65.74208127667902"
"177","-65.49641603328558","-65.49641603328558","-65.49641603328558"
"178","-65.80673138952305","-65.80673138952305","-65.80673138952305"
"179","-66.23362560992564","-66.23362560992564","-66.23362560992564"
"180","-65.38800294314616","-65.38800294314616","-65.38800294314616"
"181","-65.2988963750007","-65.2988963750007","-65.2988963750007"
"182","-65.90941548253817","-65.90941548253817","-65.90941548253817"
"183","-66.13518479184818","-66.13518479184818","-66.13518479184818"
"184","-66.10001690239127","-66.10001690239127","-66.10001690239127"
"185","-65.67748594938757","-65.67748594938757","-65.67748594938757"
"186","-64.8606758313656","-64.8606758313656","-64.8606758313656"
"187","-63.95352861509113","-63.95352861509113","-63.95352861509113"
"188","-64.01145082926615","-64.01145082926615","-64.01145082926615"
"189","-64.00086493397525","-64.00086493397525","-64.00086493397525"
"190","-64.48932136253518","-64.48932136253518","-64.48932136253518"
"191","-64.68411624033243","-64.68411624033243","-64.68411624033243"
"192","-64.99248681660136","-64.99248681660136","-64.99248681660136"
"193","-64.6627467951962","-64.6627467951962","-64.6627467951962"
"194","-64.76278167963353","-64.76278167963353","-64.76278167963353"
"195","-64.74994078896557","-64.74994078896557","-64.74994078896557"
"196","-64.67709598935332","-64.67709598935332","-64.67709598935332"
"197","-64.12361129984272","-64.12361129984272","-64.12361129984272"
"198","-64.28629443338579","-64.28629443338579","-64.28629443338579"
"199","-64.38040698251417","-64.38040698251417","-64.38040698251417"
"200","-64.33989237994919","-64.33989237994919","-64.33989237994919"
"201","-64.02581054107131","-64.02581054107131","-64.02581054107131"
"202","-63.42839024993768","-63.42839024993768","-63.42839024993768"
"203","-62.379780480005614","-62.379780480005614","-62.379780480005614"
"204","-62.34732559040427","-62.34732559040427","-62.34732559040427"
"205","-61.35905403358484","-61.35905403358484","-61.35905403358484"
"206","-61.139486738570575","-61.139486738570575","-61.139486738570575"
"207","-61.83055434404533","-61.83055434404533","-61.83055434404533"
"208","-61.340811912339085","-61.340811912339085","-61.340811912339085"
"209","-61.31590678245595","-61.31590678245595","-61.31590678245595"
"210","-60.466834329932766","-60.466834329932766","-60.466834329932766"
"211","-60.069980125939956","-60.069980125939956","-60.069980125939956"
"212","-60.48502558626018","-60.48502558626018","-60.48502558626018"
"213","-58.958563725087714","-58.958563725087714","-58.958563725087714"
"214","-59.36561808940817","-59.36561808940817","-59.36561808940817"
"215","-59.18477914755678","-59.18477914755678","-59.18477914755678"
"216","-59.53559445871691","-59.53559445871691","-59.53559445871691"
"217","-59.416094329224705","-59.416094329224705","-59.416094329224705"
"218","-59.70674570605679","-59.70674570605679","-59.70674570605679"
"219","-60.141578147844584","-60.141578147844584","-60.141578147844584"
"220","-60.83974911130456","-60.83974911130456","-60.83974911130456"
"221","-61.65034004148911","-61.65034004148911","-61.65034004148911"
"222","-61.85835887727211","-61.85835887727211","-61.85835887727211"
"223","-61.92431110712362","-61.92431110712362","-61.92431110712362"
"224","-62.89248020118391","-62.89248020118391","-62.89248020118391"
"225","-62.18703774564684","-62.18703774564684","-62.18703774564684"
"226","-61.3448055531672","-61.3448055531672","-61.3448055531672"
"227","-62.36534007568334","-62.36534007568334","-62.36534007568334"
"228","-62.80815958932694","-62.80815958932694","-62.80815958932694"
"229","-62.57376254314119","-62.57376254314119","-62.57376254314119"
"230","-60.77254871915127","-60.77254871915127","-60.77254871915127"
"231","-61.46471709630276","-61.46471709630276","-61.46471709630276"
"232","-60.716026971404965","-60.716026971404965","-60.716026971404965"
"233","-61.17510033896491","-61.17510033896491","-61.17510033896491"
"234","-61.57770767863569","-61.57770767863569","-61.57770767863569"
"235","-61.41804542858521","-61.41804542858521","-61.41804542858521"
"236","-61.03833162910609","-61.03833162910609","-61.03833162910609"
"237","-62.40771783503575","-62.40771783503575","-62.40771783503575"
"238","-62.26392260607167","-62.26392260607167","-62.26392260607167"
"239","-62.84222116639221","-62.84222116639221","-62.84222116639221"
"240","-62.579212853495235","-62.579212853495235","-62.579212853495235"
"241","-62.23604700544488","-62.23604700544488","-62.23604700544488"
"242","-62.03519420008079","-62.03519420008079","-62.03519420008079"
"243","-63.13731563871611","-63.13731563871611","-63.13731563871611"
"244","-62.932973455658775","-62.932973455658775","-62.932973455658775"
"245","-62.003223496837364","-62.003223496837364","-62.003223496837364"
"246","-62.08472690935462","-62.08472690935462","-62.08472690935462"
"247","-62.04258592362823","-62.04258592362823","-62.04258592362823"
"248","-61.50387208287188","-61.50387208287188","-61.50387208287188"
"249","-61.94796630387689","-61.94796630387689","-61.94796630387689"
"250","-62.60857933984381","-62.60857933984381","-62.60857933984381"
"251","-62.54070525196079","-62.54070525196079","-62.54070525196079"
"252","-63.25672340644204","-63.25672340644204","-63.25672340644204"
"253","-63.234151240073686","-63.234151240073686","-63.234151240073686"
"254","-63.16125801654237","-63.16125801654237","-63.16125801654237"
"255","-63.66413441405061","-63.66413441405061","-63.66413441405061"
"256","-64.08355660188704","-64.08355660188704","-64.08355660188704"
"257","-64.21210688788238","-64.21210688788238","-64.21210688788238"
"258","-63.414907183046324","-63.414907183046324","-63.414907183046324"
"259","-62.946934383349145","-62.946934383349145","-62.946934383349145"
"260","-62.76837174205749","-62.76837174205749","-62.76837174205749"
"261","-62.81096029608512","-62.81096029608512","-62.81096029608512"
"262","-62.66274666433021","-62.66274666433021","-62.66274666433021"
"263","-62.185214692771154","-62.185214692771154","-62.185214692771154"
"264","-62.34399133623599","-62.34399133623599","-62.34399133623599"
"265","-62.6821595658742","-62.6821595658742","-62.6821595658742"
"266","-62.25637554718358","-62.25637554718358","-62.25637554718358"
"267","-61.657517874647","-61.657517874647","-61.657517874647"
"268","-61.91809476934267","-61.91809476934267","-61.91809476934267"
"269","-62.420403748303805","-62.420403748303805","-62.420403748303805"
"270","-60.83935021575584","-60.83935021575584","-60.83935021575584"
"271","-61.07176366936082","-61.07176366936082","-61.07176366936082"
"272","-61.02709299214383","-61.02709299214383","-61.02709299214383"
"273","-61.138402369674935","-61.138402369674935","-61.138402369674935"
"274","-61.812584599817555","-61.812584599817555","-61.812584599817555"
"275","-60.99456774079925","-60.99456774079925","-60.99456774079925"
"276","-61.617758768712555","-61.617758768712555","-61.617758768712555"
"277","-62.38487052284037","-62.38487052284037","-62.38487052284037"
"278","-62.072885931436346","-62.072885931436346","-62.072885931436346"
"279","-61.9396246038932","-61.9396246038932","-61.9396246038932"
"280","-62.40185385368355","-62.40185385368355","-62.40185385368355"
"281","-61.93243747425748","-61.93243747425748","-61.93243747425748"
"282","-61.532219589568","-61.532219589568","-61.532219589568"
"283","-61.00552068224358","-61.00552068224358","-61.00552068224358"
"284","-61.46661603603103","-61.46661603603103","-61.46661603603103"
"285","-62.129343532604736","-62.129343532604736","-62.129343532604736"
"286","-61.76346144138799","-61.76346144138799","-61.76346144138799"
"287","-61.40532473013693","-61.40532473013693","-61.40532473013693"
"288","-62.40766672353616","-62.40766672353616","-62.40766672353616"
"289","-61.806999514516946","-61.806999514516946","-61.806999514516946"
"290","-61.30770119456387","-61.30770119456387","-61.30770119456387"
"291","-62.3787119521365","-62.3787119521365","-62.3787119521365"
"292","-61.744288008193536","-61.744288008193536","-61.744288008193536"
"293","-62.123676948026485","-62.123676948026485","-62.123676948026485"
"294","-61.74610817645307","-61.74610817645307","-61.74610817645307"
"295","-60.884191689850724","-60.884191689850724","-60.884191689850724"
"296","-61.57377145111164","-61.57377145111164","-61.57377145111164"
"297","-62.29173694132533","-62.29173694132533","-62.29173694132533"
"298","-62.279676923206615","-62.279676923206615","-62.279676923206615"
"299","-61.2131854802058","-61.2131854802058","-61.2131854802058"
"300","-60.76683838930396","-60.76683838930396","-60.76683838930396"
"301","-60.662551604739654","-60.662551604739654","-60.662551604739654"
"302","-60.94776149286532","-60.94776149286532","-60.94776149286532"
"303","-60.902071765783056","-60.902071765783056","-60.902071765783056"
"304","-61.61174467319275","-61.61174467319275","-61.61174467319275"
"305","-62.64770332178944","-62.64770332178944","-62.64770332178944"
"306","-61.8897139197802","-61.8897139197802","-61.8897139197802"
"307","-61.83830800489152","-61.83830800489152","-61.83830800489152"
"308","-60.9470310404551","-60.9470310404551","-60.9470310404551"
"309","-60.52165041272932","-60.52165041272932","-60.52165041272932"
"310","-60.80479594971881","-60.80479594971881","-60.80479594971881"
"311","-60.65817206518257","-60.65817206518257","-60.65817206518257"
"312","-60.69480534526046","-60.69480534526046","-60.69480534526046"
"313","-60.54609068316809","-60.54609068316809","-60.54609068316809"
"314","-60.206482374794724","-60.206482374794724","-60.206482374794724"
"315","-60.354300475735144","-60.354300475735144","-60.354300475735144"
"316","-60.037665078750116","-60.037665078750116","-60.037665078750116"
"317","-59.55719590118107","-59.55719590118107","-59.55719590118107"
"318","-59.25385272904486","-59.25385272904486","-59.25385272904486"
"319","-59.188376429453726","-59.188376429453726","-59.188376429453726"
"320","-59.32191935320247","-59.32191935320247","-59.32191935320247"
"321","-59.51708897065385","-59.51708897065385","-59.51708897065385"
"322","-58.73964537502248","-58.73964537502248","-58.73964537502248"
"323","-58.75514619833082","-58.75514619833082","-58.75514619833082"
"324","-58.29343785255455","-58.29343785255455","-58.29343785255455"
"325","-57.92190785109172","-57.92190785109172","-57.92190785109172"
"326","-58.01179076701562","-58.01179076701562","-58.01179076701562"
"327","-58.27278477885473","-58.27278477885473","-58.27278477885473"
"328","-57.75581612650266","-57.75581612650266","-57.75581612650266"
"329","-58.123313493106316","-58.123313493106316","-58.123313493106316"
"330","-57.413917230914265","-57.413917230914265","-57.413917230914265"
"331","-57.330048728523835","-57.330048728523835","-57.330048728523835"
"332","-56.97243518106692","-56.97243518106692","-56.97243518106692"
"333","-55.75168831700828","-55.75168831700828","-55.75168831700828"
"334","-54.691582983134595","-54.691582983134595","-54.691582983134595"
"335","-55.07832374743322","-55.07832374743322","-55.07832374743322"
"336","-54.92203530341428","-54.92203530341428","-54.92203530341428"
"337","-54.67726741316429","-54.67726741316429","-54.67726741316429"
"338","-53.12937600199154","-53.12937600199154","-53.12937600199154"
"339","-52.69579488655375","-52.69579488655375","-52.69579488655375"
"340","-53.04908674993596","-53.04908674993596","-53.04908674993596"
"341","-53.21902184630605","-53.21902184630605","-53.21902184630605"
"342","-51.32480182255244","-51.32480182255244","-51.32480182255244"
"343","-51.730960463077736","-51.730960463077736","-51.730960463077736"
"344","-51.76694203132621","-51.76694203132621","-51.76694203132621"
"345","-51.628339429551495","-51.628339429551495","-51.628339429551495"
"346","-51.98259221555306","-51.98259221555306","-51.98259221555306"
"347","-51.74165236276062","-51.74165236276062","-51.74165236276062"
"348","-51.746745505501686","-51.746745505501686","-51.746745505501686"
"349","-51.755665661263556","-51.755665661263556","-51.755665661263556"
"350","-51.60875008194831","-51.60875008194831","-51.60875008194831"
"351","-51.14921963218743","-51.14921963218743","-51.14921963218743"
"352","-50.24612515181602","-50.24612515181602","-50.24612515181602"
"353","-50.03220343875947","-50.03220343875947","-50.03220343875947"
"354","-49.76033120953253","-49.76033120953253","-49.76033120953253"
"355","-49.46214632134847","-49.46214632134847","-49.46214632134847"
"356","-48.820716654035195","-48.820716654035195","-48.820716654035195"
"357","-49.25782201161362","-49.25782201161362","-49.25782201161362"
"358","-48.9745230943191","-48.9745230943191","-48.9745230943191"
"359","-49.53094190914216","-49.53094190914216","-49.53094190914216"
"360","-49.565951455447454","-49.565951455447454","-49.565951455447454"
"361","-49.832538686981955","-49.832538686981955","-49.832538686981955"
"362","-49.5746379911826","-49.5746379911826","-49.5746379911826"
"363","-49.286932932345806","-49.286932932345806","-49.286932932345806"
"364","-48.849418401288695","-48.849418401288695","-48.849418401288695"
"365","-50.26281672615804","-50.26281672615804","-50.26281672615804"
"366","-51.34954241112632","-51.34954241112632","-51.34954241112632"
"367","-50.79984242139618","-50.79984242139618","-50.79984242139618"
"368","-51.375453744906736","-51.375453744906736","-51.375453744906736"
"369","-51.32641184809886","-51.32641184809886","-51.32641184809886"
"370","-50.975706826293845","-50.975706826293845","-50.975706826293845"
"371","-50.3877006427893","-50.3877006427893","-50.3877006427893"
"372","-49.66462108864532","-49.66462108864532","-49.66462108864532"
"373","-50.346344753247315","-50.346344753247315","-50.346344753247315"
"374","-50.203560126320774","-50.203560126320774","-50.203560126320774"
"375","-50.76494934401763","-50.76494934401763","-50.76494934401763"
"376","-50.34101313445551","-50.34101313445551","-50.34101313445551"
"377","-50.63172734595182","-50.63172734595182","-50.63172734595182"
"378","-51.021393680938374","-51.021393680938374","-51.021393680938374"
"379","-50.60537790810808","-50.60537790810808","-50.60537790810808"
"380","-50.57250914515213","-50.57250914515213","-50.57250914515213"
"381","-51.656454108991994","-51.656454108991994","-51.656454108991994"
"382","-51.318089151204234","-51.318089151204234","-51.318089151204234"
"383","-49.711611750284135","-49.711611750284135","-49.711611750284135"
"384","-50.06814752811936","-50.06814752811936","-50.06814752811936"
"385","-50.54058631580062","-50.54058631580062","-50.54058631580062"
"386","-50.91013761133211","-50.91013761133211","-50.91013761133211"
"387","-51.289403665155334","-51.289403665155334","-51.289403665155334"
"388","-51.17605389758305","-51.17605389758305","-51.17605389758305"
"389","-51.25912838028859","-51.25912838028859","-51.25912838028859"
"390","-51.113770932436466","-51.113770932436466","-51.113770932436466"
"391","-50.605966459552725","-50.605966459552725","-50.605966459552725"
"392","-50.66658068953423","-50.66658068953423","-50.66658068953423"
"393","-51.27394612131811","-51.27394612131811","-51.27394612131811"
"394","-51.634563345088026","-51.634563345088026","-51.634563345088026"
"395","-51.116220710346084","-51.116220710346084","-51.116220710346084"
"396","-51.34972030836366","-51.34972030836366","-51.34972030836366"
"397","-52.16756105112339","-52.16756105112339","-52.16756105112339"
"398","-51.93521202202717","-51.93521202202717","-51.93521202202717"
"399","-50.96752761345911","-50.96752761345911","-50.96752761345911"
"400","-51.04830783888149","-51.04830783888149","-51.04830783888149"
"401","-51.77536454714895","-51.77536454714895","-51.77536454714895"
"402","-51.29092654155939","-51.29092654155939","-51.29092654155939"
"403","-53.02896401118855","-53.02896401118855","-53.02896401118855"
"404","-51.88559438419779","-51.88559438419779","-51.88559438419779"
"405","-52.23598590280845","-52.23598590280845","-52.23598590280845"
"406","-52.42528159788736","-52.42528159788736","-52.42528159788736"
"407","-51.81519237737186","-51.81519237737186","-51.81519237737186"
"408","-51.4763810589495","-51.4763810589495","-51.4763810589495"
"409","-51.2412993302436","-51.2412993302436","-51.2412993302436"
"410","-52.05045709554143","-52.05045709554143","-52.05045709554143"
"411","-52.6678060354888","-52.6678060354888","-52.6678060354888"
"412","-52.90808925521142","-52.90808925521142","-52.90808925521142"
"413","-53.703743671487416","-53.703743671487416","-53.703743671487416"
"414","-53.0300167920969","-53.0300167920969","-53.0300167920969"
"415","-52.92624778171194","-52.92624778171194","-52.92624778171194"
"416","-52.806815261379846","-52.806815261379846","-52.806815261379846"
"417","-52.95983586423004","-52.95983586423004","-52.95983586423004"
"418","-52.84944390252551","-52.84944390252551","-52.84944390252551"
"419","-53.43318121043264","-53.43318121043264","-53.43318121043264"
"420","-52.22370082361096","-52.22370082361096","-52.22370082361096"
"421","-51.208223611497914","-51.208223611497914","-51.208223611497914"
"422","-50.70969172318444","-50.70969172318444","-50.70969172318444"
"423","-50.88643609179787","-50.88643609179787","-50.88643609179787"
"424","-50.950874286969736","-50.950874286969736","-50.950874286969736"
"425","-50.8526743175084","-50.8526743175084","-50.8526743175084"
"426","-50.9250377836286","-50.9250377836286","-50.9250377836286"
"427","-50.78660245152799","-50.78660245152799","-50.78660245152799"
"428","-50.45960251826777","-50.45960251826777","-50.45960251826777"
"429","-50.19842547733331","-50.19842547733331","-50.19842547733331"
"430","-50.5462825208207","-50.5462825208207","-50.5462825208207"
"431","-49.50762552022633","-49.50762552022633","-49.50762552022633"
"432","-50.084251855761785","-50.084251855761785","-50.084251855761785"
"433","-49.24900534205589","-49.24900534205589","-49.24900534205589"
"434","-48.645175047830804","-48.645175047830804","-48.645175047830804"
"435","-48.94740782466001","-48.94740782466001","-48.94740782466001"
"436","-49.32819843605177","-49.32819843605177","-49.32819843605177"
"437","-49.156756192966206","-49.156756192966206","-49.156756192966206"
"438","-49.42858503678219","-49.42858503678219","-49.42858503678219"
"439","-49.184831295776824","-49.184831295776824","-49.184831295776824"
"440","-49.277602188244835","-49.277602188244835","-49.277602188244835"
"441","-49.7219667537386","-49.7219667537386","-49.7219667537386"
"442","-49.61124682867935","-49.61124682867935","-49.61124682867935"
"443","-49.83763832278999","-49.83763832278999","-49.83763832278999"
