"Step","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MAX","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG-ENS-SINGLE-3-1 - Mean Episode Reward (Last 200 episodes)__MAX","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG-SINGLE-ENS-3-1 - Mean Episode Reward (Last 200 episodes)__MAX"
"99","-54.26903726090337","-54.26903726090337","-54.26903726090337","-41.99173468645902","-41.99173468645902","-41.99173468645902","-107.18622486426264","-107.18622486426264","-107.18622486426264"
"100","-54.87233851133826","-54.87233851133826","-54.87233851133826","-41.276214731908844","-41.276214731908844","-41.276214731908844","-106.23507070262916","-106.23507070262916","-106.23507070262916"
"101","-54.87604941691178","-54.87604941691178","-54.87604941691178","-41.091297298568804","-41.091297298568804","-41.091297298568804","-105.84121381442169","-105.84121381442169","-105.84121381442169"
"102","-55.3143465841853","-55.3143465841853","-55.3143465841853","-41.48398935611464","-41.48398935611464","-41.48398935611464","-103.75537356601451","-103.75537356601451","-103.75537356601451"
"103","-55.40915372754652","-55.40915372754652","-55.40915372754652","-41.326158709782746","-41.326158709782746","-41.326158709782746","-103.43186289836437","-103.43186289836437","-103.43186289836437"
"104","-54.75250585470361","-54.75250585470361","-54.75250585470361","-40.06653781939235","-40.06653781939235","-40.06653781939235","-102.77103148799827","-102.77103148799827","-102.77103148799827"
"105","-54.978917102835396","-54.978917102835396","-54.978917102835396","-39.8431811127844","-39.8431811127844","-39.8431811127844","-102.20447924209249","-102.20447924209249","-102.20447924209249"
"106","-55.870543026053646","-55.870543026053646","-55.870543026053646","-38.86676730414702","-38.86676730414702","-38.86676730414702","-101.367440064412","-101.367440064412","-101.367440064412"
"107","-55.706786227612184","-55.706786227612184","-55.706786227612184","-38.61142124130682","-38.61142124130682","-38.61142124130682","-100.72434885488009","-100.72434885488009","-100.72434885488009"
"108","-54.87872285742793","-54.87872285742793","-54.87872285742793","-38.07978618221576","-38.07978618221576","-38.07978618221576","-100.64467584785052","-100.64467584785052","-100.64467584785052"
"109","-55.33939454622973","-55.33939454622973","-55.33939454622973","-37.4475008890932","-37.4475008890932","-37.4475008890932","-100.15655735622992","-100.15655735622992","-100.15655735622992"
"110","-55.408490622228804","-55.408490622228804","-55.408490622228804","-37.40210144409135","-37.40210144409135","-37.40210144409135","-99.57581150329561","-99.57581150329561","-99.57581150329561"
"111","-55.44560708016712","-55.44560708016712","-55.44560708016712","-37.24576307885324","-37.24576307885324","-37.24576307885324","-98.82896416966983","-98.82896416966983","-98.82896416966983"
"112","-56.11165430208106","-56.11165430208106","-56.11165430208106","-36.11796778456933","-36.11796778456933","-36.11796778456933","-97.86356743044409","-97.86356743044409","-97.86356743044409"
"113","-55.404446195544864","-55.404446195544864","-55.404446195544864","-35.90112643279204","-35.90112643279204","-35.90112643279204","-96.9570252113455","-96.9570252113455","-96.9570252113455"
"114","-55.76403834146216","-55.76403834146216","-55.76403834146216","-36.13638270358505","-36.13638270358505","-36.13638270358505","-96.3448442679172","-96.3448442679172","-96.3448442679172"
"115","-55.815023011494574","-55.815023011494574","-55.815023011494574","-35.22246377642152","-35.22246377642152","-35.22246377642152","-95.76390856940661","-95.76390856940661","-95.76390856940661"
"116","-55.51104659657609","-55.51104659657609","-55.51104659657609","-35.21989118194533","-35.21989118194533","-35.21989118194533","-95.23940628064906","-95.23940628064906","-95.23940628064906"
"117","-55.5185347306534","-55.5185347306534","-55.5185347306534","-35.02053459721892","-35.02053459721892","-35.02053459721892","-94.77360646615512","-94.77360646615512","-94.77360646615512"
"118","-56.113041266750734","-56.113041266750734","-56.113041266750734","-34.821685709509005","-34.821685709509005","-34.821685709509005","-94.6450118703461","-94.6450118703461","-94.6450118703461"
"119","-55.982084847254406","-55.982084847254406","-55.982084847254406","-34.619559787595755","-34.619559787595755","-34.619559787595755","-93.43063044930727","-93.43063044930727","-93.43063044930727"
"120","-56.55341983528697","-56.55341983528697","-56.55341983528697","-34.09832191124229","-34.09832191124229","-34.09832191124229","-92.5052745014346","-92.5052745014346","-92.5052745014346"
"121","-56.39712739116065","-56.39712739116065","-56.39712739116065","-33.99524693796618","-33.99524693796618","-33.99524693796618","-91.51408312223269","-91.51408312223269","-91.51408312223269"
"122","-57.084884890518985","-57.084884890518985","-57.084884890518985","-32.9035753001782","-32.9035753001782","-32.9035753001782","-91.0068193233252","-91.0068193233252","-91.0068193233252"
"123","-57.31782996691188","-57.31782996691188","-57.31782996691188","-32.792283459228834","-32.792283459228834","-32.792283459228834","-90.39623350736295","-90.39623350736295","-90.39623350736295"
"124","-56.87591619445739","-56.87591619445739","-56.87591619445739","-32.64303378865517","-32.64303378865517","-32.64303378865517","-89.87898972714413","-89.87898972714413","-89.87898972714413"
"125","-57.21167975695103","-57.21167975695103","-57.21167975695103","-32.5373921316646","-32.5373921316646","-32.5373921316646","-88.95071970431229","-88.95071970431229","-88.95071970431229"
"126","-57.10748189795577","-57.10748189795577","-57.10748189795577","-32.7581156283819","-32.7581156283819","-32.7581156283819","-88.56374930297422","-88.56374930297422","-88.56374930297422"
"127","-56.95285965683874","-56.95285965683874","-56.95285965683874","-32.593395301154516","-32.593395301154516","-32.593395301154516","-87.66768456690242","-87.66768456690242","-87.66768456690242"
"128","-57.48760653768447","-57.48760653768447","-57.48760653768447","-32.422390427414584","-32.422390427414584","-32.422390427414584","-87.91506870564822","-87.91506870564822","-87.91506870564822"
"129","-57.5972294531208","-57.5972294531208","-57.5972294531208","-31.80135121122724","-31.80135121122724","-31.80135121122724","-87.91348783987112","-87.91348783987112","-87.91348783987112"
"130","-57.54515965279833","-57.54515965279833","-57.54515965279833","-31.903096414835833","-31.903096414835833","-31.903096414835833","-87.76028248716456","-87.76028248716456","-87.76028248716456"
"131","-57.71300370282466","-57.71300370282466","-57.71300370282466","-31.783736126412826","-31.783736126412826","-31.783736126412826","-87.72651149169056","-87.72651149169056","-87.72651149169056"
"132","-57.993425048556","-57.993425048556","-57.993425048556","-31.667180391423273","-31.667180391423273","-31.667180391423273","-87.38035160230964","-87.38035160230964","-87.38035160230964"
"133","-58.000398174731785","-58.000398174731785","-58.000398174731785","-31.40453738929538","-31.40453738929538","-31.40453738929538","-87.28139498225661","-87.28139498225661","-87.28139498225661"
"134","-57.99197815814001","-57.99197815814001","-57.99197815814001","-31.39066469642366","-31.39066469642366","-31.39066469642366","-86.70921142123187","-86.70921142123187","-86.70921142123187"
"135","-57.51261657495824","-57.51261657495824","-57.51261657495824","-30.95036314782226","-30.95036314782226","-30.95036314782226","-86.3525281353427","-86.3525281353427","-86.3525281353427"
"136","-57.80647550866957","-57.80647550866957","-57.80647550866957","-30.90627232018903","-30.90627232018903","-30.90627232018903","-85.88065008385136","-85.88065008385136","-85.88065008385136"
"137","-57.79336013148109","-57.79336013148109","-57.79336013148109","-31.052580270713374","-31.052580270713374","-31.052580270713374","-84.96254686301536","-84.96254686301536","-84.96254686301536"
"138","-57.727076786296436","-57.727076786296436","-57.727076786296436","-30.465069456060302","-30.465069456060302","-30.465069456060302","-84.64537145738026","-84.64537145738026","-84.64537145738026"
"139","-57.843340373462304","-57.843340373462304","-57.843340373462304","-30.40160354463623","-30.40160354463623","-30.40160354463623","-84.4198755370978","-84.4198755370978","-84.4198755370978"
"140","-57.49226773612534","-57.49226773612534","-57.49226773612534","-30.363025057922165","-30.363025057922165","-30.363025057922165","-84.04330687382875","-84.04330687382875","-84.04330687382875"
"141","-57.73818558961885","-57.73818558961885","-57.73818558961885","-30.145409592830443","-30.145409592830443","-30.145409592830443","-83.74482002743","-83.74482002743","-83.74482002743"
"142","-57.689272863107064","-57.689272863107064","-57.689272863107064","-30.377825082564826","-30.377825082564826","-30.377825082564826","-82.9656153095552","-82.9656153095552","-82.9656153095552"
"143","-58.78230185726474","-58.78230185726474","-58.78230185726474","-30.41161060588924","-30.41161060588924","-30.41161060588924","-82.55622874793389","-82.55622874793389","-82.55622874793389"
"144","-59.62177675125697","-59.62177675125697","-59.62177675125697","-30.298382776852506","-30.298382776852506","-30.298382776852506","-81.48244232521562","-81.48244232521562","-81.48244232521562"
"145","-59.375793910405136","-59.375793910405136","-59.375793910405136","-30.5970032260313","-30.5970032260313","-30.5970032260313","-81.12456196568974","-81.12456196568974","-81.12456196568974"
"146","-59.240879480647486","-59.240879480647486","-59.240879480647486","-30.035652517905312","-30.035652517905312","-30.035652517905312","-80.66637597079927","-80.66637597079927","-80.66637597079927"
"147","-59.30493861758116","-59.30493861758116","-59.30493861758116","-30.132108713782625","-30.132108713782625","-30.132108713782625","-80.20963671801998","-80.20963671801998","-80.20963671801998"
"148","-59.18939685536581","-59.18939685536581","-59.18939685536581","-30.199121049331815","-30.199121049331815","-30.199121049331815","-78.87015675238133","-78.87015675238133","-78.87015675238133"
"149","-58.68918391248378","-58.68918391248378","-58.68918391248378","-30.11037461280451","-30.11037461280451","-30.11037461280451","-77.90992584205716","-77.90992584205716","-77.90992584205716"
"150","-58.58663530951628","-58.58663530951628","-58.58663530951628","-29.69575647439822","-29.69575647439822","-29.69575647439822","-77.32044755292868","-77.32044755292868","-77.32044755292868"
"151","-58.0441245936399","-58.0441245936399","-58.0441245936399","-29.635432726421097","-29.635432726421097","-29.635432726421097","-76.86629871671003","-76.86629871671003","-76.86629871671003"
"152","-58.118594768089444","-58.118594768089444","-58.118594768089444","-29.128440037450098","-29.128440037450098","-29.128440037450098","-76.61804212673076","-76.61804212673076","-76.61804212673076"
"153","-58.2770891237535","-58.2770891237535","-58.2770891237535","-29.034576980809383","-29.034576980809383","-29.034576980809383","-76.11111478679393","-76.11111478679393","-76.11111478679393"
"154","-58.34877411165782","-58.34877411165782","-58.34877411165782","-28.96850671132926","-28.96850671132926","-28.96850671132926","-75.28776449000114","-75.28776449000114","-75.28776449000114"
