"Step","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MAX"
"296","-73.77007292425509","-73.77007292425509","-73.77007292425509"
"299","-73.31760052984752","-73.31760052984752","-73.31760052984752"
"302","-72.480550461533","-72.480550461533","-72.480550461533"
"305","-70.34305790177112","-70.34305790177112","-70.34305790177112"
"308","-70.95637626295998","-70.95637626295998","-70.95637626295998"
"311","-71.09390586633037","-71.09390586633037","-71.09390586633037"
"314","-68.43416346899343","-68.43416346899343","-68.43416346899343"
"317","-67.28311850845664","-67.28311850845664","-67.28311850845664"
"320","-62.217734578772905","-62.217734578772905","-62.217734578772905"
"323","-60.26944025724206","-60.26944025724206","-60.26944025724206"
"326","-59.42644548584927","-59.42644548584927","-59.42644548584927"
"329","-58.55340160243153","-58.55340160243153","-58.55340160243153"
"332","-57.873141663077675","-57.873141663077675","-57.873141663077675"
"335","-53.72893770759951","-53.72893770759951","-53.72893770759951"
"338","-53.46601970494889","-53.46601970494889","-53.46601970494889"
"341","-52.40425841245625","-52.40425841245625","-52.40425841245625"
"344","-52.651797531847485","-52.651797531847485","-52.651797531847485"
"347","-52.27617172251889","-52.27617172251889","-52.27617172251889"
"350","-50.66097150646801","-50.66097150646801","-50.66097150646801"
"353","-49.25099824577502","-49.25099824577502","-49.25099824577502"
"356","-48.76537127392685","-48.76537127392685","-48.76537127392685"
"359","-47.49162122536508","-47.49162122536508","-47.49162122536508"
"362","-46.32352857861193","-46.32352857861193","-46.32352857861193"
"365","-45.511971684098405","-45.511971684098405","-45.511971684098405"
"368","-44.009613088585326","-44.009613088585326","-44.009613088585326"
"371","-41.999800719419234","-41.999800719419234","-41.999800719419234"
"374","-40.90887108784016","-40.90887108784016","-40.90887108784016"
"377","-40.46816757095385","-40.46816757095385","-40.46816757095385"
"380","-40.359392161065614","-40.359392161065614","-40.359392161065614"
"383","-39.32020959518381","-39.32020959518381","-39.32020959518381"
"386","-38.18096635109727","-38.18096635109727","-38.18096635109727"
"389","-37.83001009736612","-37.83001009736612","-37.83001009736612"
"392","-38.517671274812095","-38.517671274812095","-38.517671274812095"
"395","-38.04119872055356","-38.04119872055356","-38.04119872055356"
"398","-38.114833959539105","-38.114833959539105","-38.114833959539105"
"401","-38.126519453645415","-38.126519453645415","-38.126519453645415"
"404","-37.84713991537567","-37.84713991537567","-37.84713991537567"
"407","-37.071629164294855","-37.071629164294855","-37.071629164294855"
"410","-35.46502115477925","-35.46502115477925","-35.46502115477925"
"413","-35.400283646201096","-35.400283646201096","-35.400283646201096"
"416","-34.59422719514494","-34.59422719514494","-34.59422719514494"
"419","-34.74303471976797","-34.74303471976797","-34.74303471976797"
"422","-34.39955982034931","-34.39955982034931","-34.39955982034931"
"425","-32.248609182898285","-32.248609182898285","-32.248609182898285"
"428","-29.643856196595394","-29.643856196595394","-29.643856196595394"
"431","-28.108750618696597","-28.108750618696597","-28.108750618696597"
"434","-28.942196162928653","-28.942196162928653","-28.942196162928653"
"437","-28.450693316254057","-28.450693316254057","-28.450693316254057"
"440","-28.718646528669765","-28.718646528669765","-28.718646528669765"
"443","-28.963362841819144","-28.963362841819144","-28.963362841819144"
"446","-29.150451556912206","-29.150451556912206","-29.150451556912206"
"449","-28.078073527496908","-28.078073527496908","-28.078073527496908"
"452","-28.11887159234308","-28.11887159234308","-28.11887159234308"
"455","-28.516947981714722","-28.516947981714722","-28.516947981714722"
"458","-28.519372553885226","-28.519372553885226","-28.519372553885226"
"461","-27.19898323229884","-27.19898323229884","-27.19898323229884"
"464","-27.54626323528772","-27.54626323528772","-27.54626323528772"
"467","-26.570877444374492","-26.570877444374492","-26.570877444374492"
"470","-25.610814404224296","-25.610814404224296","-25.610814404224296"
"473","-25.348345917507814","-25.348345917507814","-25.348345917507814"
"476","-24.434145796220523","-24.434145796220523","-24.434145796220523"
"479","-23.002363779143124","-23.002363779143124","-23.002363779143124"
"482","-22.047444053726988","-22.047444053726988","-22.047444053726988"
"485","-22.180446457991145","-22.180446457991145","-22.180446457991145"
"488","-21.720641250182393","-21.720641250182393","-21.720641250182393"
"491","-20.63468756843198","-20.63468756843198","-20.63468756843198"
"494","-19.571349651545926","-19.571349651545926","-19.571349651545926"
"497","-19.52888313444101","-19.52888313444101","-19.52888313444101"
"500","-20.065414462468226","-20.065414462468226","-20.065414462468226"
"503","-18.605856361695608","-18.605856361695608","-18.605856361695608"
"506","-17.68136350616303","-17.68136350616303","-17.68136350616303"
"509","-17.54500771294744","-17.54500771294744","-17.54500771294744"
"512","-18.032118287446956","-18.032118287446956","-18.032118287446956"
"515","-16.433427530967563","-16.433427530967563","-16.433427530967563"
"518","-16.717639569253258","-16.717639569253258","-16.717639569253258"
"521","-16.06156911050659","-16.06156911050659","-16.06156911050659"
"524","-15.540863899689539","-15.540863899689539","-15.540863899689539"
"527","-15.677552177698136","-15.677552177698136","-15.677552177698136"
"530","-14.797699997829222","-14.797699997829222","-14.797699997829222"
"533","-14.41449379868464","-14.41449379868464","-14.41449379868464"
"536","-12.694701901548754","-12.694701901548754","-12.694701901548754"
"539","-12.473303726488362","-12.473303726488362","-12.473303726488362"
"542","-12.19808500560263","-12.19808500560263","-12.19808500560263"
"545","-11.890263674303563","-11.890263674303563","-11.890263674303563"
"548","-11.943883331314618","-11.943883331314618","-11.943883331314618"
"551","-12.165932976345573","-12.165932976345573","-12.165932976345573"
"554","-11.214495019692938","-11.214495019692938","-11.214495019692938"
"557","-11.706102119879976","-11.706102119879976","-11.706102119879976"
"560","-11.227699840121323","-11.227699840121323","-11.227699840121323"
"563","-10.246678923730801","-10.246678923730801","-10.246678923730801"
"566","-10.31197783207666","-10.31197783207666","-10.31197783207666"
"569","-9.900181678839248","-9.900181678839248","-9.900181678839248"
"572","-10.198693065898016","-10.198693065898016","-10.198693065898016"
"575","-10.46741276061111","-10.46741276061111","-10.46741276061111"
"578","-10.664086837647842","-10.664086837647842","-10.664086837647842"
"581","-11.380511438737356","-11.380511438737356","-11.380511438737356"
"584","-10.008172115522989","-10.008172115522989","-10.008172115522989"
"587","-9.461387835793461","-9.461387835793461","-9.461387835793461"
"590","-9.82157256855822","-9.82157256855822","-9.82157256855822"
"593","-9.41192722143045","-9.41192722143045","-9.41192722143045"
"596","-8.906754173329388","-8.906754173329388","-8.906754173329388"
"599","-7.35717027764345","-7.35717027764345","-7.35717027764345"
"602","-6.160315539711461","-6.160315539711461","-6.160315539711461"
"605","-6.321967015677846","-6.321967015677846","-6.321967015677846"
"608","-4.720077295289469","-4.720077295289469","-4.720077295289469"
"611","-2.623560124242376","-2.623560124242376","-2.623560124242376"
"614","-2.9557276297117063","-2.9557276297117063","-2.9557276297117063"
"617","-0.9302350237856478","-0.9302350237856478","-0.9302350237856478"
"620","-0.21920135576928712","-0.21920135576928712","-0.21920135576928712"
"623","1.3019950416786688","1.3019950416786688","1.3019950416786688"
"626","2.6601275356817093","2.6601275356817093","2.6601275356817093"
"629","3.209359584657246","3.209359584657246","3.209359584657246"
"632","3.8111265500466125","3.8111265500466125","3.8111265500466125"
"635","4.050742704038046","4.050742704038046","4.050742704038046"
"638","3.8308468022980007","3.8308468022980007","3.8308468022980007"
"641","3.5185031048713022","3.5185031048713022","3.5185031048713022"
"644","4.220309894450969","4.220309894450969","4.220309894450969"
"647","4.470975257413849","4.470975257413849","4.470975257413849"
"650","6.730958180379352","6.730958180379352","6.730958180379352"
"653","8.37634646102266","8.37634646102266","8.37634646102266"
"656","9.201978527329262","9.201978527329262","9.201978527329262"
"659","9.948258767422685","9.948258767422685","9.948258767422685"
"662","9.835293583113748","9.835293583113748","9.835293583113748"
"665","11.753718926218312","11.753718926218312","11.753718926218312"
"668","12.089281708461677","12.089281708461677","12.089281708461677"
"671","12.527015653111134","12.527015653111134","12.527015653111134"
"674","12.686312479698227","12.686312479698227","12.686312479698227"
"677","13.375712541710161","13.375712541710161","13.375712541710161"
"680","13.35694679883404","13.35694679883404","13.35694679883404"
"683","14.229773634408657","14.229773634408657","14.229773634408657"
"686","14.662949914509658","14.662949914509658","14.662949914509658"
"689","15.66949175165168","15.66949175165168","15.66949175165168"
"692","16.103870906450037","16.103870906450037","16.103870906450037"
"695","17.772306252999183","17.772306252999183","17.772306252999183"
"698","19.35196154579644","19.35196154579644","19.35196154579644"
"701","21.414089361326187","21.414089361326187","21.414089361326187"
"704","20.99361620704484","20.99361620704484","20.99361620704484"
"707","23.89558333373783","23.89558333373783","23.89558333373783"
"710","25.107582746441917","25.107582746441917","25.107582746441917"
"713","24.806488373786852","24.806488373786852","24.806488373786852"
"716","24.82206254442986","24.82206254442986","24.82206254442986"
"719","24.51287715915597","24.51287715915597","24.51287715915597"
"722","24.994703622415972","24.994703622415972","24.994703622415972"
"725","26.532491828537218","26.532491828537218","26.532491828537218"
"728","27.8563968731354","27.8563968731354","27.8563968731354"
"731","27.87437180708327","27.87437180708327","27.87437180708327"
"734","29.59394141542773","29.59394141542773","29.59394141542773"
"737","30.520987154503793","30.520987154503793","30.520987154503793"
"740","32.3148905394231","32.3148905394231","32.3148905394231"
"743","33.64368941468453","33.64368941468453","33.64368941468453"
"746","35.13575932565148","35.13575932565148","35.13575932565148"
"749","34.999256350706546","34.999256350706546","34.999256350706546"
"752","35.80020931174573","35.80020931174573","35.80020931174573"
"755","35.906249860573155","35.906249860573155","35.906249860573155"
"758","37.09043753247774","37.09043753247774","37.09043753247774"
"761","38.223704035287916","38.223704035287916","38.223704035287916"
"764","38.27836760405092","38.27836760405092","38.27836760405092"
"767","38.17053672772414","38.17053672772414","38.17053672772414"
"770","38.3699547440159","38.3699547440159","38.3699547440159"
"773","39.28316279224025","39.28316279224025","39.28316279224025"
"776","40.13134073584151","40.13134073584151","40.13134073584151"
"779","41.191248810445195","41.191248810445195","41.191248810445195"
"782","42.926965874520256","42.926965874520256","42.926965874520256"
"785","44.6797493726369","44.6797493726369","44.6797493726369"
"788","44.594377458315755","44.594377458315755","44.594377458315755"
"791","43.20509420745514","43.20509420745514","43.20509420745514"
"794","43.760623206910886","43.760623206910886","43.760623206910886"
"797","44.53582983735035","44.53582983735035","44.53582983735035"
"800","44.501512753780496","44.501512753780496","44.501512753780496"
"803","45.48946414234916","45.48946414234916","45.48946414234916"
"806","45.767441989442595","45.767441989442595","45.767441989442595"
"809","45.94216511678546","45.94216511678546","45.94216511678546"
"812","46.80304605259997","46.80304605259997","46.80304605259997"
"815","47.02783061204036","47.02783061204036","47.02783061204036"
"818","47.50824480767854","47.50824480767854","47.50824480767854"
"821","46.882233235276374","46.882233235276374","46.882233235276374"
"824","46.30564702804836","46.30564702804836","46.30564702804836"
"827","45.22383859100145","45.22383859100145","45.22383859100145"
"830","45.120765152912455","45.120765152912455","45.120765152912455"
"833","45.417121224590936","45.417121224590936","45.417121224590936"
"836","48.356427953329124","48.356427953329124","48.356427953329124"
"839","48.80181634955167","48.80181634955167","48.80181634955167"
"842","48.76453906065239","48.76453906065239","48.76453906065239"
"845","48.810364124960685","48.810364124960685","48.810364124960685"
"848","49.85710711468819","49.85710711468819","49.85710711468819"
"851","50.852582099913","50.852582099913","50.852582099913"
"854","51.68242763457818","51.68242763457818","51.68242763457818"
"857","51.63570614287468","51.63570614287468","51.63570614287468"
"860","52.393343004616","52.393343004616","52.393343004616"
"863","51.66631930367029","51.66631930367029","51.66631930367029"
"866","52.443348002331575","52.443348002331575","52.443348002331575"
"869","53.22890789195003","53.22890789195003","53.22890789195003"
"872","53.39412661604902","53.39412661604902","53.39412661604902"
"875","53.50090953340563","53.50090953340563","53.50090953340563"
"878","53.84880651185544","53.84880651185544","53.84880651185544"
"881","54.63939224756095","54.63939224756095","54.63939224756095"
"884","53.889375517293864","53.889375517293864","53.889375517293864"
"887","54.25835312733156","54.25835312733156","54.25835312733156"
"890","52.31849600387127","52.31849600387127","52.31849600387127"
"893","52.25063006252409","52.25063006252409","52.25063006252409"
"896","52.28492443197402","52.28492443197402","52.28492443197402"
"899","53.36426474583403","53.36426474583403","53.36426474583403"
"902","53.63124108822557","53.63124108822557","53.63124108822557"
"905","53.34351949342235","53.34351949342235","53.34351949342235"
"908","54.30457350422553","54.30457350422553","54.30457350422553"
"911","55.00211121350087","55.00211121350087","55.00211121350087"
"914","55.22522837957405","55.22522837957405","55.22522837957405"
"917","55.63470273759829","55.63470273759829","55.63470273759829"
"920","53.97760412100183","53.97760412100183","53.97760412100183"
"923","52.916297396216386","52.916297396216386","52.916297396216386"
"926","52.53864767388572","52.53864767388572","52.53864767388572"
"929","52.968388661275505","52.968388661275505","52.968388661275505"
"932","53.27318760296259","53.27318760296259","53.27318760296259"
"935","51.36726449723223","51.36726449723223","51.36726449723223"
"938","51.913691733078366","51.913691733078366","51.913691733078366"
"941","51.74208527637224","51.74208527637224","51.74208527637224"
"944","52.80560305880096","52.80560305880096","52.80560305880096"
"947","53.13519528027337","53.13519528027337","53.13519528027337"
"950","52.570332047658795","52.570332047658795","52.570332047658795"
"953","52.27854943233833","52.27854943233833","52.27854943233833"
"956","52.731688530080774","52.731688530080774","52.731688530080774"
"959","51.95294735318612","51.95294735318612","51.95294735318612"
"962","51.27813043770179","51.27813043770179","51.27813043770179"
"965","50.63541412878853","50.63541412878853","50.63541412878853"
"968","49.807793390175426","49.807793390175426","49.807793390175426"
"971","49.002912888158434","49.002912888158434","49.002912888158434"
"974","48.44949143754853","48.44949143754853","48.44949143754853"
"977","49.03700305195682","49.03700305195682","49.03700305195682"
"980","49.34533765150721","49.34533765150721","49.34533765150721"
"983","48.77454206092827","48.77454206092827","48.77454206092827"
"986","49.28206159017333","49.28206159017333","49.28206159017333"
"989","49.566118213309835","49.566118213309835","49.566118213309835"
"992","50.21445855283752","50.21445855283752","50.21445855283752"
"995","49.58642481589325","49.58642481589325","49.58642481589325"
"998","49.14862240404882","49.14862240404882","49.14862240404882"
"1001","49.77055308862598","49.77055308862598","49.77055308862598"
"1004","50.39258561726436","50.39258561726436","50.39258561726436"
"1007","49.71601076538003","49.71601076538003","49.71601076538003"
"1010","48.37096279727293","48.37096279727293","48.37096279727293"
"1013","50.16858747048258","50.16858747048258","50.16858747048258"
"1016","49.66765273072945","49.66765273072945","49.66765273072945"
"1019","50.35181727144424","50.35181727144424","50.35181727144424"
"1022","50.08608820357693","50.08608820357693","50.08608820357693"
"1025","48.4559602972053","48.4559602972053","48.4559602972053"
"1028","47.40389967716776","47.40389967716776","47.40389967716776"
"1031","47.1257811138381","47.1257811138381","47.1257811138381"
"1034","48.03169778597228","48.03169778597228","48.03169778597228"
"1037","49.142621699979806","49.142621699979806","49.142621699979806"
"1040","49.3610865375613","49.3610865375613","49.3610865375613"
"1043","49.53928846839273","49.53928846839273","49.53928846839273"
"1046","50.56486731147516","50.56486731147516","50.56486731147516"
"1049","50.16018272604697","50.16018272604697","50.16018272604697"
"1052","51.2764841517954","51.2764841517954","51.2764841517954"
"1055","52.564284881709135","52.564284881709135","52.564284881709135"
"1058","53.37862326857966","53.37862326857966","53.37862326857966"
"1061","52.98310541914082","52.98310541914082","52.98310541914082"
"1064","53.4119445501694","53.4119445501694","53.4119445501694"
"1067","52.64106830343914","52.64106830343914","52.64106830343914"
"1070","51.99119326272394","51.99119326272394","51.99119326272394"
"1073","52.94178568774614","52.94178568774614","52.94178568774614"
"1076","52.20406885011104","52.20406885011104","52.20406885011104"
"1079","50.920788755049045","50.920788755049045","50.920788755049045"
"1082","50.30861847541921","50.30861847541921","50.30861847541921"
"1085","50.66885613227913","50.66885613227913","50.66885613227913"
"1088","50.02026792717825","50.02026792717825","50.02026792717825"
"1091","50.09479684421968","50.09479684421968","50.09479684421968"
"1094","49.78896749301894","49.78896749301894","49.78896749301894"
"1097","49.46842659651865","49.46842659651865","49.46842659651865"
"1100","49.61507602635992","49.61507602635992","49.61507602635992"
"1103","48.96335907167855","48.96335907167855","48.96335907167855"
"1106","48.561898685943504","48.561898685943504","48.561898685943504"
"1109","48.23644304413367","48.23644304413367","48.23644304413367"
"1112","50.03918311042493","50.03918311042493","50.03918311042493"
"1115","50.00370912132088","50.00370912132088","50.00370912132088"
"1118","50.091296478613614","50.091296478613614","50.091296478613614"
"1121","49.90654703440311","49.90654703440311","49.90654703440311"
"1124","49.903705773216444","49.903705773216444","49.903705773216444"
"1127","49.40945885761923","49.40945885761923","49.40945885761923"
"1130","49.46928010751412","49.46928010751412","49.46928010751412"
"1133","49.035587938628424","49.035587938628424","49.035587938628424"
"1136","47.55726854575646","47.55726854575646","47.55726854575646"
"1139","47.85564383446526","47.85564383446526","47.85564383446526"
"1142","48.76942228728051","48.76942228728051","48.76942228728051"
"1145","49.98184408930535","49.98184408930535","49.98184408930535"
"1148","50.6581815379992","50.6581815379992","50.6581815379992"
"1151","50.89198006389647","50.89198006389647","50.89198006389647"
"1154","49.733625940845165","49.733625940845165","49.733625940845165"
"1157","50.398112383118516","50.398112383118516","50.398112383118516"
"1160","49.884818139020574","49.884818139020574","49.884818139020574"
"1163","50.00681328087287","50.00681328087287","50.00681328087287"
"1166","50.34902657400286","50.34902657400286","50.34902657400286"
"1169","49.7748433297606","49.7748433297606","49.7748433297606"
"1172","50.37770485143862","50.37770485143862","50.37770485143862"
"1175","50.63851967815381","50.63851967815381","50.63851967815381"
"1178","51.507940018394756","51.507940018394756","51.507940018394756"
"1181","52.93889754311094","52.93889754311094","52.93889754311094"
"1184","52.08931965150325","52.08931965150325","52.08931965150325"
"1187","52.044493031876","52.044493031876","52.044493031876"
"1190","53.054544751819236","53.054544751819236","53.054544751819236"
"1193","52.66781047915567","52.66781047915567","52.66781047915567"
"1196","53.036334790004865","53.036334790004865","53.036334790004865"
"1199","51.09280665191622","51.09280665191622","51.09280665191622"
"1202","51.82857895316115","51.82857895316115","51.82857895316115"
"1205","51.17139533655449","51.17139533655449","51.17139533655449"
"1208","50.87085835152273","50.87085835152273","50.87085835152273"
"1211","51.06414557470237","51.06414557470237","51.06414557470237"
"1214","52.14962334196694","52.14962334196694","52.14962334196694"
"1217","51.06623741755568","51.06623741755568","51.06623741755568"
"1220","51.89967161833757","51.89967161833757","51.89967161833757"
"1223","51.78888337619165","51.78888337619165","51.78888337619165"
"1226","52.342195431200814","52.342195431200814","52.342195431200814"
"1229","53.18625294511652","53.18625294511652","53.18625294511652"
"1232","53.98913158716699","53.98913158716699","53.98913158716699"
"1235","55.03334259221379","55.03334259221379","55.03334259221379"
"1238","56.241195336117336","56.241195336117336","56.241195336117336"
"1241","56.59196271862406","56.59196271862406","56.59196271862406"
"1244","57.47470483824577","57.47470483824577","57.47470483824577"
"1247","57.358847900137995","57.358847900137995","57.358847900137995"
"1250","57.425541442435545","57.425541442435545","57.425541442435545"
"1253","57.24849691899196","57.24849691899196","57.24849691899196"
"1256","56.78025084790143","56.78025084790143","56.78025084790143"
"1259","56.42676083039244","56.42676083039244","56.42676083039244"
"1262","56.50957911512354","56.50957911512354","56.50957911512354"
"1265","56.61263295954733","56.61263295954733","56.61263295954733"
"1268","56.704424941066364","56.704424941066364","56.704424941066364"
"1271","56.041264926006285","56.041264926006285","56.041264926006285"
"1274","55.93860622856881","55.93860622856881","55.93860622856881"
"1277","56.20001480399711","56.20001480399711","56.20001480399711"
"1280","57.158540854977176","57.158540854977176","57.158540854977176"
"1283","57.735408945727215","57.735408945727215","57.735408945727215"
"1286","57.16598662959368","57.16598662959368","57.16598662959368"
"1289","56.62467866709007","56.62467866709007","56.62467866709007"
"1292","56.89661856231524","56.89661856231524","56.89661856231524"
"1295","55.312783941444195","55.312783941444195","55.312783941444195"
"1298","55.3489794280254","55.3489794280254","55.3489794280254"
"1301","54.530156240685194","54.530156240685194","54.530156240685194"
"1304","54.97358267379828","54.97358267379828","54.97358267379828"
"1307","53.36192636729041","53.36192636729041","53.36192636729041"
"1310","54.83208122391101","54.83208122391101","54.83208122391101"
"1313","54.575302717132715","54.575302717132715","54.575302717132715"
"1316","54.84443519245217","54.84443519245217","54.84443519245217"
"1319","54.712264374970516","54.712264374970516","54.712264374970516"
"1322","55.239267069920636","55.239267069920636","55.239267069920636"
"1325","54.45291862918091","54.45291862918091","54.45291862918091"
"1328","55.47173043584235","55.47173043584235","55.47173043584235"
"1331","55.71011043773958","55.71011043773958","55.71011043773958"
"1334","55.70379248694123","55.70379248694123","55.70379248694123"
"1337","56.45218012282751","56.45218012282751","56.45218012282751"
"1340","56.06100337917468","56.06100337917468","56.06100337917468"
"1343","56.0954839054309","56.0954839054309","56.0954839054309"
"1346","57.486191858668256","57.486191858668256","57.486191858668256"
"1349","57.8067893407851","57.8067893407851","57.8067893407851"
"1352","57.79972081670463","57.79972081670463","57.79972081670463"
"1355","57.15022513963045","57.15022513963045","57.15022513963045"
"1358","56.14711160487493","56.14711160487493","56.14711160487493"
"1361","56.593559992643016","56.593559992643016","56.593559992643016"
"1364","57.09991294686561","57.09991294686561","57.09991294686561"
"1367","57.41316779705881","57.41316779705881","57.41316779705881"
"1370","56.80547957223614","56.80547957223614","56.80547957223614"
"1373","57.23278982135327","57.23278982135327","57.23278982135327"
