"Step","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"699","-18.58879077860585","-18.58879077860585","-18.58879077860585"
"706","-18.66665661747871","-18.66665661747871","-18.66665661747871"
"713","-16.788432553426407","-16.788432553426407","-16.788432553426407"
"720","-14.94098265678891","-14.94098265678891","-14.94098265678891"
"727","-15.11108466945859","-15.11108466945859","-15.11108466945859"
"734","-12.589451301474337","-12.589451301474337","-12.589451301474337"
"741","-12.034202010266068","-12.034202010266068","-12.034202010266068"
"748","-10.9293394206436","-10.9293394206436","-10.9293394206436"
"755","-10.614638957023795","-10.614638957023795","-10.614638957023795"
"762","-9.587517980835166","-9.587517980835166","-9.587517980835166"
"769","-8.806684592616012","-8.806684592616012","-8.806684592616012"
"776","-6.272133526786005","-6.272133526786005","-6.272133526786005"
"783","-4.964426783543537","-4.964426783543537","-4.964426783543537"
"790","-4.490333287458806","-4.490333287458806","-4.490333287458806"
"797","-4.038960295790366","-4.038960295790366","-4.038960295790366"
"804","-3.5759853057231843","-3.5759853057231843","-3.5759853057231843"
"811","-3.1238754496201615","-3.1238754496201615","-3.1238754496201615"
"818","-3.197229034441879","-3.197229034441879","-3.197229034441879"
"825","-2.816366418465882","-2.816366418465882","-2.816366418465882"
"832","-0.5141827165553986","-0.5141827165553986","-0.5141827165553986"
"839","0.9198610782422296","0.9198610782422296","0.9198610782422296"
"846","0.8095524381509294","0.8095524381509294","0.8095524381509294"
"853","1.6872837918335764","1.6872837918335764","1.6872837918335764"
"860","2.337536343258942","2.337536343258942","2.337536343258942"
"867","2.996675758098204","2.996675758098204","2.996675758098204"
"874","2.815229648123771","2.815229648123771","2.815229648123771"
"881","2.9685489056637624","2.9685489056637624","2.9685489056637624"
"888","3.128312999352473","3.128312999352473","3.128312999352473"
"895","3.736624010245937","3.736624010245937","3.736624010245937"
"902","3.585524234718713","3.585524234718713","3.585524234718713"
"909","3.619733784563478","3.619733784563478","3.619733784563478"
"916","3.898111111181021","3.898111111181021","3.898111111181021"
"923","4.1551912144631","4.1551912144631","4.1551912144631"
"930","4.53555388655848","4.53555388655848","4.53555388655848"
"937","5.741759125533728","5.741759125533728","5.741759125533728"
"944","5.7926208097068725","5.7926208097068725","5.7926208097068725"
"951","6.129376627373447","6.129376627373447","6.129376627373447"
"958","5.462088096135081","5.462088096135081","5.462088096135081"
"965","5.549119173446551","5.549119173446551","5.549119173446551"
"972","4.33924565010108","4.33924565010108","4.33924565010108"
"979","3.9915092570727797","3.9915092570727797","3.9915092570727797"
"986","3.915121231639436","3.915121231639436","3.915121231639436"
"993","3.756755214541147","3.756755214541147","3.756755214541147"
"1000","3.1007697412504114","3.1007697412504114","3.1007697412504114"
"1007","3.9540286426088067","3.9540286426088067","3.9540286426088067"
"1014","3.817955977057885","3.817955977057885","3.817955977057885"
"1021","2.920868371605206","2.920868371605206","2.920868371605206"
"1028","2.732605991881118","2.732605991881118","2.732605991881118"
"1035","3.471645312236091","3.471645312236091","3.471645312236091"
"1042","3.5956509960730303","3.5956509960730303","3.5956509960730303"
"1049","4.51607748295513","4.51607748295513","4.51607748295513"
"1056","4.359733780690266","4.359733780690266","4.359733780690266"
"1063","3.487059374853837","3.487059374853837","3.487059374853837"
"1070","4.109505579530053","4.109505579530053","4.109505579530053"
"1077","4.444694725212538","4.444694725212538","4.444694725212538"
"1084","5.330774240663568","5.330774240663568","5.330774240663568"
"1091","4.526066846450971","4.526066846450971","4.526066846450971"
"1098","4.658398265742192","4.658398265742192","4.658398265742192"
"1105","4.20969333405942","4.20969333405942","4.20969333405942"
"1112","4.1044393029742645","4.1044393029742645","4.1044393029742645"
"1119","3.87820378296256","3.87820378296256","3.87820378296256"
"1126","4.433109501270473","4.433109501270473","4.433109501270473"
"1133","4.061567054367073","4.061567054367073","4.061567054367073"
"1140","3.7670310981036623","3.7670310981036623","3.7670310981036623"
"1147","4.999068995914476","4.999068995914476","4.999068995914476"
"1154","4.784675839172406","4.784675839172406","4.784675839172406"
"1161","4.949924808323073","4.949924808323073","4.949924808323073"
"1168","4.782549645662942","4.782549645662942","4.782549645662942"
"1175","4.678408016564432","4.678408016564432","4.678408016564432"
"1182","6.24760757242716","6.24760757242716","6.24760757242716"
"1189","6.121496574227082","6.121496574227082","6.121496574227082"
"1196","6.888831292678963","6.888831292678963","6.888831292678963"
"1203","6.783193493941965","6.783193493941965","6.783193493941965"
"1210","6.771231459135127","6.771231459135127","6.771231459135127"
"1217","7.3041065941905465","7.3041065941905465","7.3041065941905465"
"1224","7.222993516188401","7.222993516188401","7.222993516188401"
"1231","7.470764040903817","7.470764040903817","7.470764040903817"
"1238","8.115445294190492","8.115445294190492","8.115445294190492"
"1245","7.746645317416088","7.746645317416088","7.746645317416088"
"1252","7.630534300418732","7.630534300418732","7.630534300418732"
"1259","5.6443386655940335","5.6443386655940335","5.6443386655940335"
"1266","6.235102550593595","6.235102550593595","6.235102550593595"
"1273","5.2442662347326126","5.2442662347326126","5.2442662347326126"
"1280","5.545692057651566","5.545692057651566","5.545692057651566"
"1287","5.484089318915211","5.484089318915211","5.484089318915211"
"1294","5.387553011929384","5.387553011929384","5.387553011929384"
"1301","5.57926737422941","5.57926737422941","5.57926737422941"
"1308","5.466942801949259","5.466942801949259","5.466942801949259"
"1315","6.443989773830608","6.443989773830608","6.443989773830608"
"1322","6.7292935905885285","6.7292935905885285","6.7292935905885285"
"1329","6.543275106196104","6.543275106196104","6.543275106196104"
"1336","6.4023908954346895","6.4023908954346895","6.4023908954346895"
"1343","6.226165125215798","6.226165125215798","6.226165125215798"
"1350","6.636997962904176","6.636997962904176","6.636997962904176"
"1357","6.564215728001578","6.564215728001578","6.564215728001578"
"1364","7.21897766211856","7.21897766211856","7.21897766211856"
"1371","6.992265958337385","6.992265958337385","6.992265958337385"
"1378","6.1549524132537075","6.1549524132537075","6.1549524132537075"
"1385","5.657065359037552","5.657065359037552","5.657065359037552"
"1392","5.571190166705834","5.571190166705834","5.571190166705834"
"1399","6.2718096067231475","6.2718096067231475","6.2718096067231475"
"1406","6.469849315315189","6.469849315315189","6.469849315315189"
"1413","5.960124519358543","5.960124519358543","5.960124519358543"
"1420","7.332398057974485","7.332398057974485","7.332398057974485"
"1427","9.403680904242485","9.403680904242485","9.403680904242485"
"1434","10.232628833392711","10.232628833392711","10.232628833392711"
"1441","11.109657599844486","11.109657599844486","11.109657599844486"
"1448","14.058691105839607","14.058691105839607","14.058691105839607"
"1455","15.18336710989363","15.18336710989363","15.18336710989363"
"1462","16.292312722665205","16.292312722665205","16.292312722665205"
"1469","16.67018356666218","16.67018356666218","16.67018356666218"
"1476","17.528161621298906","17.528161621298906","17.528161621298906"
"1483","17.955686623432936","17.955686623432936","17.955686623432936"
"1490","18.360838324039037","18.360838324039037","18.360838324039037"
"1497","20.21390456882798","20.21390456882798","20.21390456882798"
"1504","20.165310813084687","20.165310813084687","20.165310813084687"
"1511","22.229503175291544","22.229503175291544","22.229503175291544"
"1518","23.30266706448248","23.30266706448248","23.30266706448248"
"1525","24.95427804956624","24.95427804956624","24.95427804956624"
"1532","25.568968499435364","25.568968499435364","25.568968499435364"
"1539","27.042908814881606","27.042908814881606","27.042908814881606"
"1546","27.454444410098926","27.454444410098926","27.454444410098926"
"1553","27.581606064552137","27.581606064552137","27.581606064552137"
"1560","27.53479897858829","27.53479897858829","27.53479897858829"
"1567","28.446069499240306","28.446069499240306","28.446069499240306"
"1574","28.55543623161522","28.55543623161522","28.55543623161522"
"1581","28.138154475844296","28.138154475844296","28.138154475844296"
"1588","27.34916717819871","27.34916717819871","27.34916717819871"
"1595","28.0610906164253","28.0610906164253","28.0610906164253"
"1602","28.28418872258158","28.28418872258158","28.28418872258158"
"1609","28.81852250142192","28.81852250142192","28.81852250142192"
"1616","26.942995367173435","26.942995367173435","26.942995367173435"
"1623","25.892201596248377","25.892201596248377","25.892201596248377"
"1630","27.291067001881366","27.291067001881366","27.291067001881366"
"1637","27.642885963512473","27.642885963512473","27.642885963512473"
"1644","27.558699403037973","27.558699403037973","27.558699403037973"
"1651","27.341140923998097","27.341140923998097","27.341140923998097"
"1658","27.000831072462276","27.000831072462276","27.000831072462276"
"1665","28.854529848487324","28.854529848487324","28.854529848487324"
"1672","28.803470914166525","28.803470914166525","28.803470914166525"
"1679","29.72231808816808","29.72231808816808","29.72231808816808"
"1686","31.194964744655167","31.194964744655167","31.194964744655167"
"1693","31.330294965365688","31.330294965365688","31.330294965365688"
"1700","32.56464322094341","32.56464322094341","32.56464322094341"
"1707","33.3666637137659","33.3666637137659","33.3666637137659"
"1714","34.276441929679265","34.276441929679265","34.276441929679265"
"1721","35.63708319224318","35.63708319224318","35.63708319224318"
"1728","37.72400656511395","37.72400656511395","37.72400656511395"
"1735","38.765509688306274","38.765509688306274","38.765509688306274"
"1742","39.327656568717195","39.327656568717195","39.327656568717195"
"1749","39.1606739638648","39.1606739638648","39.1606739638648"
"1756","38.47379646082855","38.47379646082855","38.47379646082855"
"1763","40.42719972894643","40.42719972894643","40.42719972894643"
"1770","40.301350028371346","40.301350028371346","40.301350028371346"
"1777","39.20316096654301","39.20316096654301","39.20316096654301"
"1784","38.39426709434021","38.39426709434021","38.39426709434021"
"1791","38.35392982375024","38.35392982375024","38.35392982375024"
"1798","36.44631575705865","36.44631575705865","36.44631575705865"
"1805","37.59531728807145","37.59531728807145","37.59531728807145"
"1812","37.95840460575759","37.95840460575759","37.95840460575759"
"1819","37.694023918790634","37.694023918790634","37.694023918790634"
"1826","37.61802558155431","37.61802558155431","37.61802558155431"
"1833","38.56633087809896","38.56633087809896","38.56633087809896"
"1840","37.077739919743806","37.077739919743806","37.077739919743806"
"1847","35.589305509726266","35.589305509726266","35.589305509726266"
"1854","34.95385367412596","34.95385367412596","34.95385367412596"
"1861","35.412597510737655","35.412597510737655","35.412597510737655"
"1868","35.419755136409236","35.419755136409236","35.419755136409236"
"1875","35.205280641310665","35.205280641310665","35.205280641310665"
"1882","34.13597303789108","34.13597303789108","34.13597303789108"
"1889","31.658777118683247","31.658777118683247","31.658777118683247"
"1896","30.834193392691372","30.834193392691372","30.834193392691372"
"1903","29.833867651863976","29.833867651863976","29.833867651863976"
"1910","28.089414152570825","28.089414152570825","28.089414152570825"
"1917","26.21146814744696","26.21146814744696","26.21146814744696"
"1924","25.73788583133727","25.73788583133727","25.73788583133727"
"1931","24.99029471886982","24.99029471886982","24.99029471886982"
"1938","24.29220425313144","24.29220425313144","24.29220425313144"
"1945","23.928453109122223","23.928453109122223","23.928453109122223"
"1952","22.666004317037686","22.666004317037686","22.666004317037686"
"1959","23.167523525981068","23.167523525981068","23.167523525981068"
"1966","21.367025983101374","21.367025983101374","21.367025983101374"
"1973","20.093062011055494","20.093062011055494","20.093062011055494"
"1980","20.059304064093094","20.059304064093094","20.059304064093094"
"1987","19.2207311589319","19.2207311589319","19.2207311589319"
"1994","18.75152920806357","18.75152920806357","18.75152920806357"
"2001","15.380169812589166","15.380169812589166","15.380169812589166"
"2008","13.14578859955444","13.14578859955444","13.14578859955444"
"2015","13.031494085904894","13.031494085904894","13.031494085904894"
"2022","12.635750538825198","12.635750538825198","12.635750538825198"
"2029","12.697233362510353","12.697233362510353","12.697233362510353"
"2036","12.276329556176224","12.276329556176224","12.276329556176224"
"2043","10.994620609015408","10.994620609015408","10.994620609015408"
"2050","10.90008211568762","10.90008211568762","10.90008211568762"
"2057","9.409313391476447","9.409313391476447","9.409313391476447"
"2064","8.834470489952125","8.834470489952125","8.834470489952125"
"2071","8.26836472431666","8.26836472431666","8.26836472431666"
"2078","6.510345023619793","6.510345023619793","6.510345023619793"
"2085","5.988890651426973","5.988890651426973","5.988890651426973"
"2092","4.365637394806544","4.365637394806544","4.365637394806544"
"2099","2.984207954343895","2.984207954343895","2.984207954343895"
"2106","2.180817308945977","2.180817308945977","2.180817308945977"
"2113","1.008010934056079","1.008010934056079","1.008010934056079"
"2120","0.23315209600920905","0.23315209600920905","0.23315209600920905"
"2127","0.47814486254734545","0.47814486254734545","0.47814486254734545"
"2134","-1.361462026462984","-1.361462026462984","-1.361462026462984"
"2141","-1.733769206892865","-1.733769206892865","-1.733769206892865"
"2148","-2.549367292834499","-2.549367292834499","-2.549367292834499"
"2155","-2.882667505918275","-2.882667505918275","-2.882667505918275"
"2162","-3.18431168411694","-3.18431168411694","-3.18431168411694"
"2169","-3.7969855674524924","-3.7969855674524924","-3.7969855674524924"
"2176","-5.367558719652054","-5.367558719652054","-5.367558719652054"
"2183","-5.851177049482068","-5.851177049482068","-5.851177049482068"
"2190","-6.961397000601576","-6.961397000601576","-6.961397000601576"
"2197","-7.515242609937401","-7.515242609937401","-7.515242609937401"
"2204","-7.709608405623147","-7.709608405623147","-7.709608405623147"
"2211","-8.244931689746947","-8.244931689746947","-8.244931689746947"
"2218","-8.586679389429372","-8.586679389429372","-8.586679389429372"
"2225","-8.499725632962345","-8.499725632962345","-8.499725632962345"
"2232","-9.81140992368865","-9.81140992368865","-9.81140992368865"
"2239","-11.138794875868195","-11.138794875868195","-11.138794875868195"
"2246","-10.206813934407734","-10.206813934407734","-10.206813934407734"
"2253","-10.932460253524054","-10.932460253524054","-10.932460253524054"
"2260","-11.782844461038993","-11.782844461038993","-11.782844461038993"
"2267","-11.812134553543986","-11.812134553543986","-11.812134553543986"
"2274","-12.275043549286897","-12.275043549286897","-12.275043549286897"
"2281","-12.437678495054426","-12.437678495054426","-12.437678495054426"
"2288","-12.627816943982369","-12.627816943982369","-12.627816943982369"
"2295","-13.293723673275453","-13.293723673275453","-13.293723673275453"
"2302","-12.727170903053512","-12.727170903053512","-12.727170903053512"
"2309","-13.291505567105053","-13.291505567105053","-13.291505567105053"
"2316","-13.75321774652585","-13.75321774652585","-13.75321774652585"
"2323","-14.58805238847963","-14.58805238847963","-14.58805238847963"
"2330","-15.186062506001837","-15.186062506001837","-15.186062506001837"
"2337","-15.175888350303067","-15.175888350303067","-15.175888350303067"
"2344","-15.304482405880574","-15.304482405880574","-15.304482405880574"
"2351","-15.637820938241413","-15.637820938241413","-15.637820938241413"
"2358","-15.62571680691909","-15.62571680691909","-15.62571680691909"
"2365","-16.225929131880875","-16.225929131880875","-16.225929131880875"
"2372","-15.330200046479558","-15.330200046479558","-15.330200046479558"
"2379","-15.631856652695552","-15.631856652695552","-15.631856652695552"
"2386","-15.82225405431637","-15.82225405431637","-15.82225405431637"
"2393","-15.682838538994858","-15.682838538994858","-15.682838538994858"
"2400","-13.732933034685749","-13.732933034685749","-13.732933034685749"
"2407","-14.587360389643793","-14.587360389643793","-14.587360389643793"
"2414","-14.998039690254165","-14.998039690254165","-14.998039690254165"
"2421","-13.960841945267944","-13.960841945267944","-13.960841945267944"
"2428","-14.026578113452981","-14.026578113452981","-14.026578113452981"
"2435","-15.18490053908968","-15.18490053908968","-15.18490053908968"
"2442","-15.62631687667909","-15.62631687667909","-15.62631687667909"
"2449","-16.148653265635065","-16.148653265635065","-16.148653265635065"
"2456","-15.825464984942148","-15.825464984942148","-15.825464984942148"
"2463","-15.270040110618385","-15.270040110618385","-15.270040110618385"
"2470","-15.576115208559651","-15.576115208559651","-15.576115208559651"
"2477","-15.724471788009575","-15.724471788009575","-15.724471788009575"
"2484","-16.973067488404652","-16.973067488404652","-16.973067488404652"
"2491","-16.215614139265643","-16.215614139265643","-16.215614139265643"
"2498","-16.18062930096367","-16.18062930096367","-16.18062930096367"
"2505","-16.486747171308217","-16.486747171308217","-16.486747171308217"
"2512","-16.904726905533614","-16.904726905533614","-16.904726905533614"
"2519","-17.095481531066124","-17.095481531066124","-17.095481531066124"
"2526","-17.73578229447013","-17.73578229447013","-17.73578229447013"
"2533","-18.076423464935807","-18.076423464935807","-18.076423464935807"
"2540","-18.767404258515942","-18.767404258515942","-18.767404258515942"
"2547","-20.03101231588448","-20.03101231588448","-20.03101231588448"
"2554","-19.95446975909781","-19.95446975909781","-19.95446975909781"
"2561","-19.76000309270046","-19.76000309270046","-19.76000309270046"
"2568","-19.782444430298177","-19.782444430298177","-19.782444430298177"
"2575","-18.74266435784073","-18.74266435784073","-18.74266435784073"
"2582","-19.67627155796619","-19.67627155796619","-19.67627155796619"
"2589","-19.50434613417616","-19.50434613417616","-19.50434613417616"
"2596","-20.366746433955594","-20.366746433955594","-20.366746433955594"
"2603","-18.98327125281543","-18.98327125281543","-18.98327125281543"
"2610","-18.212191493728355","-18.212191493728355","-18.212191493728355"
"2617","-18.921976076350944","-18.921976076350944","-18.921976076350944"
"2624","-19.057128835077563","-19.057128835077563","-19.057128835077563"
"2631","-19.508537313446315","-19.508537313446315","-19.508537313446315"
"2638","-20.641522304927026","-20.641522304927026","-20.641522304927026"
"2645","-20.73165593676336","-20.73165593676336","-20.73165593676336"
"2652","-21.141671750150138","-21.141671750150138","-21.141671750150138"
"2659","-18.72914843347943","-18.72914843347943","-18.72914843347943"
"2666","-19.57665298843003","-19.57665298843003","-19.57665298843003"
"2673","-18.682991002502217","-18.682991002502217","-18.682991002502217"
"2680","-18.49088631029669","-18.49088631029669","-18.49088631029669"
"2687","-18.632181843248844","-18.632181843248844","-18.632181843248844"
"2694","-18.395909573941676","-18.395909573941676","-18.395909573941676"
"2701","-18.682126882613023","-18.682126882613023","-18.682126882613023"
"2708","-19.46876802257951","-19.46876802257951","-19.46876802257951"
"2715","-20.157863347518177","-20.157863347518177","-20.157863347518177"
"2722","-20.686788151487818","-20.686788151487818","-20.686788151487818"
"2729","-20.463164299542626","-20.463164299542626","-20.463164299542626"
"2736","-21.480575449751214","-21.480575449751214","-21.480575449751214"
"2743","-21.358348125283865","-21.358348125283865","-21.358348125283865"
"2750","-22.366232955448982","-22.366232955448982","-22.366232955448982"
"2757","-22.118801493970718","-22.118801493970718","-22.118801493970718"
"2764","-23.22910999757106","-23.22910999757106","-23.22910999757106"
"2771","-23.378860006320796","-23.378860006320796","-23.378860006320796"
"2778","-22.139665166626727","-22.139665166626727","-22.139665166626727"
"2785","-21.629135706270567","-21.629135706270567","-21.629135706270567"
"2792","-21.80690483656128","-21.80690483656128","-21.80690483656128"
"2799","-22.662826791578187","-22.662826791578187","-22.662826791578187"
"2806","-21.444399066732377","-21.444399066732377","-21.444399066732377"
"2813","-21.54395347571844","-21.54395347571844","-21.54395347571844"
"2820","-22.119865750326664","-22.119865750326664","-22.119865750326664"
"2827","-22.753912632123125","-22.753912632123125","-22.753912632123125"
"2834","-22.198972605108505","-22.198972605108505","-22.198972605108505"
"2841","-22.683146168731504","-22.683146168731504","-22.683146168731504"
"2848","-24.59851776008483","-24.59851776008483","-24.59851776008483"
"2855","-24.91125664771396","-24.91125664771396","-24.91125664771396"
"2862","-25.665831576142896","-25.665831576142896","-25.665831576142896"
"2869","-25.34005115415609","-25.34005115415609","-25.34005115415609"
"2876","-24.25537636735083","-24.25537636735083","-24.25537636735083"
"2883","-24.343529242728994","-24.343529242728994","-24.343529242728994"
"2890","-24.663076286350712","-24.663076286350712","-24.663076286350712"
"2897","-24.960108157083788","-24.960108157083788","-24.960108157083788"
"2904","-23.94742675759703","-23.94742675759703","-23.94742675759703"
"2911","-25.587281074810452","-25.587281074810452","-25.587281074810452"
"2918","-25.688199958627727","-25.688199958627727","-25.688199958627727"
"2925","-26.11324304347388","-26.11324304347388","-26.11324304347388"
"2932","-25.731788068265914","-25.731788068265914","-25.731788068265914"
"2939","-25.799648513240776","-25.799648513240776","-25.799648513240776"
"2946","-25.914655570806698","-25.914655570806698","-25.914655570806698"
"2953","-25.385218379546426","-25.385218379546426","-25.385218379546426"
"2960","-25.61075923681419","-25.61075923681419","-25.61075923681419"
"2967","-24.471989432657292","-24.471989432657292","-24.471989432657292"
"2974","-23.381854507721496","-23.381854507721496","-23.381854507721496"
"2981","-23.05882770139153","-23.05882770139153","-23.05882770139153"
"2988","-22.298213316774298","-22.298213316774298","-22.298213316774298"
"2995","-22.879734940231113","-22.879734940231113","-22.879734940231113"
"3002","-23.243611256837298","-23.243611256837298","-23.243611256837298"
"3009","-23.19410678847659","-23.19410678847659","-23.19410678847659"
"3016","-22.783072163959556","-22.783072163959556","-22.783072163959556"
"3023","-22.018380429586934","-22.018380429586934","-22.018380429586934"
"3030","-21.786585464341155","-21.786585464341155","-21.786585464341155"
"3037","-22.09960142322862","-22.09960142322862","-22.09960142322862"
"3044","-22.50092858253262","-22.50092858253262","-22.50092858253262"
"3051","-22.565594256123937","-22.565594256123937","-22.565594256123937"
"3058","-22.951259879116506","-22.951259879116506","-22.951259879116506"
"3065","-23.779334080593507","-23.779334080593507","-23.779334080593507"
"3072","-22.9542086402084","-22.9542086402084","-22.9542086402084"
"3079","-24.009920942722378","-24.009920942722378","-24.009920942722378"
"3086","-23.767586055149163","-23.767586055149163","-23.767586055149163"
"3093","-24.03018429736057","-24.03018429736057","-24.03018429736057"
"3100","-23.928667067672013","-23.928667067672013","-23.928667067672013"
"3107","-24.481230465141255","-24.481230465141255","-24.481230465141255"
"3114","-26.010849572480403","-26.010849572480403","-26.010849572480403"
